abandon,freedom from artificial constraint
agency,"the office of an agent , or factor"
agent,an active power or cause
age,seniority
aggregate,a mass formed by the union of homogeneous particles
agitation,perturbation
agony,violent contest or striving
agreement,a contract
agriculture,farming
aid,an assistant
aim,"the pointing of a weapon , as a gun , a dart , or an arrow , in the line of direction with the object intended to be struck"
air,"the fluid which we breathe , and which surrounds the earth"
aisle,improperly used also for the have
alacrity,"a cheerful readiness , willingness , or promptitude"
alarm,"in the military use , commonly , sudden apprehension of being attacked by surprise"
alcohol,pure spirit of wine
ale,"a festival in english country places , so called from the liquor drunk"
alert,a sudden attack
alien,a foreigner
allegiance,"the duty of fidelity to one ' s king , government , or state"
alley,a bordered way
alliance,affinity
allowance,acknowledgment
allusion,indirect reference
ally,"anything akin to another by structure , etc"
aloof,same as alewife
alphabet,the letters of a language arranged in the customary order
altar,the communion table
alteration,changed condition
alternate,"one designated to take the place of another , if necessary , in performing some duty"
alternative,"an offer of two things , one of which may be chosen , but not both"
amateur,"a person attached to a particular pursuit , study , or science as to music or painting"
ambassador,a minister of the highest rank sent to a foreign court to represent there his sovereign or country
amber,"the balsam , liquidambar"
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a disposition or arrangement of troops for attacking an enemy unexpectedly from a concealed station
amendment,"any alternation made or proposed to be made in a bill or motion by adding , changing , substituting , or omitting"
ammunition,articles used in charging firearms and ordnance of all kinds
amount,the sum
amusement,the state of being amused
analogy,a resemblance of relations
analysis,"the separation of a compound substance , by chemical processes , into its constituents , with a view to ascertain either a what elements it contains , or b how much of each element is present"
anarchy,absence of government
ancestor,a progenitor
anchor,that which gives stability or security
ancient,a ruler
anecdote,a biographical incident or fragment
angel,demon
anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,the inclosed space near the point where two lines meet
anguish,"extreme pain , either of body or mind"
animal,one of the lower animals
animation,vivacity
ankle,the joint which connects the foot with the leg
anniversary,"the commemoration of some sacred event , as the dedication of a church or the consecration of a pope"
announcement,proclamation
annoyance,vexation
annoy,whatever causes such a feeling
annual,"a mass for a deceased person or for some special object , said daily for a year or on the anniversary day"
answer,"something done in return for , or in consequence of , something else"
antagonist,"one who contends with another , especially in combat"
anticipation,intuitive preconception
antique,"but in a more limited sense , a relic or object of ancient art"
antiquity,the people of ancient times
anxiety,"concern or solicitude respecting some thing or event , future or uncertain , which disturbs the mind , and keeps it in a state of painful uneasiness"
ape,a mimic
apology,anything provided as a substitute
apostle,a messenger
apparatus,"any complex instrument or appliance , mechanical or chemical , for a specific action or operation"
apparel,external clothing
apparition,visibility
appeal,an application for the removal of a cause or suit from an inferior to a superior judge or court for re ë xamination or review
appearance,personal presence
appellation,the act of calling by a name
appetite,any strong desire
applause,marked commendation
application,the employment of means to accomplish an end
appointment,the act of fixing by mutual agreement
appreciation,"a just valuation or estimate of merit , worth , weight , etc"
apprehension,seizure
apprentice,"one who is bound by indentures or by legal agreement to serve a mechanic , or other person , for a certain time , with a view to learn the art , or trade , in which his master is bound to instruct him"
approach,advances
approbation,an assenting to the propriety of a thing with some degree of pleasure or satisfaction
appropriation,"anything , especially money , thus set apart"
approval,approbation
apron,"an article of dress , of cloth , leather , or other stuff , worn on the fore part of the body , to keep the clothes clean , to defend them from injury , or as a covering"
archbishop,a chief bishop
architect,"a contriver , designer , or maker"
architecture,the art or science of building
arch,used to support the wall or other weight above an opening
arctic,a warm waterproof overshoe
ardor,warmth or heat of passion or affection
area,an open space in a building
arena,“ sand ” or “ gravel ” in the kidneys
argument,argumentation
aristocracy,"in a popular use ) those who are regarded as superior to the rest of the community , as in rank , fortune , or intellect"
arithmetic,a book containing the principles of this science
armor,any clothing or covering worn to protect one ' s person in battle
arm,the limb of the human body which extends from the shoulder to the hand
army,a great number
arrangement,system of parts disposed in due order
array,der
arrest,"any seizure by power , physical or moral"
arrival,"the attainment or reaching of any object , by effort , or in natural course"
arrogance,haughtiness
arrow,"a missile weapon of offense , slender , pointed , and usually feathered and barbed , to be shot from a bow"
article,a concise statement
artillery,great guns
artist,one who shows trained skill or rare taste in any manual art or occupation
art,the application of knowledge or power to practical purposes
ascetic,a hermit
ash,sing
asking,the act of inquiring or requesting
aspect,position in relation to the points of the compass
asp,same as aspen
ass,"a dull , heavy , stupid fellow"
assassination,a killing by treacherous violence
assault,"a violent onset or attack with moral weapons , as words , arguments , appeals , and the like"
assembly,"a company of persons collected together in one place , and usually for some common purpose , especially for deliberation and legislation , for worship , or for social entertainment"
assent,consent
assertion,vindication
assign,a person to whom property or an interest is transferred
assistance,the act of assisting
assistant,a helper
associate,a mate
association,"mental connection , or that which is mentally linked or associated with a thing"
assumption,the thing supposed
assurance,self - reliance
assured,one whose life or property is insured
astonishment,"the overpowering emotion excited when something unaccountable , wonderful , or dreadful is presented to the mind"
asylum,"a sanctuary or place of refuge and protection , where criminals and debtors found shelter , and from which they could not be forcibly taken without sacrilege"
atmosphere,the whole mass of a ë riform fluid surrounding the earth
atonement,amends
attachment,that by which one thing is attached to another
attack,an onset
attempt,"an unsuccessful , as contrasted with a successful , effort"
attendance,the fact of being present
attendant,a concomitant
attention,the supposed power or faculty of attending
attic,an athenian
attire,headdress
attitude,position assumed or studied to serve a purpose
attorney,one who is legally appointed by another to transact any business for him
attraction,the act or property of attracting
attractive,that which attracts or draws
attribute,that which is attributed
audacity,presumptuous impudence
audience,admittance to a hearing
august,"the eighth month of the year , containing thirty - one days"
aunt,the sister of one ' s father or mother
author,an originator
authority,jurisdiction
automobile,"a self - propelled vehicle used for transporting passengers , suitable for use on a street or roadway"
autumn,latter portion
avail,advantage toward success
avarice,cupidity
avenue,a way or opening for entrance into a place
average,any charge in addition to the regular charge for freight of goods shipped
aversion,reluctance
awe,the emotion inspired by something dreadful and sublime
axis,"the central part , or longitudinal support , on which organs or parts are arranged"
azure,the blue vault above
babe,an infant
baby,a small image of an infant
bachelor,"a knight who had no standard of his own , but fought under the standard of another in the field"
back,a large shallow vat
background,"ground in the rear or behind , or in the distance , as opposed to the foreground , or the ground in front"
bacon,the back and sides of a pig salted and smoked
bag,"a sack or pouch , used for holding anything"
baggage,"the clothes , tents , utensils , and provisions of an army"
bait,a lure
baker,"one whose business it is to bake bread , biscuit , etc"
bake,"the process , or result , of baking"
baking,a batch
balance,estimate
balcony,a projecting gallery once common at the stern of large ships
ballad,a sentimental or romantic poem in short stanzas
ball,"a spherical body of any substance or size used to play with , as by throwing , knocking , kicking , etc"
balloon,"a round vessel , usually with a short neck , to hold or receive whatever is distilled"
band,"a continuous tablet , stripe , or series of ornaments , as of carved foliage , of color , or of brickwork , etc"
bang,an exclamation point
bank,"a mound , pile , or ridge of earth , raised above the surrounding level"
banker,"one who , individually , or as a member of a company , keeps an establishment for the deposit or loan of money , or for traffic in money , bills of exchange , etc"
banner,"a kind of flag attached to a spear or pike by a crosspiece , and used by a chief as his standard in battle"
banquet,a feast
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
barbarian,one destitute of pity or humanity
bare,"that part of a roofing slate , shingle , tile , or metal plate , which is exposed to the weather"
bargain,mutual pledge
barge,a pleasure boat
bark,"a three - masted vessel , having her foremast and mainmast square - rigged , and her mizzenmast schooner - rigged"
baron,a title or degree of nobility
barrel,"a solid drum , or a hollow cylinder or case"
barrier,"a fence or railing to mark the limits of a place , or to keep back a crowd"
base,a groundwork
basil,the skin of a sheep tanned with bark
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,the first or fundamental principle
basket,the two back seats facing one another on the outside of a stagecoach
bass,the lowest part in a musical composition
bat,a large stick
bath,"a hebrew measure containing the tenth of a homer , or five gallons and three pints , as a measure for liquids"
bathe,the immersion of the body in water
bathing,act of taking a bath or baths
battery,"any place where cannon or mortars are mounted , for attack or defense"
battle,a contest
bay,the laurel tree
beach,the strand
beak,"a similar bill in other animals , as the turtles"
beam,one of the principal horizontal timbers of a building or ship
beard,"the hair that grows on the chin , lips , and adjacent parts of the human face , chiefly of male adults"
bearing,mien
beast,"any four - footed animal , that may be used for labor , food , or sport"
beating,the act of striking or giving blows
beat,"the rise or fall of the hand or foot , marking the divisions of time"
beauty,anything beautiful
beaver,"that piece of armor which protected the lower part of the face , whether forming a part of the helmet or fixed to the breastplate"
bedroom,a room or apartment intended or used for a bed
bed,used as the symbol of matrimony ) marriage
beef,applied colloquially to human flesh
bee,"pieces of hard wood bolted to the sides of the bowsprit , to reeve the fore - topmast stays through"
beer,"a fermented extract of the roots and other parts of various plants , as spruce , ginger , sassafras , etc"
beg,a title of honor in turkey and in some other parts of the east
beggar,"one who asks or entreats earnestly , or with humility"
beginning,the act of doing that which begins anything
behavior,conduct
being,state or sphere of existence
belief,confidence
believer,"one who gives credit to the truth of the scriptures , as a revelation from god"
bell,"a hollow metallic vessel , usually shaped somewhat like a cup with a flaring mouth , containing a clapper or tongue , and giving forth a ringing sound on being struck"
belly,the innermost part
belonging,family
beloved,one greatly loved
bench,the seat where judges sit in court
benefactor,one who confers a benefit or benefits
benefit,"whatever promotes prosperity and personal happiness , or adds value to property"
benevolence,charity given
bent,flexion
berth,a room in which a number of the officers or ship ' s company mess and reside
best,highest endeavor or state
better,one who has a claim to precedence
bet,"that which is laid , staked , or pledged , as between two parties , upon the event of a contest or any contingent issue"
bewilderment,the state of being bewildered
bid,"a statement of a sum which one will give for something to be received , or will take for something to be done or furnished"
bidding,"a proposal of a price , as at an auction"
big,"barley , especially the hardy four - rowed kind"
bill,"a declaration made in writing , stating some wrong the complainant has suffered from the defendant , or a fault committed by some person against a law"
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,"that which is constituted of two figures , things , or parts"
bind,"any twining or climbing plant or stem , especially a hop vine"
binding,"the cover of a book , or the cover with the sewing , etc"
biography,biographical writings in general
bird,the young of a fowl
birthday,the anniversary of one ' s birth
birth,lineage
biscuit,"a small loaf or cake of bread , raised and shortened , or made light with soda or baking powder"
bishop,"a spiritual overseer , superintendent , or director"
bit,a morsel
bite,the act of wounding or separating with the teeth or mouth
bitterness,a state of extreme impiety or enmity to god
black,a member or descendant of certain african races
blacksmith,"a fish of the pacific coast , of a blackish color"
blade,the broad part of an oar
blame,imputation of fault
blank,a paper unwritten
blanket,a streak or layer of blubber in whales
blast,a violent gust of wind
blaze,"intense , direct light accompanied with heat"
bleeding,"the operation of letting blood , as in surgery"
blessing,that which promotes prosperity and welfare
blindness,"state or condition of being blind , literally or figuratively"
blind,something to hinder sight or keep out light
bliss,heavenly joy
block,a piece of wood more or less bulky
blood,descent
bloom,"a state or time of beauty , freshness , and vigor"
blooming,the process of making blooms from the ore or from cast iron
blossom,florescence
blot,an exposed point or mark
blow,"a blowing , especially , a violent blowing of the wind"
blue,a pedantic woman
bluff,a cliff with a broad face
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blunt,a short needle with a strong point
blush,a rosy tint
blushing,the act of turning red
board,entertainment
boat,"the term is sometimes applied to steam vessels , even of the largest class"
body,"the main , central , or principal part , as of a tree , army , country , etc"
bohemian,a native of bohemia
boil,act or state of boiling
boiler,a coral reef on which the sea breaks heavily
boiling,exposure to the action of a hot liquid
boldness,the state or quality of being bold
bolt,a sudden spring or start
bondage,obligation
bond,imprisonment
bone,one of the pieces or parts of an animal skeleton
bonnet,"a soft , elastic , very durable cap , made of thick , seamless woolen stuff , and worn by men in scotland"
book,a treatise
boon,a present
boot,relief
booty,pillage
border,"a strip or stripe arranged along or near the edge of something , as an ornament or finish"
bore,"the internal cylindrical cavity of a gun , cannon , pistol , or other firearm , or of a pipe or tube"
bosom,consciousness
boss,"a protuberant ornament on any work , either of different material from that of the work or of the same , as upon a buckler or bridle"
bother,disturbance
bottle,intoxicating liquor
bottom,groundwork
bough,"an arm or branch of a tree , especially a large arm or main branch"
boundary,"that which indicates or fixes a limit or extent , or marks a bound , as of a territory"
bound,limit
bounty,"to encourage any branch of industry , as husbandry manufactures"
bow,"an ornamental knot , with projecting loops , formed by doubling a ribbon or string"
bower,"anciently , a chamber"
bowing,the act or art of managing the bow in playing on stringed instruments
bowl,"specifically , a drinking vessel for wine or other spirituous liquors"
box,"a space with a few seats partitioned off in a theater , or other place of public amusement"
boy,a lad
boyhood,the state of being a boy
brace,"a cord , ligament , or rod , for producing or maintaining tension , as a cord on the side of a drum"
brain,the understanding
brake,"an extended handle by means of which a number of men can unite in working a pump , as in a fire engine"
branch,a distinct article
brand,grade
brandy,a strong alcoholic liquor distilled from wine
brass,impudence
brave,a man daring beyond discretion
bravery,fine dress
breach,a rupture
bread,"support of life , in general"
breadth,"measure across , or at right angles to the length"
break,an opening made by fracture or disruption
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breast,the front or forward part of anything
breath,"the power of respiration , and hence , life"
breed,class
breeding,the act or process of generating or bearing
breeze,a disturbance
bribe,that which seduces
brick,any oblong rectangular mass
bridal,a marriage
bride,an object ardently loved
bridegroom,"a man newly married , or just about to be married"
bridge,"the small arch or bar at right angles to the strings of a violin , guitar , etc"
bridle,"the head gear with which a horse is governed and restrained , consisting of a headstall , a bit , and reins , with other appendages"
brief,a statement in few words
brigade,any body of persons organized for acting or marching together under authority
brig,"a two - masted , square - rigged vessel"
bright,brightness
brightness,luster
brilliant,"below , it has a small face or collet , parallel to the table , connected with the girdle by a pavilion of elongated facets"
brim,the rim of a hat
brink,"the edge , margin , or border of a steep place , as of a precipice"
bronze,"an alloy of copper and tin , to which small proportions of other metals , especially zinc , are sometimes added"
brood,"the young from the same dam , whether produced at the same time or not"
brook,a natural stream of water smaller than a river or creek
brotherhood,a fraternity
brother,"one who , or that which , resembles another in distinctive qualities or traits of character"
brown,"a dark color inclining to red or yellow , resulting from the mixture of red and black , or of red , black , and yellow"
brush,the bushy tail of a fox
brute,a savage in heart or manners
buck,a fop
bucket,"a vessel ( as a tub or scoop ) for hoisting and conveying coal , ore , grain , etc"
bud,"a small protuberance on certain low forms of animals and vegetables which develops into a new organism , either free or attached"
buffalo,any species of wild ox
bug,a general name applied to various insects belonging to the hemiptera
buggy,a light one horse two - wheeled vehicle
build,form or mode of construction
building,"a fabric or edifice constructed , as a house , a church , etc"
bulk,the cargo of a vessel when stowed
bullet,"a missile , usually of lead , and round or elongated in form , to be discharged from a rifle , musket , pistol , or other small firearm"
bull,the male of any large quadruped as the elephant
bully,"an insolent , tyrannical fellow"
bunch,a knob or lump
bundle,a loose package
burden,"that which is grievous , wearisome , or oppressive"
bureau,"iginally , a desk writing table with drawers f papers"
burial,interment
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,a spurt
bury,a manor
bush,a wild forest
business,traffic in general
bustle,great stir
bust,"the portion of the human figure included between the head and waist , whether in statuary or in the person"
butcher,"one who slaughters animals , or dresses their flesh for market"
butt,a bound
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,a knob
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,an inclosed place
cabinet,a closet
cable,"a rope of steel wire , or copper wire , usually covered with some protecting or insulating substance"
cab,"the covered part of a locomotive , in which the engineer has his station"
cage,"a box or inclosure , wholly or partly of openwork , in wood or metal , used for confining birds or other animals"
cake,a thin wafer - shaped mass of fried batter
calamity,a state or time of distress or misfortune
calculation,"the act or process , or the result , of calculating"
calendar,"an orderly list or enumeration of persons , things , or events"
calf,"the young of the cow , or of the bovine family of quadrupeds"
call,"a signal , as on a drum , bugle , trumpet , or pipe , to summon soldiers or sailors to duty"
calling,the act of one who calls
calm,"freedom from motion , agitation , or disturbance"
calmness,tranquillity
camel,a large ruminant used in asia and africa for carrying burdens and for riding
campaign,the time during which an army keeps the field
camp,"the ground or spot on which tents , huts , etc"
canal,a tube or duct
candidate,"one who offers himself , or is put forward by others , as a suitable person or an aspirant or contestant for an office , privilege , or honor"
candle,that which gives light
candy,"it is often made by boiling sugar or molasses to the desired consistency , and than crystallizing , molding , or working in the required shape"
cane,stems of other plants are sometimes called canes
cannon,a kind of type
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,any one of the canonical scriptures
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small portion
capacity,possibility of being or of doing
cape,a headland
capital,a metropolis
cap,"one of lace , muslin , etc"
caprice,a notion
captain,"an officer in the united states navy , next above a commander and below a commodore , and ranking with a colonel in the army"
captive,one kept in bondage or in the power of another
captivity,the state of being a captive or a prisoner
capture,"the act of seizing by force , or getting possession of by superior power or by stratagem"
caravan,"an itinerant show , as of wild beasts"
carbon,"an elementary substance , not metallic in its nature , which is present in all organic compounds"
cardinal,"one of the ecclesiastical princes who constitute the pope ' s council , or the sacred college"
card,the dial or face of the mariner ' s compass
career,a running
carelessness,negligence
caress,any act or expression of affection
care,watchfulness
cargo,freight
carpet,"iginally , also , a wrought cover f tables"
carriage,"the act of carrying , transporting , or conveying"
carry,"a tract of land , over which boats or goods are carried between two bodies of navigable water"
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,a teamster
car,"usually , one having but two wheels and drawn by one horse"
case,an instance of sickness or injury
cash,immediate or prompt payment in current funds
cast,a throw
caste,a separate and fixed order or class of persons in society who chiefly hold intercourse among themselves
casting,"the act of one who casts or throws , as in fishing"
castle,"any strong , imposing , and stately mansion"
casual,a vagrant
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,the final event in a romance or a dramatic piece
catch,act of seizing
catching,the act of seizing or taking hold of
cause,case
caution,wariness
cavalier,"a gay , sprightly , military man"
cavalry,that part of military force which serves on horseback
cave,a cavern
cavern,a large cave
cavity,a hollow
cedar,the name of several evergreen trees
ceiling,"the lining or finishing of any wall or other surface , with plaster , thin boards , etc"
celebration,"the act , process , or time of celebrating"
celestial,a chinese
cellar,"a room or rooms under a building , and usually below the surface of the ground , where provisions and other stores are kept"
cell,a small religious house attached to a monastery or convent
cement,"a kind of calcined limestone , or a calcined mixture of clay and lime , for making mortar which will harden under water"
cemetery,a churchyard
censure,judicial or ecclesiastical sentence or reprimand
cent,"a united states coin , the hundredth part of a dollar , formerly made of copper , now of copper , tin , and zinc"
center,the middle point or place
century,a period of a hundred years
ceremonial,"a system of rules and ceremonies , enjoined by law , or established by custom , in religious worship , social intercourse , or the courts of princes"
ceremony,forms of civility prescribed by custom or authority
certainty,a fact or truth unquestionable established
certificate,a written testimony to the truth of any fact
cessation,"a ceasing or discontinuance , as of action , whether temporary or final"
chain,"a series of links or rings , usually of metal , connected , or fitted into one another , used for various purposes , as of support , of restraint , of ornament , of the exertion and transmission of mechanical power , etc"
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chair,the office itself
chalk,"a soft , earthy substance , of a white , grayish , or yellowish white color , consisting of calcium carbonate , and having the same composition as common limestone"
challenge,the opening and crying of hounds at first finding the scent of their game
chamber,apartments in a lodging house
champion,a defender
chance,an event not calculated upon
change,a passing from one phase to another
channel,"the deeper part of a river , harbor , strait , etc"
chant,"a psalm , etc"
chaos,any confused or disordered collection or state of things
chap,a fellow
chapel,a small building attached to a church
chaplain,"any person ( clergyman or layman ) chosen to conduct religious exercises for a society , etc"
chapter,a division of a book or treatise
character,disposition
characteristic,an element of character
charcoal,impure carbon prepared from vegetable or animal substances
charge,"custody or care of any person , thing , or place"
chariot,"a four - wheeled pleasure or state carriage , having one seat"
charity,liberality in judging of men and their actions
charm,that which fascinates
chart,a written deed
charter,"a special privilege , immunity , or exemption"
chase,"a groove , or channel , as in the face of a wall"
chasm,"a deep opening made by disruption , as a breach in the earth or a rock"
chat,small stones with ore
chatter,"rapid , thoughtless talk"
cheat,one who cheats or deceives
check,delay
cheer,entertainment
cheerfulness,good spirits
cheese,"the flat , circular , mucilaginous fruit of the dwarf mallow"
chemical,a reagent
chemistry,"that branch of science which treats of the composition of substances , and of the changes which they undergo in consequence of alterations in the constitution of the molecules , which depend upon variations of the number , kind , or mode of arrangement , of the constituent atoms"
chestnut,"a bright brown color , like that of the nut"
chest,the part of the body inclosed by the ribs and breastbone
chicken,a maiden
chief,"a commander , as of an army"
child,"a male or female descendant , in the first degree"
childhood,the time in which persons are children
chimney,"a body of ore , usually of elongated form , extending downward in a vein"
china,a country in eastern asia
chin,the lower extremity of the face below the mouth
chivalry,"the qualifications or character of knights , as valor , dexterity in arms , courtesy , etc"
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,"judgment or skill in distinguishing what is to be preferred , and in giving a preference"
choir,"a band or organized company of singers , especially in church service"
chorus,a company of singers singing in concert
chosen,"one who , or that which is the object of choice or special favor"
church,a denomination
churchyard,"the ground adjoining a church , in which the dead are buried"
cigar,"a small roll of tobacco , used for smoking"
cigarette,a little fine tobacco rolled in paper for smoking
circle,a ring
circuit,a revolution
circulation,the act of passing from place to place or person to person
circumference,the line that goes round or encompasses a circular figure
circumstance,an event
circus,"a circular inclosure for the exhibition of feats of horsemanship , acrobatic displays , etc"
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
citizen,"a person , native or naturalized , of either sex , who owes allegiance to a government , and is entitled to reciprocal protection from it"
city,a large town
civility,courtesy
civilization,refinement
claim,a calling on another for something due or supposed to be due
clan,a body of persons united by some common interest or pursuit
clash,"as between differing or contending interests , views , purposes , etc"
clasp,a close embrace
class,a group of individuals ranked together as possessing common characteristics
classic,"one learned in the literature of greece and rome , or a student of classical literature"
classification,the act of forming into a class or classes
clatter,disturbance
clause,a subordinate portion or a subdivision of a sentence containing a subject and its predicate
clay,"a soft earth , which is plastic , or may be molded with the hands , consisting of hydrous silicate of aluminium"
cleaning,the act of making clean
cleanliness,neatness of person or dress
clear,distance between extreme limits
clearing,the act or process of making clear
cleft,a piece made by splitting
clergy,"in england , usually restricted to the ministers of the established church"
clergyman,in england usually restricted to a minister of the established church
clerk,"a parish officer , being a layman who leads in reading the responses of the episcopal church service , and otherwise assists in it"
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
client,"a citizen who put himself under the protection of a man of distinction and influence , who was called his patron"
cliff,a precipice
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
climax,the greatest degree
clock,"a large beetle , especially the european dung beetle"
close,conclusion
closer,that which finishes or terminates
closet,a room for privacy
clothing,clothes
cloth,the clerical profession
cloud,a blemish or defect
club,a cudgel
clue,a ball of thread
clump,a group
cluster,a number of things of the same kind growing together
clutch,"the hands , claws , or talons , in the act of grasping firmly"
coach,"a large , closed , four - wheeled carriage , having doors in the sides , and generally a front and back seat inside , each for two persons , and an elevated outside seat in front for the driver"
coachman,a man whose business is to drive a coach or carriage
coal,"a black , or brownish black , solid , combustible substance , dug from beds or veins in the earth to be used for fuel , and consisting , like charcoal , mainly of carbon , but more compact , and often affording , when heated , a large amount of volatile matter"
coast,"the seashore , or land near it"
coat,"the habit or vesture of an order of men , indicating the order or office"
cock,a small boat
code,a digest
coffin,the case in which a dead human body is inclosed for burial
coil,"a series of connected pipes in rows or layers , as in a steam heating apparatus"
coin,a corner or external angle
coincidence,the condition or fact of happening at the same time
cold,a catarrh
coldness,the state or quality of being cold
collapse,"a falling together suddenly , as of the sides of a hollow vessel"
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collect,"a short , comprehensive prayer , adapted to a particular day , occasion , or condition , and forming part of a liturgy"
collection,the act or process of collecting or of gathering
college,"a society of scholars or friends of learning , incorporated for study or instruction , especially in the higher branches of knowledge"
collision,a clashing
colony,a territory subject to the ruling governmental authority of another country and not a part of the ruling country
coloring,appearance
color,ruddy complexion
column,an upright body or mass
combat,one in which the parties engaged are not armies
comb,"a toothed instrument used for separating and cleansing wool , flax , hair , etc"
combination,"the act or process of uniting by chemical affinity , by which substances unite with each other in definite proportions by weight to form distinct compounds"
comfortable,a stuffed or quilted coverlet for a bed
comfort,whatever contributes to such a condition
coming,advent
command,an injunction
commander,a chief
commencement,the first existence of anything
comment,"a remark , observation , or criticism"
commerce,the exchange or buying and selling of commodities
commission,"the act of committing , doing , or performing"
committee,a guardian
commodore,"sometimes , by courtesy , the senior captain of a squadron"
commonplace,an idea or expression wanting originality or interest
common,to a number of persons
commonwealth,the public
commotion,a popular tumult
communication,company
communion,community
community,"the public , or people in general"
compact,an agreement between parties
companion,"one who is much in the company of , or is associated with , another or others"
companionship,fellowship
company,the state of being a companion or companions
comparison,similitude
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,circuitous course
compassion,pity
compensation,the payment of a debt by a credit of equal amount
competition,"rivalry , as for approbation , for a prize , or as where two or more persons are engaged in the same business and each seeking patronage"
compilation,a book or document composed of materials gathering from other books or documents
complaint,murmuring
completion,the act or process of making complete
complex,collection
complexion,the general appearance or aspect
compliance,a yielding
compliment,a flattering speech or attention
composer,one who adjusts a difference
composition,the art or practice of so combining the different parts of a work of art as to produce a harmonious whole
composure,tranquillity
compound,the result of composition
comprehension,inclusion
