abandon,freedom from artificial constraint
alley,a choice taw or marble
alliance,union by relationship in qualities
allowance,tolerance
allusion,indirect reference
ally,an auxiliary
aloof,same as alewife
alphabet,elements
altar,the communion table
alteration,a change made in the form or nature of a thing
alternate,"one designated to take the place of another , if necessary , in performing some duty"
alternative,"a choice between two things , so that if one is taken , the other must be left"
amateur,"a person attached to a particular pursuit , study , or science as to music or painting"
ambassador,an official messenger and representative
amber,a clear light yellow
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a snare
amendment,reformation of life by quitting vices
ammunition,articles used in charging firearms and ordnance of all kinds
amount,a totality
amusement,diversion
analogy,proportion
analysis,"the separation of a compound substance , by chemical processes , into its constituents , with a view to ascertain either a what elements it contains , or b how much of each element is present"
anarchy,the state of society where there is no law or supreme power
ancestor,one from whom an estate has descended
anchor,"a contrivance to hold the end of a bridge cable , or other similar part"
ancient,a ruler
anecdote,a single passage of private life
angel,demon
anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,a corner
anguish,"extreme pain , either of body or mind"
animal,by giving carbonic acid to the air and taking oxygen in the process of respiration
animation,the state of being animate or alive
ankle,the joint which connects the foot with the leg
anniversary,the day on which mass is said yearly for the soul of a deceased person
announcement,that which announces
annoy,a feeling of discomfort or vexation caused by what one dislikes
annoyance,that which annoys
annual,a thing happening or returning yearly
answer,"something done in return for , or in consequence of , something else"
antagonist,an opponent
anticipation,hasty notion
antique,"in general , anything very old"
antiquity,the people of ancient times
anxiety,eager desire
ape,a mimic
apology,a makeshift
apostle,one who initiates any great moral reform or first advocates any important belief
apparatus,mechanism
apparel,vesture
apparition,the thing appearing
appeal,an application for the removal of a cause or suit from an inferior to a superior judge or court for re ë xamination or review
appearance,look
appellation,the act of calling by a name
appetite,hunger
applause,marked commendation
application,"the act of applying or laying on , in a literal sense"
appointment,agreement
appreciation,a rise in value
apprehension,arrest
apprentice,"one who is bound by indentures or by legal agreement to serve a mechanic , or other person , for a certain time , with a view to learn the art , or trade , in which his master is bound to instruct him"
approach,advances
approbation,the act of approving
appropriation,"anything , especially money , thus set apart"
approval,approbation
apron,the fat skin covering the belly of a goose or duck
arch,any part of a curved line
archbishop,a chief bishop
architect,"a contriver , designer , or maker"
architecture,frame or structure
arctic,a warm waterproof overshoe
ardor,warmth or heat of passion or affection
area,"the sunken space or court , giving ingress and affording light to the basement of a building"
arena,"the area in the central part of an amphitheater , in which the gladiators fought and other shows were exhibited"
argument,"the subject matter of a discourse , writing , or artistic representation"
aristocracy,an oligarchy
arithmetic,a book containing the principles of this science
armor,any clothing or covering worn to protect one ' s person in battle
arm,"the fore limb of an animal , as of a bear"
army,a host
arrangement,the state of being arranged or put in order
array,order of battle
arrest,stoppage
arrival,"the act of arriving , or coming"
arrogance,presumption
arrow,"a missile weapon of offense , slender , pointed , and usually feathered and barbed , to be shot from a bow"
article,"a distinct portion of an instrument , discourse , literary work , or any other writing , consisting of two or more particulars , or treating of various topics"
artillery,great guns
artist,one who shows trained skill or rare taste in any manual art or occupation
art,method of doing well some special work
ascetic,a recluse
ash,sing
asking,solicitation
aspect,view
asp,same as aspen
ass,a dolt
assassination,a killing by treacherous violence
assault,"an attempt or offer to beat another , accompanied by a degree of violence , but without touching his person , as by lifting the fist , or a cane , in a threatening manner , or by striking at him , and missing him"
assembly,"a company of persons collected together in one place , and usually for some common purpose , especially for deliberation and legislation , for worship , or for social entertainment"
assent,consent
assertion,position advanced
assign,a person to whom property or an interest is transferred
assistance,furtherance
assistant,an auxiliary
associate,a fellow
association,union
assumption,"the act of assuming , or taking to or upon one ' s self"
assurance,freedom from doubt
assured,one whose life or property is insured
astonishment,the object causing such an emotion
asylum,any place of retreat and security
atmosphere,any gaseous envelope or medium
atonement,"satisfaction or reparation made by giving an equivalent for an injury , or by doing of suffering that which will be received in satisfaction for an offense or injury"
attachment,"some adjunct attached to an instrument , machine , or other object"
attack,an onset
attempt,"an unsuccessful , as contrasted with a successful , effort"
attendance,attendants
attendant,a concomitant
attention,"earnest consideration , thought , or regard"
attic,a room or rooms behind that part of the exterior
attire,anything which dresses or adorns
attitude,"position as indicating action , feeling , or mood"
attorney,one who is legally appointed by another to transact any business for him
attraction,"the power or act of alluring , drawing to , inviting , or engaging"
attractive,that which attracts or draws
attribute,that which is attributed
audacity,"daring spirit , resolution , or confidence"
audience,admittance to a hearing
august,"the eighth month of the year , containing thirty - one days"
aunt,the sister of one ' s father or mother
authority,testimony
author,"the beginner , former , or first mover of anything"
automobile,"a self - propelled vehicle used for transporting passengers , suitable for use on a street or roadway"
autumn,"the third season of the year , or the season between summer and winter , often called “ the fall"
avail,value
avarice,an excessive or inordinate desire of gain
avenue,a passage by which a place may by reached
average,any charge in addition to the regular charge for freight of goods shipped
aversion,fixed dislike
awe,an undefined sense of the dreadful and the sublime
axis,a line passing through a body or system around which the parts are symmetrically arranged
azure,the blue vault above
babe,a young child of either sex
baby,an infant or young child of either sex
bachelor,"a person who has taken the first or lowest degree in the liberal arts , or in some branch of science , at a college or university"
background,"anything behind , serving as a foil"
back,"in human beings , the hinder part of the body , extending from the neck to the end of the spine"
bacon,the back and sides of a pig salted and smoked
bag,"a sack or pouch , used for holding anything"
baggage,"the clothes , tents , utensils , and provisions of an army"
bait,anything which allures
baker,"one whose business it is to bake bread , biscuit , etc"
bake,"the process , or result , of baking"
baking,"the act or process of cooking in an oven , or of drying and hardening by heat or cold"
balance,act of weighing mentally
balcony,a projecting gallery once common at the stern of large ships
ballad,a sentimental or romantic poem in short stanzas
ball,any round or roundish body or mass
balloon,"a round vessel , usually with a short neck , to hold or receive whatever is distilled"
band,"a continuous tablet , stripe , or series of ornaments , as of carved foliage , of color , or of brickwork , etc"
bang,a heavy blow
bank,anything shaped like a mound or ridge of earth
banker,one who conducts the business of banking
banner,"a large piece of silk or other cloth , with a device or motto , extended on a crosspiece , and borne in a procession , or suspended in some conspicuous place"
banquet,"often , a complimentary or ceremonious feast , followed by speeches"
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
barbarian,a person destitute of culture
bare,"that part of a roofing slate , shingle , tile , or metal plate , which is exposed to the weather"
bargain,an agreement or stipulation
barge,a pleasure boat
bark,a similar sound made by some other animals
baron,"iginally , the possess of a fief , who had feudal tenants under him"
barrel,"a solid drum , or a hollow cylinder or case"
barrier,"a carpentry obstruction , stockade , or other obstacle made in a passage in order to stop an enemy"
base,the essential principle
basil,"the slope or angle to which the cutting edge of a tool , as a plane , is ground"
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,the first or fundamental principle
basket,the two back seats facing one another on the outside of a stagecoach
bass,"the linden or lime tree , sometimes wrongly called whitewood"
bathe,the immersion of the body in water
bathing,act of taking a bath or baths
bath,"the act of exposing the body , or part of the body , for purposes of cleanliness , comfort , health , etc"
bat,same as tical n
battery,the unlawful beating of another
battle,a contest
bay,"an inlet of the sea , usually smaller than a gulf , but of the same general character"
beach,"pebbles , collectively"
beak,"the long projecting sucking mouth of some insects , and other invertebrates , as in the hemiptera"
beam,"any large piece of timber or iron long in proportion to its thickness , and prepared for use"
beard,"the hair that grows on the chin , lips , and adjacent parts of the human face , chiefly of male adults"
bearing,relation
beast,"a coarse , brutal , filthy , or degraded fellow"
beat,a stroke
beating,pulsation
beauty,anything beautiful
beaver,"that piece of armor which protected the lower part of the face , whether forming a part of the helmet or fixed to the breastplate"
bed,a couch
bedroom,room in a bed
bee,a neighborly gathering of people who engage in united labor for the benefit of an individual or family
beef,applied colloquially to human flesh
beer,"a fermented extract of the roots and other parts of various plants , as spruce , ginger , sassafras , etc"
beg,a bey
beggar,a petitioner
beginning,entrance into being or upon a course
behavior,mode of conducting one ' s self
being,"existence , as opposed to nonexistence"
belief,conviction
believer,"one who gives credit to the truth of the scriptures , as a revelation from god"
bell,a hollow perforated sphere of metal containing a loose ball which causes it to sound when moved
belly,the abdomen
belonging,that which is connected with a principal or greater thing
beloved,one greatly loved
bench,"a long seat , differing from a stool in its greater length"
benefactor,one who confers a benefit or benefits
benefit,a favor conferred
benevolence,good done
bent,a transverse frame of a framed structure
berth,a room in which a number of the officers or ship ' s company mess and reside
best,utmost
better,"advantage , superiority , or victory"
bet,"that which is laid , staked , or pledged , as between two parties , upon the event of a contest or any contingent issue"
bewilderment,the state of being bewildered
bidding,the act or process of making bids
bid,that which is offered
big,"barley , especially the hardy four - rowed kind"
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bill,"the bell , or boom , of the bittern"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,duality
binding,"the act or process of one who , or that which , binds"
bind,that which binds or ties
biography,the written history of a person ' s life
bird,a nestling
birthday,day of origin or commencement
birth,descent
biscuit,"earthen ware or porcelain which has undergone the first baking , before it is subjected to the glazing"
bishop,"a spiritual overseer , superintendent , or director"
bite,"the act of puncturing or abrading with an organ for taking food , as is done by some insects"
bitterness,severity
bit,"the part of a bridle , usually of iron , which is inserted in the mouth of a horse , and having appendages to which the reins are fastened"
black,a negro
blacksmith,"a smith who works in iron with a forge , and makes iron utensils , horseshoes , etc"
blade,one of the projecting arms of a screw propeller
blame,sin
blank,"a void space on paper , or in any written instrument"
blanket,a similar fabric used as a robe
blast,a violent gust of wind
blaze,a brilliant display
bleeding,a drawing or running of sap from a tree or plant
blessing,that which promotes prosperity and welfare
blind,a subterfuge
blindness,"state or condition of being blind , literally or figuratively"
bliss,gladness
block,"a solid mass of wood , stone , etc"
blood,"the fluid which circulates in the principal vascular system of animals , carrying nourishment to all parts of the body , and bringing away waste products to be excreted"
bloom,"a large bar of steel formed directly from an ingot by hammering or rolling , being a preliminary shape for further working"
blooming,the process of making blooms from the ore or from cast iron
blossom,florescence
blot,a disgrace
blow,a blossom
blue,"the color of the clear sky , or a color resembling that , whether lighter or darker"
bluff,"a high , steep bank , as by a river or the sea , or beside a ravine or plain"
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blunt,a short needle with a strong point
blush,"a suffusion of the cheeks or face with red , as from a sense of shame , confusion , or modesty"
blushing,the act of turning red
board,provision
boat,any vessel
body,"the material organized substance of an animal , whether living or dead , as distinguished from the spirit , or vital principle"
bohemian,a native of bohemia
boil,act or state of boiling
boiler,a sunken reef
boiling,the act of ebullition or of tumultuous agitation
boldness,the state or quality of being bold
bolt,a quarrel
bond,a band
bondage,the state of being bound
bone,one of the pieces or parts of an animal skeleton
bonnet,"a soft , elastic , very durable cap , made of thick , seamless woolen stuff , and worn by men in scotland"
book,a treatise
boon,a gift
boot,a place for baggage at either end of an old - fashioned stagecoach
booty,"that which is seized by violence or obtained by robbery , especially collective spoil taken in war"
border,a frontier district
bore,a perforation
bosom,the breast of a human being
boss,a stud
bother,embarrassment
bottle,"a hollow vessel , usually of glass or earthenware ( but formerly of leather ), with a narrow neck or mouth , for holding liquids"
bottom,groundwork
bough,"an arm or branch of a tree , especially a large arm or main branch"
boundary,"that which indicates or fixes a limit or extent , or marks a bound , as of a territory"
bound,"that which limits or restrains , or within which something is limited or restrained"
bounty,munificence
bow,an obeisance
bower,one of the two highest cards in the pack commonly used in the game of euchre
bowing,the act or art of managing the bow in playing on stringed instruments
bowl,"specifically , a drinking vessel for wine or other spirituous liquors"
box,a blow on the head or ear with the hand
boy,"a male child , from birth to the age of puberty"
boyhood,the state of being a boy
brace,"a cord , ligament , or rod , for producing or maintaining tension , as a cord on the side of a drum"
brain,the understanding
brake,"an extended handle by means of which a number of men can unite in working a pump , as in a fire engine"
branch,a section or subdivision
brand,"a stick piece of wood partly burnt , whether burning after the fire is extinct"
brandy,a strong alcoholic liquor distilled from wine
brass,impudence
brave,a man daring beyond discretion
bravery,magnificence
breach,"the act of breaking , in a figurative sense"
bread,"support of life , in general"
breadth,width
break,an opening made by fracture or disruption
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breast,a teat
breath,the air inhaled and exhaled in respiration
breeding,education
breed,sort
breeze,"a light , gentle wind"
bribe,seduction
brick,any oblong rectangular mass
bridal,a nuptial festival or ceremony
bride,"a woman newly married , or about to be married"
bridegroom,"a man newly married , or just about to be married"
bridge,a card game resembling whist
bridle,a curb
brief,"an abridgment or concise statement of a client ' s case , made out for the instruction of counsel in a trial at law"
brigade,any body of persons organized for acting or marching together under authority
brig,"a two - masted , square - rigged vessel"
bright,brightness
brightness,luster
brilliant,the smallest size of type used in england printing
brim,the rim of a hat
brink,a verge
bronze,"a statue , bust , etc"
brood,breed
brook,a natural stream of water smaller than a river or creek
brotherhood,"the whole body of persons engaged in the same business , -- especially those of the same profession"
brother,"one who , or that which , resembles another in distinctive qualities or traits of character"
brown,"a tawny , dusky hue"
brush,the bushy tail of a fox
brute,a brutal person
buck,"a gay , dashing young fellow"
bucket,"a vessel ( as a tub or scoop ) for hoisting and conveying coal , ore , grain , etc"
bud,an undeveloped branch or flower
buffalo,any species of wild ox
bug,a general name applied to various insects belonging to the hemiptera
buggy,a light one horse two - wheeled vehicle
building,that which is built
build,make
bulk,magnitude of material substance
bullet,"a missile , usually of lead , and round or elongated in form , to be discharged from a rifle , musket , pistol , or other small firearm"
bull,the male of any large quadruped as the elephant
bully,"an insolent , tyrannical fellow"
bunch,a knob or lump
bundle,a loose package
burden,that which is borne with labor or difficulty
bureau,"iginally , a desk writing table with drawers f papers"
burial,interment
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,a sudden breaking forth
bury,a borough
bush,a wild forest
business,regular occupation
bust,"a piece of sculpture representing the upper part of the human figure , including the head , shoulders , and breast"
bustle,tumult from stirring or excitement
butcher,one whose occupation it is to kill animals for food
butt,a goal
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,"a small , roundish mass"
cab,"a kind of close carriage with two or four wheels , usually a public vehicle"
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,an inclosed place
cabinet,a closet
cable,"a molding , shaft of a column , or any other member of convex , rounded section , made to resemble the spiral twist of a rope"
cage,"an outer framework of timber , inclosing something within it"
cake,a thin wafer - shaped mass of fried batter
calamity,any great misfortune or cause of misery
calculation,an expectation based on circumstances
calendar,"an orderly list or enumeration of persons , things , or events"
calf,an awkward or silly boy or young man
call,a summons
calling,the state of being divinely called
calmness,tranquillity
calm,tranquility
camel,a water - tight structure ( as a large box or boxes ) used to assist a vessel in passing over a shoal or bar or in navigating shallow water
campaign,an open field
camp,"the ground or spot on which tents , huts , etc"
canal,a tube or duct
candidate,"one who offers himself , or is put forward by others , as a suitable person or an aspirant or contestant for an office , privilege , or honor"
candle,a luminary
candy,cocaine
cane,stems of other plants are sometimes called canes
cannon,"a hollow cylindrical piece carried by a revolving shaft , on which it may , however , revolve independently"
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a compartment
capacity,possibility of being or of doing
cape,a promontory
capital,the seat of government
cap,"one used as the mark or ensign of some rank , office , or dignity , as that of a cardinal"
caprice,a freak
captain,"an officer in the united states navy , next above a commander and below a commodore , and ranking with a colonel in the army"
captive,one kept in bondage or in the power of another
captivity,a state of being under control
capture,"the securing of an object of strife or desire , as by the power of some attraction"
caravan,"an itinerant show , as of wild beasts"
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
card,"a published note , containing a brief statement , explanation , request , expression of thanks , or the like"
cardinal,a woman ' s short cloak with a hood
care,caution
career,"general course of action or conduct in life , or in a particular part or calling in life , or in some special undertaking"
carelessness,the quality or state of being careless
caress,"an embracing , or touching , with tenderness"
cargo,freight
carpet,"iginally , also , a wrought cover f tables"
carriage,the price or expense of carrying
carry,a carrying place
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,a teamster
car,"usually , one having but two wheels and drawn by one horse"
case,a patient under treatment
cash,ready money
caste,a separate and fixed order or class of persons in society who chiefly hold intercourse among themselves
casting,that which is cast in a mold
castle,"any strong , imposing , and stately mansion"
cast,the thing thrown
casual,one who receives relief for a night in a parish to which he does not belong
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,the final event in a romance or a dramatic piece
catch,gain
catching,the act of seizing or taking hold of
cause,case
caution,precept or warning against evil of any kind
cavalier,one of the court party in the time of king charles i
cavalry,that part of military force which serves on horseback
cave,a den
cavern,a large cave
cavity,a hollow
cedar,the name of several evergreen trees
ceiling,the work when done
celebration,"the act , process , or time of celebrating"
celestial,a chinese
cellar,"a room or rooms under a building , and usually below the surface of the ground , where provisions and other stores are kept"
cell,a small religious house attached to a monastery or convent
cement,"a kind of calcined limestone , or a calcined mixture of clay and lime , for making mortar which will harden under water"
cemetery,a graveyard
censure,reprehension
cent,"a united states coin , the hundredth part of a dollar , formerly made of copper , now of copper , tin , and zinc"
center,the nucleus around which things are gathered or to which they tend
century,"a division of the roman people formed according to their property , for the purpose of voting for civil officers"
ceremonial,outward form
ceremony,behavior regulated by strict etiquette
certainty,a fact or truth unquestionable established
certificate,a written testimony to the truth of any fact
cessation,"a ceasing or discontinuance , as of action , whether temporary or final"
chain,a bond
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chair,the presiding officer of an assembly
chalk,by extension a compound as of clay and black lead or the like used in the same manner
challenge,"specifically , a summons to fight a duel"
chamber,a bedroom
champion,an advocate
chance,the issue of uncertain conditions
change,a difference
channel,"the deeper part of a river , harbor , strait , etc"
chant,song
chaos,confusion
chap,a youth
chapel,"a room or recess in a church , containing an altar"
chaplain,"any person ( clergyman or layman ) chosen to conduct religious exercises for a society , etc"
chapter,a division of a book or treatise
characteristic,an element of character
character,the peculiar form of letters used by a particular person or people
charcoal,impure carbon prepared from vegetable or animal substances
charge,office
chariot,"a two - wheeled car or vehicle for war , racing , state processions , etc"
charity,"liberality to the poor and the suffering , to benevolent institutions , or to worthy causes"
charm,any alluring quality
chart,a written deed
charter,an act of a legislative body creating a municipal or other corporation and defining its powers and privileges
chase,a rectangular iron frame in which pages or columns of type are imposed
chasm,a cleft
chat,conversation
chatter,prattle
cheat,that which is the means of fraud or deception
check,"whatever arrests progress , or limits action"
cheerfulness,alacrity
cheer,mirth
cheese,"the curd of milk , coagulated usually with rennet , separated from the whey , and pressed into a solid mass in a hoop or mold"
chemical,a reagent
chemistry,"that branch of science which treats of the composition of substances , and of the changes which they undergo in consequence of alterations in the constitution of the molecules , which depend upon variations of the number , kind , or mode of arrangement , of the constituent atoms"
chest,"a case in which certain goods , as tea , opium , etc"
chestnut,"a bright brown color , like that of the nut"
chicken,a young woman
chief,"a commander , as of an army"
child,a son or a daughter
childhood,the first period
chimney,"an upright tube or flue of brick or stone , in most cases extending through or above the roof of the building"
china,a country in eastern asia
chin,the lower extremity of the face below the mouth
chivalry,the dignity or system of knighthood
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,act of choosing
choir,"a band or organized company of singers , especially in church service"
chorus,a company of singers singing in concert
chosen,"one who , or that which is the object of choice or special favor"
church,"a body of christian believers , holding the same creed , observing the same rites , and acknowledging the same ecclesiastical authority"
churchyard,"the ground adjoining a church , in which the dead are buried"
cigar,"a small roll of tobacco , used for smoking"
cigarette,a little cigar
circle,the line that bounds such a figure
circuit,"that which encircles anything , as a ring or crown"
circulation,"the act of moving in a circle , or in a course which brings the moving body to the place where its motion began"
circumference,a circle
circumstance,an attendant thing or state of things
circus,"a level oblong space surrounded on three sides by seats of wood , earth , or stone , rising in tiers one above another , and divided lengthwise through the middle by a barrier around which the track or course was laid out"
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
citizen,one who enjoys the freedom and privileges of a city
city,a corporate town
civility,good breeding
civilization,refinement
claim,a title to anything which another should give or concede to or confer on the claimant
clan,a body of persons united by some common interest or pursuit
clash,a noisy collision of bodies
clasp,"a grasping , as with the hand"
class,"a number of students in a school or college , of the same standing , or pursuing the same studies"
classic,"a work of acknowledged excellence and authority , or its author"
classification,"a distribution into groups , as classes , orders , families , etc"
clatter,any loud abrupt sound
clause,"an article , stipulation , or proviso , in a legal document"
clay,the human body as formed from such particles
cleaning,the act of making clean
cleanliness,state of being cleanly
clear,distance between extreme limits
clearing,a tract of land cleared of wood for cultivation
cleft,a crack
clergy,"in england , usually restricted to the ministers of the established church"
clergyman,an ordained minister
clerk,a scribe
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
client,a dependent
cliff,a precipice
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
climax,upward movement
clock,a figure or figured work on the ankle or side of a stocking
closer,that which finishes or terminates
closet,"a small apartment , or recess in the side of a room , for household utensils , clothing , etc"
close,the conclusion of a strain of music
clothing,dress
cloth,"specifically , woolen fabrics , as distinguished from all others"
cloud,"a mass or volume of smoke , or flying dust , resembling vapor"
club,"an association of persons for the promotion of some common object , as literature , science , politics , good fellowship , etc"
clue,a ball of thread
clump,a cluster
cluster,a number of things of the same kind growing together
clutch,grasp
coach,a special tutor who assists in preparing a student for examination
coachman,a man whose business is to drive a coach or carriage
coal,charcoal
coast,"the seashore , or land near it"
coat,an outer garment fitting the upper part of the body
cock,a faucet or valve
code,a digest
coffin,"a casing or crust , or a mold , of pastry , as for a pie"
coil,perplexity
coincidence,the condition or fact of happening at the same time
coin,that which serves for payment or recompense
coldness,the state or quality of being cold
cold,the sensation produced by the escape of heat
collapse,"extreme depression or sudden failing of all the vital powers , as the result of disease , injury , or nervous disturbance"
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collect,"a short , comprehensive prayer , adapted to a particular day , occasion , or condition , and forming part of a liturgy"
collection,a gathering or assemblage of objects or of persons
college,"a society of scholars or friends of learning , incorporated for study or instruction , especially in the higher branches of knowledge"
collision,a state of opposition
colony,a territory subject to the ruling governmental authority of another country and not a part of the ruling country
color,any hue distinguished from white or black
coloring,show
column,a kind of pillar
comb,"an instrument with teeth , for straightening , cleansing , and adjusting the hair , or for keeping it in place"
combat,one in which the parties engaged are not armies
combination,a union or alliance of persons or states to effect some purpose
comfortable,a stuffed or quilted coverlet for a bed
comfort,solace
coming,advent
commander,one who has supreme authority
command,the possession or exercise of authority
commencement,act or fact of commencing
comment,exposition
commerce,extended trade or traffic
commission,a charge
committee,"one or more persons elected or appointed , to whom any matter or business is referred , either by a legislative body , or by a court , or by any collective body of men acting together"
commodore,an officer who ranks next above a captain
commonplace,a memorandum
common,to a number of persons
commonwealth,"specifically , the form of government established on the death of charles i"
commotion,"agitation , perturbation , or disorder , of mind"
communication,conference
communion,fellowship
community,participation
compact,an agreement between parties
companion,"one who is much in the company of , or is associated with , another or others"
companionship,association
company,society
comparison,"that to which , or with which , a thing is compared , as being equal or like"
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,boundary
compassion,commiseration
compensation,the act or principle of compensating
competition,common strife for the same objects
compilation,that which is compiled
complaint,fault - finding
completion,state of being complete
complex,assemblage of related things
complexion,"the color or hue of the skin , especially of the face"
compliance,concession
compliment,a ceremonious greeting
composer,one who composes
composition,"the act of writing for practice in a language , as english , latin , german , etc"
composure,calmness
compound,the result of composition
comprehension,"the act of comprehending , containing , or comprising"
compromise,a prejudicial concession
comrade,"a mate , companion , or associate"
concealment,a place of hiding
conceit,lively fancy
concentration,"the act or process of removing the dress of ore and of reducing the valuable part to smaller compass , as by currents of air or water"
concept,a universal
conception,the power of recalling a past sensation or perception
concern,interest
concert,concord
concession,a boon
conclusion,result
concrete,"a mixture of gravel , pebbles , or broken stone with cement or with tar , etc"
condemnation,censure
condition,that which is requisite in order that something else should take effect
conduct,behavior
conductor,a manager
conference,interchange of views
confession,acknowledgment of belief
confidence,such assurance as leads to a feeling of security
confine,limit
confinement,imprisonment
confirmation,that which gives new strength or assurance
conflict,fighting
conformity,"correspondence in form , manner , or character"
confusion,overthrow
congregation,a body of people who habitually so meet
conjecture,"an opinion , or judgment , formed on defective or presumptive evidence"
conjunction,league
connection,that which connects or joins together
connexion,connection
conscience,the moral faculty passing judgment on one ' s self
consciousness,"immediate knowledge or perception of the presence of any object , state , or sensation"
consent,compliance
consequence,any conclusion which results from reason or argument
consequent,"that which follows , or results from , a cause"
