abandon,freedom from artificial constraint
agent,one intrusted with the business of another
age,seniority
aggregate,a mass formed by the union of homogeneous particles
agitation,"the act of agitating , or the state of being agitated"
agony,keen emotion
agreement,"harmony of opinion , statement , action , or character"
agriculture,farming
aid,an assistant
aim,"the point intended to be hit , or object intended to be attained or affected"
air,the atmosphere
aisle,improperly used also for the have
alacrity,briskness
alarm,a warning of danger
alcohol,"the spirituous or intoxicating element of fermented or distilled liquors , or more loosely a liquid containing it in considerable quantity"
ale,"an intoxicating liquor made from an infusion of malt by fermentation and the addition of a bitter , usually hops"
alert,a sudden attack
alien,a foreigner
allegiance,"the duty of fidelity to one ' s king , government , or state"
alley,a bordered way
alliance,union by relationship in qualities
allowance,that which is allowed
allusion,a hint
ally,a confederate
aloof,same as alewife
alphabet,the simplest rudiments
altar,the communion table
alteration,the act of altering or making different
alternate,a substitute
alternative,either of two things or propositions offered to one ' s choice
amateur,"a person attached to a particular pursuit , study , or science as to music or painting"
ambassador,an official messenger and representative
amber,a clear light yellow
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a disposition or arrangement of troops for attacking an enemy unexpectedly from a concealed station
amendment,reformation of life by quitting vices
ammunition,"any stock of missiles , literal or figurative"
amount,the aggregate
amusement,the state of being amused
analogy,"an agreement or likeness between things in some circumstances or effects , when the things are otherwise entirely different"
analysis,"the separation of a compound substance , by chemical processes , into its constituents , with a view to ascertain either a what elements it contains , or b how much of each element is present"
anarchy,political confusion
ancestor,a progenitor
anchor,"a iron instrument which is attached to a ship by a cable ( rope or chain ), and which , being cast overboard , lays hold of the earth by a fluke or hook and thus retains the ship in a particular station"
ancient,a patriarch
anecdote,a particular or detached incident or fact of an interesting nature
angel,one of a class of “ fallen angels
anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,the difference of direction of two lines
anguish,"extreme pain , either of body or mind"
animal,by giving carbonic acid to the air and taking oxygen in the process of respiration
animation,vivacity
ankle,the tarsus
anniversary,"the commemoration of some sacred event , as the dedication of a church or the consecration of a pope"
announcement,proclamation
annoyance,annoy
annoy,whatever causes such a feeling
annual,"anything , especially a plant , that lasts but one year or season"
answer,"something said or written in reply to a question , a call , an argument , an address , or the like"
antagonist,an adversary
anticipation,foretaste
antique,"in general , anything very old"
antiquity,the ancients
anxiety,eager desire
ape,a mimic
apology,justification
apostle,one who has extraordinary success as a missionary or reformer
apparatus,things provided as means to some end
apparel,garments
apparition,"an unexpected , wonderful , or preternatural appearance"
appeal,an application for the removal of a cause or suit from an inferior to a superior judge or court for re ë xamination or review
appearance,an apparition
appellation,the word by which a particular person or thing is called and known
appetite,any strong desire
applause,marked commendation
application,specific use
appointment,stipulation
appreciation,a rise in value
apprehension,arrest
apprentice,a tyro
approach,"a access , or opportunity of drawing near"
approbation,approval
appropriation,"the act of setting apart or assigning to a particular use or person , or of taking to one ' s self , in exclusion of all others"
approval,sanction
apron,a boot
arch,any part of a curved line
archbishop,a chief bishop
architect,"a contriver , designer , or maker"
architecture,"construction , in a more general sense"
arctic,a warm waterproof overshoe
ardor,"heat , in a literal sense"
area,the inclosed space on which a building stands
arena,any sphere of action
argument,"the subject matter of a discourse , writing , or artistic representation"
aristocracy,government by the best citizens
arithmetic,the science of numbers
arm,a branch of the military service
armor,any clothing or covering worn to protect one ' s person in battle
army,a host
arrangement,preparatory proceeding or measure
array,a regular and imposing arrangement
arrest,legal restraint
arrival,the person or thing arriving or which has arrived
arrogance,self - assumption
arrow,"a missile weapon of offense , slender , pointed , and usually feathered and barbed , to be shot from a bow"
article,a concise statement
artillery,great guns
artist,one who professes and practices an art in which science and taste preside over the manual execution
art,the systematic application of knowledge or skill in effecting a desired result
ascetic,a recluse
ash,sing
asking,solicitation
aspect,countenance
asp,same as aspen
ass,a dolt
assassination,a killing by treacherous violence
assault,"a violent onset or attack with moral weapons , as words , arguments , appeals , and the like"
assembly,a beat of the drum or sound of the bugle as a signal to troops to assemble
assent,the act of assenting
assertion,"the act of asserting , or that which is asserted"
assign,a person to whom property or an interest is transferred
assistance,furtherance
assistant,"one who , or that which , assists"
associate,a companion
association,union of persons in a company or society for some particular purpose
assumption,unwarrantable claim
assurance,intrepidity
assured,one whose life or property is insured
astonishment,amazement
asylum,"an institution for the protection or relief of some class of destitute , unfortunate , or afflicted persons"
atmosphere,the whole mass of a ë riform fluid surrounding the earth
atonement,expiation
attachment,that by which one thing is attached to another
attack,"a setting to work upon some task , etc"
attempt,"a essay , trial , or endeavor"
attendance,presence
attendant,"one who attends or accompanies in any character whatever , as a friend , companion , servant , agent , or suitor"
attention,an act of civility or courtesy
attic,a room or rooms behind that part of the exterior
attire,dress
attitude,"the posture or position of a person or an animal , or the manner in which the parts of his body are disposed"
attorney,one who is legally appointed by another to transact any business for him
attraction,an attractive quality
attractive,an allurement
attribute,reputation
audacity,presumptuous impudence
audience,the act of hearing
august,"the eighth month of the year , containing thirty - one days"
aunt,the sister of one ' s father or mother
authority,jurisdiction
author,"the beginner , former , or first mover of anything"
automobile,"a self - propelled vehicle used for transporting passengers , suitable for use on a street or roadway"
autumn,the time of maturity or decline
avail,profit
avarice,an excessive or inordinate desire of gain
avenue,a broad street
average,"that service which a tenant owed his lord , to be done by the work beasts of the tenant , as the carriage of wheat , turf , etc"
aversion,fixed dislike
awe,"reverential fear , or solemn wonder"
axis,"a straight line , real or imaginary , passing through a body , on which it revolves , or may be supposed to revolve"
azure,a pigment or dye of this color
babe,a doll for children
baby,a doll
bachelor,"often , a young knight"
background,"ground in the rear or behind , or in the distance , as opposed to the foreground , or the ground in front"
back,"in other animals , that part of the body which corresponds most nearly to such part of a human being"
bacon,the back and sides of a pig salted and smoked
bag,"a sac , or dependent gland , in animal bodies , containing some fluid or other substance"
baggage,luggage
bait,a lure
baker,"one whose business it is to bake bread , biscuit , etc"
bake,"the process , or result , of baking"
baking,the quantity baked at once
balance,equipoise between the weights in opposite scales
balcony,a projecting gallery once common at the stern of large ships
ballad,a sentimental or romantic poem in short stanzas
ball,any round or roundish body or mass
balloon,the outline inclosing words represented as coming from the mouth of a pictured figure
band,"a continuous tablet , stripe , or series of ornaments , as of carved foliage , of color , or of brickwork , etc"
bang,a heavy blow
bank,"a mound , pile , or ridge of earth , raised above the surrounding level"
banker,"the dealer , or one who keeps the bank in a gambling house"
banner,"a kind of flag attached to a spear or pike by a crosspiece , and used by a chief as his standard in battle"
banquet,"often , a complimentary or ceremonious feast , followed by speeches"
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
barbarian,a person destitute of culture
bare,"that part of a roofing slate , shingle , tile , or metal plate , which is exposed to the weather"
bargain,"when not qualified ), a gainful transaction"
barge,a large boat used by flag officers
bark,"the short , loud , explosive sound uttered by a dog"
baron,a title or degree of nobility
barrel,"a solid drum , or a hollow cylinder or case"
barrier,"a carpentry obstruction , stockade , or other obstacle made in a passage in order to stop an enemy"
base,"the bottom of anything , considered as its support , or that on which something rests for support"
basil,"the slope or angle to which the cutting edge of a tool , as a plane , is ground"
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,that which supports
basket,the two back seats facing one another on the outside of a stagecoach
bass,its bark which is used for making mats
bat,batting
bath,"a hebrew measure containing the tenth of a homer , or five gallons and three pints , as a measure for liquids"
bathe,the immersion of the body in water
bathing,act of taking a bath or baths
battery,the unlawful beating of another
battle,an engagement
bay,"an inlet of the sea , usually smaller than a gulf , but of the same general character"
beach,"the shore of the sea , or of a lake , which is washed by the waves"
beak,"a similar bill in other animals , as the turtles"
beam,"any large piece of timber or iron long in proportion to its thickness , and prepared for use"
beard,"the long hairs about the face in animals , as in the goat"
bearing,mien
beast,"a coarse , brutal , filthy , or degraded fellow"
beat,a stroke
beating,punishment or chastisement by blows
beauty,"a particular grace , feature , ornament , or excellence"
beaver,"that piece of armor which protected the lower part of the face , whether forming a part of the helmet or fixed to the breastplate"
bed,a couch
bedroom,a lodging room
beef,applied colloquially to human flesh
bee,"pieces of hard wood bolted to the sides of the bowsprit , to reeve the fore - topmast stays through"
beer,"a fermented extract of the roots and other parts of various plants , as spruce , ginger , sassafras , etc"
beg,a bey
beggar,one who makes it his business to ask alms
beginning,igin
behavior,carriage
being,state or sphere of existence
belief,reliance upon word or testimony
believer,a christian
bell,a hollow perforated sphere of metal containing a loose ball which causes it to sound when moved
belly,"that part of the human body which extends downward from the breast to the thighs , and contains the bowels , or intestines"
belonging,family
beloved,one greatly loved
bench,a long table at which mechanics and other work
benefactor,one who confers a benefit or benefits
benefit,a favor conferred
benevolence,good done
bent,inclination
berth,"the place where a ship lies when she is at anchor , or at a wharf"
best,utmost
bet,a wager
better,one who bets or lays a wager
bewilderment,the state of being bewildered
bidding,command
bid,that which is offered
big,"barley , especially the hardy four - rowed kind"
bill,"a declaration made in writing , stating some wrong the complainant has suffered from the defendant , or a fault committed by some person against a law"
billion,"according to the english method , a million millions , or 1 , 000 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,duality
bind,a bine
binding,"the cover of a book , or the cover with the sewing , etc"
biography,biographical writings in general
bird,the young of a fowl
birthday,the anniversary of one ' s birth
birth,extraction
biscuit,"earthen ware or porcelain which has undergone the first baking , before it is subjected to the glazing"
bishop,"a spiritual overseer , superintendent , or director"
bite,"a seizure with the teeth or mouth , as of a bait"
bitterness,severity
bit,"the part of a bridle , usually of iron , which is inserted in the mouth of a horse , and having appendages to which the reins are fastened"
black,a negro
blacksmith,"a fish of the pacific coast , of a blackish color"
blade,the broad part of an oar
blame,censure
blank,a bland form
blanket,a similar fabric used as a robe
blast,"the exhaust steam from and engine , driving a column of air out of a boiler chimney , and thus creating an intense draught through the fire"
blaze,a brilliant display
bleeding,a drawing or running of sap from a tree or plant
blessing,a means of happiness
blind,a subterfuge
blindness,"state or condition of being blind , literally or figuratively"
bliss,heavenly joy
block,"the wooden mold on which hats , bonnets , etc"
blood,relationship by descent from a common ancestor
bloom,a blossom
blooming,the process of making blooms from the ore or from cast iron
blossom,"the flower of a plant , or the essential organs of reproduction , with their appendages"
blot,"a single man left on a point , exposed to be taken up"
blow,a state of blossoming
blue,"one of the seven colors into which the rays of light divide themselves , when refracted through a glass prism"
bluff,braggadocio
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blunt,a short needle with a strong point
blush,"a suffusion of the cheeks or face with red , as from a sense of shame , confusion , or modesty"
blushing,the appearance of a reddish color or flush upon the cheeks
board,provision
boat,any vessel
body,"the substance , as opposed to the shadow"
bohemian,a native of bohemia
boil,act or state of boiling
boiler,a sunken reef
boiling,the act of ebullition or of tumultuous agitation
boldness,the state or quality of being bold
bolt,"a strong pin , of iron or other material , used to fasten or hold something in place , often having a head at one end and screw thread cut upon the other end"
bondage,tie of duty
bond,imprisonment
bone,one of the pieces or parts of an animal skeleton
bonnet,"a soft , elastic , very durable cap , made of thick , seamless woolen stuff , and worn by men in scotland"
book,"a composition , written or printed"
boon,a benefaction
boot,amends
booty,pillage
border,"the outer part or edge of anything , as of a garment , a garden , etc"
bore,a hole made by boring
bosom,consciousness
boss,a political dictator
bother,state of perplexity or annoyance
bottle,intoxicating liquor
bottom,groundwork
bough,"an arm or branch of a tree , especially a large arm or main branch"
bound,a leap
boundary,"that which indicates or fixes a limit or extent , or marks a bound , as of a territory"
bounty,gracious or liberal giving
bower,"anciently , a chamber"
bowing,the act or art of managing the bow in playing on stringed instruments
bowl,"a concave vessel of various forms ( often approximately hemispherical ), to hold liquids , etc"
bow,one who rows in the forward part of a boat
box,"a space with a few seats partitioned off in a theater , or other place of public amusement"
boy,"a male child , from birth to the age of puberty"
boyhood,the time during which one is a boy
brace,that which holds anything tightly or supports it firmly
brain,the organ or seat of intellect
brake,a baker ' s kneading though
branch,a distinct article
brand,"a stick piece of wood partly burnt , whether burning after the fire is extinct"
brandy,a strong alcoholic liquor distilled from wine
brass,a brazen face
brave,one who is daring
bravery,fine dress
breach,a rupture
bread,sustenance
breadth,width
break,an opening made by fracture or disruption
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breast,the chest
breath,the air inhaled and exhaled in respiration
breeding,the act or process of generating or bearing
breed,sort
breeze,refuse left in the process of making coke or burning charcoal
bribe,that which seduces
brick,any oblong rectangular mass
bridal,a nuptial festival or ceremony
bride,"a woman newly married , or about to be married"
bridegroom,"a man newly married , or just about to be married"
bridge,"a structure , usually of wood , stone , brick , or iron , erected over a river or other water course , or over a chasm , railroad , etc"
bridle,a check
brief,a short concise writing or letter
brigade,any body of persons organized for acting or marching together under authority
bright,brightness
brightness,brilliancy
brig,"on a united states man - of - war , the prison or place of confinement for offenders"
brilliant,"a kind of cotton goods , figured on the weaving"
brim,"the rim , border , or upper edge of a cup , dish , or any hollow vessel used for holding anything"
brink,"a bank or edge , as of a river or pit"
bronze,"a statue , bust , etc"
brood,species
brook,a natural stream of water smaller than a river or creek
brother,"a male person who has the same father and mother with another person , or who has one of them only"
brotherhood,"an association for any purpose , as a society of monks"
brown,"a dark color inclining to red or yellow , resulting from the mixture of red and black , or of red , black , and yellow"
brush,the bushy tail of a fox
brute,as unfeeling or coarse person
buck,a male indian or negro
bucket,a float of a paddle wheel
bud,"a small protuberance on certain low forms of animals and vegetables which develops into a new organism , either free or attached"
buffalo,any species of wild ox
bug,a general name applied to various insects belonging to the hemiptera
buggy,"a light , four - wheeled vehicle , usually with one seat , and with or without a calash top"
build,general figure
building,"a fabric or edifice constructed , as a house , a church , etc"
bulk,magnitude of material substance
bullet,a small ball
bull,the male of any species of cattle
bully,"an insolent , tyrannical fellow"
bunch,a knob or lump
bundle,"a number of things bound together , as by a cord or envelope , into a mass or package convenient for handling or conveyance"
burden,a load
bureau,"iginally , a desk writing table with drawers f papers"
burial,interment
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,a rupture or hernia
bury,a manor
bush,a wild forest
business,financial dealings
bust,a woman ' s bosom { 2 }
bustle,agitation
butcher,one whose occupation it is to kill animals for food
butt,a target
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,a bud
cab,"a hebrew dry measure , containing a little over two ( 2"
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,a small room
cabinet,"a small room , or retired apartment"
cable,"a molding , shaft of a column , or any other member of convex , rounded section , made to resemble the spiral twist of a rope"
cage,"a box or inclosure , wholly or partly of openwork , in wood or metal , used for confining birds or other animals"
cake,a thin loaf from unleavened dough
calamity,any great misfortune or cause of misery
calculation,computation
calendar,"an orderly list or enumeration of persons , things , or events"
calf,any silly person
call,an invitation to take charge of or serve a church as its pastor
calling,the act of one who calls
calmness,the state of quality of being calm
calm,stillness
camel,a large ruminant used in asia and africa for carrying burdens and for riding
campaign,the time during which an army keeps the field
camp,"the ground or spot on which tents , huts , etc"
canal,"a long and relatively narrow arm of the sea , approximately uniform in width"
candidate,"one who offers himself , or is put forward by others , as a suitable person or an aspirant or contestant for an office , privilege , or honor"
candle,a luminary
candy,"it is often made by boiling sugar or molasses to the desired consistency , and than crystallizing , molding , or working in the required shape"
cane,stems of other plants are sometimes called canes
cannon,a great gun
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small territorial district
capacity,the comprehensiveness of the mind
cape,a headland
capital,"the sum invested or lent , as distinguished from the income or interest"
cap,"one usually with a visor but without a brim , for men and boys"
caprice,"an abrupt change in feeling , opinion , or action , proceeding from some whim or fancy"
captain,"an officer in the united states navy , next above a commander and below a commodore , and ranking with a colonel in the army"
captive,"a prisoner taken by force or stratagem , especially , by an enemy , in war"
captivity,a state of being under control
capture,prey
car,a cart
caravan,"an itinerant show , as of wild beasts"
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
card,"an instrument for disentangling and arranging the fibers of cotton , wool , flax , etc"
cardinal,a woman ' s short cloak with a hood
career,a running
carelessness,the quality or state of being careless
care,solicitude
caress,any act or expression of affection
cargo,load
carpet,"iginally , also , a wrought cover f tables"
carriage,"a wheeled vehicle for persons , especially one designed for elegance and comfort"
carry,a carrying place
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,the whiff
case,an instance of sickness or injury
cash,"but also applied to bank notes , drafts , bonds , or any paper easily convertible into money"
cast,a throw
caste,a separate and fixed order or class of persons in society who chiefly hold intercourse among themselves
casting,"the act of one who casts or throws , as in fishing"
castle,"a small tower , as on a ship , or an elephant ' s back"
casual,a vagrant
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,an event producing a subversion of the order or system of things
catch,gain
catching,the act of seizing or taking hold of
cause,motive
caution,security
cavalier,"a gay , sprightly , military man"
cavalry,that part of military force which serves on horseback
cave,a cavern
cavern,"a large , deep , hollow place in the earth"
cavity,a hollow
cedar,the name of several evergreen trees
ceiling,the under side of the floor above
celebration,"the act , process , or time of celebrating"
celestial,a chinese
cellar,"a room or rooms under a building , and usually below the surface of the ground , where provisions and other stores are kept"
cell,"a very small and close apartment , as in a prison or in a monastery or convent"
cement,"a kind of calcined limestone , or a calcined mixture of clay and lime , for making mortar which will harden under water"
cemetery,a graveyard
censure,reprehension
cent,a hundred
center,the nucleus around which things are gathered or to which they tend
century,"a division of the roman people formed according to their property , for the purpose of voting for civil officers"
ceremonial,"a system of rules and ceremonies , enjoined by law , or established by custom , in religious worship , social intercourse , or the courts of princes"
ceremony,a formal method of performing acts of civility
certainty,a fact or truth unquestionable established
certificate,a written testimony to the truth of any fact
cessation,"a ceasing or discontinuance , as of action , whether temporary or final"
chain,"a series of links or rings , usually of metal , connected , or fitted into one another , used for various purposes , as of support , of restraint , of ornament , of the exertion and transmission of mechanical power , etc"
chair,a movable single seat with a back
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chalk,"a soft , earthy substance , of a white , grayish , or yellowish white color , consisting of calcium carbonate , and having the same composition as common limestone"
challenge,the opening and crying of hounds at first finding the scent of their game
chamber,apartments in a lodging house
champion,one who engages in any contest
chance,fate
change,variety
channel,"the deeper part of a river , harbor , strait , etc"
chant,song
chaos,disorder
chap,"a cleft , crack , or chink , as in the surface of the earth , or in the skin"
chapel,"a room or recess in a church , containing an altar"
chaplain,"a clergyman who is officially attached to the army or navy , to some public institution , or to a family or court , for the purpose of performing divine service"
chapter,a division of a book or treatise
characteristic,that which characterized
character,"the stamp impressed by nature , education , or habit"
charcoal,impure carbon prepared from vegetable or animal substances
charge,duty
chariot,"a four - wheeled pleasure or state carriage , having one seat"
charity,love
charm,"a magical combination of words , characters , etc"
chart,"a map on which is projected a portion of water and the land which it surrounds , or by which it is surrounded , intended especially for the use of seamen"
charter,an act of a legislative body creating a municipal or other corporation and defining its powers and privileges
chase,that which is pursued or hunted
chasm,a cleft
chat,conversation
chatter,"noise made by collision of the teeth , as in shivering"
cheat,imposition
check,"such a menace of a player ' s king by an adversary ' s move as would , if it were any other piece , expose it to immediate capture"
cheer,entertainment
cheerfulness,alacrity
cheese,"the curd of milk , coagulated usually with rennet , separated from the whey , and pressed into a solid mass in a hoop or mold"
chemical,a reagent
chemistry,"that branch of science which treats of the composition of substances , and of the changes which they undergo in consequence of alterations in the constitution of the molecules , which depend upon variations of the number , kind , or mode of arrangement , of the constituent atoms"
chest,"a case in which certain goods , as tea , opium , etc"
chestnut,the edible nut of a forest tree of europe and america
chicken,a young person
chief,the upper third part of the field
childhood,the time in which persons are children
child,"one who , by character of practice , shows signs of relationship to , or of the influence of , another"
chimney,"a tube usually of glass , placed around a flame , as of a lamp , to create a draft , and promote combustion"
china,a country in eastern asia
chin,the point of the under jaw
chivalry,"the qualifications or character of knights , as valor , dexterity in arms , courtesy , etc"
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,option
choir,the chancel
chorus,a company of singers singing in concert
chosen,"one who , or that which is the object of choice or special favor"
church,a denomination
churchyard,a cemetery
cigar,"a small roll of tobacco , used for smoking"
cigarette,a little cigar
circle,a ring
circuit,"that which encircles anything , as a ring or crown"
circulation,"the act of moving in a circle , or in a course which brings the moving body to the place where its motion began"
circumference,a circle
circumstance,situation
circus,"a circular inclosure for the exhibition of feats of horsemanship , acrobatic displays , etc"
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
citizen,a townsman
city,a corporate town
civility,politeness
civilization,refinement
claim,"a title to any debt , privilege , or other thing in possession of another"
clan,a body of persons united by some common interest or pursuit
clash,a collision
clasp,a throwing of the arms around
class,"a comprehensive division of animate or inanimate objects , grouped together on account of their common characteristics , in any classification in natural science , and subdivided into orders , families , tribes , genera , etc"
classic,"one learned in the literature of greece and rome , or a student of classical literature"
classification,the act of forming into a class or classes
clatter,a repetition of abrupt sounds
clause,"an article , stipulation , or proviso , in a legal document"
clay,"a soft earth , which is plastic , or may be molded with the hands , consisting of hydrous silicate of aluminium"
cleaning,the act of making clean
cleanliness,neatness of person or dress
clear,distance between extreme limits
clearing,the act or process of making clear
cleft,a crevice
clergy,"in england , usually restricted to the ministers of the established church"
clergyman,an ordained minister
clerk,"a parish officer , being a layman who leads in reading the responses of the episcopal church service , and otherwise assists in it"
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
client,a dependent
cliff,"a high , steep rock"
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
climax,the highest point
clock,a figure or figured work on the ankle or side of a stocking
close,ending
closer,that which finishes or terminates
closet,a room for privacy
cloth,"commonly , a woven fabric of cotton , woolen , or linen , adapted to be made into garments"
clothing,raiment
cloud,a blemish or defect
club,a cudgel
clue,a ball of thread
clump,the compressed clay of coal strata
cluster,a number of individuals grouped together or collected in one place
clutch,grasp
coach,"a first - class passenger car , as distinguished from a drawing - room car , sleeping car , etc"
coachman,a tropical fish of the atlantic ocean
coal,"a thoroughly charred , and extinguished or still ignited , fragment from wood or other combustible substance"
coast,"the seashore , or land near it"
coat,cloth
cock,"the male of birds , particularly of gallinaceous or domestic fowls"
code,any system of rules or regulations relating to one subject
coffin,the case in which a dead human body is inclosed for burial
coil,perplexity
coin,a wedge
coincidence,"exact correspondence in nature , character , result , circumstances , etc"
cold,a catarrh
coldness,the state or quality of being cold
collapse,"extreme depression or sudden failing of all the vital powers , as the result of disease , injury , or nervous disturbance"
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collect,"a short , comprehensive prayer , adapted to a particular day , occasion , or condition , and forming part of a liturgy"
collection,the act or process of collecting or of gathering
college,"a collection , body , or society of persons engaged in common pursuits , or having common duties and interests , and sometimes , by charter , peculiar rights and privileges"
collision,a clashing
colony,a territory subject to the ruling governmental authority of another country and not a part of the ruling country
color,any hue distinguished from white or black
coloring,misrepresentation
column,a shaft or obelisk
comb,"an instrument with teeth , for straightening , cleansing , and adjusting the hair , or for keeping it in place"
combat,a contest of violence
combination,"the act or process of uniting by chemical affinity , by which substances unite with each other in definite proportions by weight to form distinct compounds"
comfortable,a comforter
comfort,that which affords consolation
coming,manifestation
command,authority
commander,"the chief officer of an army , or of any division of it"
commencement,start
comment,explanation
commerce,extended trade or traffic
commission,a charge
committee,a guardian
commodore,"sometimes , by courtesy , the senior captain of a squadron"
commonplace,a memorandum
common,to a number of persons
commonwealth,the public
commotion,"agitation , perturbation , or disorder , of mind"
communication,"interchange of thoughts or opinions , by conference or other means"
communion,a body of christians having one common faith and discipline
community,a commonwealth or state
compact,a covenant or contract
companion,"one who accompanies or is in company with another for a longer or shorter period , either from choice or casually"
companionship,association
company,a companion or companions
comparison,relative estimate
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,an area
compassion,a sensation of sorrow excited by the distress or misfortunes of another
compensation,remuneration
competition,common strife for the same objects
compilation,a book or document composed of materials gathering from other books or documents
complaint,murmuring
completion,fulfillment
complex,collection
complexion,the general appearance or aspect
compliance,concession
compliment,"an expression , by word or act , of approbation , regard , confidence , civility , or admiration"
composer,"one who , or that which , quiets or calms"
composition,a work of art considered as such
composure,calmness
compound,the result of composition
comprehension,the capacity of the mind to perceive and understand
compromise,a prejudicial concession
comrade,"a mate , companion , or associate"
concealment,the state of being concealed
conceit,thought
concentration,"the act or process of reducing the volume of a liquid , as by evaporation"
concept,a notion
conception,the power or faculty of apprehending of forming an idea in the mind
concern,that which affects the welfare or happiness
concert,concord
concession,a boon
conclusion,the last part of anything
concrete,a term designating both a quality and the subject in which it exists
condemnation,blame
condition,terms specified
conductor,a director
conduct,the act or method of conducting
conference,"a meeting for consultation , discussion , or an interchange of opinions"
confession,acknowledgment
confidence,reliance
confine,common boundary
confinement,lying - in
confirmation,additional evidence
conflict,violent collision
conformity,agreement
confusion,indistinct combination
congregation,"an assembly of persons met for the worship of god , and for religious instruction"
conjecture,suspicion
conjunction,the meeting of two or more stars or planets in the same degree of the zodiac
connection,junction
connexion,connection
conscience,the moral sense
consciousness,"knowledge of one ' s own existence , condition , sensations , mental operations , acts , etc"
consent,agreement
consequence,chain of causes and effects
consequent,"the second term of a ratio , as the term b in the ratio a : b , the first a , being the antecedent"
conservative,one who holds moderate opinions in politics
consideration,thoughtful or sympathetic regard or notice
