abandon,freedom from artificial constraint
affinity,connection
affirmative,a word or phrase expressing affirmation or assent
affliction,a pain or grief
afternoon,"the part of the day which follows noon , between noon and evening"
age,an advanced period of life
agency,the state of being in action
agent,"one who exerts power , or has the power to act"
aggregate,"a mass , assemblage , or sum of particulars"
agitation,"excitement of public feeling by discussion , appeals , etc"
agony,anguish
agreement,"harmony of opinion , statement , action , or character"
agriculture,farming
aid,a helper
aim,intention
air,"a particular state of the atmosphere , as respects heat , cold , moisture , etc"
aisle,improperly used also for the have
alacrity,"a cheerful readiness , willingness , or promptitude"
alarm,sudden surprise with fear or terror excited by apprehension of danger
alcohol,pure spirit of wine
ale,"an intoxicating liquor made from an infusion of malt by fermentation and the addition of a bitter , usually hops"
alert,a sudden attack
alien,one excluded from certain privileges
allegiance,devotion
alley,a choice taw or marble
alliance,union by relationship in qualities
allowance,a limited quantity of meat and drink when provisions fall short
allusion,"a reference to something supposed to be known , but not explicitly mentioned"
ally,one united to another by treaty or league
aloof,same as alewife
alphabet,the simplest rudiments
altar,"in the christian church , a construction of stone , wood , or other material for the celebration of the holy eucharist"
alteration,the act of altering or making different
alternate,a proportion derived from another proportion by interchanging the means
alternative,"an offer of two things , one of which may be chosen , but not both"
amateur,"one who cultivates any study or art , from taste or attachment , without pursuing it professionally"
ambassador,a minister of the highest rank sent to a foreign court to represent there his sovereign or country
amber,a clear light yellow
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a snare
amendment,an alteration or change for the better
ammunition,articles used in charging firearms and ordnance of all kinds
amount,a totality
amusement,pleasurable excitement
analogy,"a relation or correspondence in function , between organs or parts which are decidedly different"
analysis,"a resolution of anything , whether an object of the senses or of the intellect , into its constituent or original elements"
anarchy,absence of government
ancestor,one from whom an estate has descended
anchor,"a iron instrument which is attached to a ship by a cable ( rope or chain ), and which , being cast overboard , lays hold of the earth by a fluke or hook and thus retains the ship in a particular station"
ancient,a person of influence
anecdote,a biographical incident or fragment
angel,genius
anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,a corner
anguish,"extreme pain , either of body or mind"
animal,one of the lower animals
animation,vivacity
ankle,the joint which connects the foot with the leg
anniversary,the day on which mass is said yearly for the soul of a deceased person
announcement,publication
annoy,a feeling of discomfort or vexation caused by what one dislikes
annoyance,molestation
annual,"a mass for a deceased person or for some special object , said daily for a year or on the anniversary day"
answer,"something said or written in reply to a question , a call , an argument , an address , or the like"
antagonist,a muscle which acts in opposition to another
anticipation,instinctive prevision
antique,"but in a more limited sense , a relic or object of ancient art"
antiquity,times long since past
anxiety,"concern or solicitude respecting some thing or event , future or uncertain , which disturbs the mind , and keeps it in a state of painful uneasiness"
ape,a mimic
apology,"an admission to another of a wrong or discourtesy done him , accompanied by an expression of regret"
apostle,a messenger
apparatus,things provided as means to some end
apparel,vesture
apparition,a phantom
appeal,an application for the removal of a cause or suit from an inferior to a superior judge or court for re ë xamination or review
appearance,a thing seed
appellation,the word by which a particular person or thing is called and known
appetite,any strong desire
applause,marked commendation
application,the act of applying as a means
appointment,an office to which one is appointed
appreciation,a rise in value
apprehension,intellection
apprentice,"one who is bound by indentures or by legal agreement to serve a mechanic , or other person , for a certain time , with a view to learn the art , or trade , in which his master is bound to instruct him"
approach,advances
approbation,an assenting to the propriety of a thing with some degree of pleasure or satisfaction
appropriation,"the act of setting apart or assigning to a particular use or person , or of taking to one ' s self , in exclusion of all others"
approval,approbation
apron,"a piece of leather , or other material , to be spread before a person riding on an outside seat of a vehicle , to defend him from the rain , snow , or dust"
archbishop,a chief bishop
architect,a person skilled in the art of building
architecture,the art of building houses churches bridges and other structures for the purposes of civil life
arch,"usually a curved member made up of separate wedge - shaped solids , with the joints between them disposed in the direction of the radii of the curve"
arctic,a warm waterproof overshoe
ardor,bright and effulgent spirits
area,"any plane surface , as of the floor of a room or church , or of the ground within an inclosure"
arena,“ sand ” or “ gravel ” in the kidneys
argument,theme or topic
aristocracy,an oligarchy
arithmetic,the science of numbers
arm,an instrument of warfare
armor,any clothing or covering worn to protect one ' s person in battle
army,a vast multitude
arrangement,the act of arranging or putting in an orderly condition
array,a body of soldiers
arrest,stoppage
arrival,"the act of arriving , or coming"
arrogance,self - assumption
arrow,"a missile weapon of offense , slender , pointed , and usually feathered and barbed , to be shot from a bow"
article,a distinct part
artillery,great guns
artist,one who shows trained skill or rare taste in any manual art or occupation
art,the application of knowledge or power to practical purposes
ascetic,"in the early church , one who devoted himself to a solitary and contemplative life , characterized by devotion , extreme self - denial , and self - mortification"
ash,sing
asking,solicitation
asp,"a small , hooded , poisonous serpent of egypt and adjacent countries , whose bite is often fatal"
aspect,that position which enables one to look in a particular direction
ass,"a dull , heavy , stupid fellow"
assassination,a killing by treacherous violence
assault,the rush or charge of an attacking force
assembly,"a company of persons collected together in one place , and usually for some common purpose , especially for deliberation and legislation , for worship , or for social entertainment"
assent,consent
assertion,affirmation
assign,a person to whom property or an interest is transferred
assistance,furtherance
assistant,one who is present
associate,"one frequently in company with another , implying intimacy or equality"
association,"connection , whether of persons of things"
assumption,supposition
assurance,a declaration tending to inspire full confidence
assured,one whose life or property is insured
astonishment,"the overpowering emotion excited when something unaccountable , wonderful , or dreadful is presented to the mind"
asylum,any place of retreat and security
atmosphere,any gaseous envelope or medium
atonement,"satisfaction or reparation made by giving an equivalent for an injury , or by doing of suffering that which will be received in satisfaction for an offense or injury"
attachment,"the act attaching , or state of being attached"
attack,an assault upon one ' s feelings or reputation with unfriendly or bitter words
attempt,"an attack , or an effort to gain a point"
attendance,the fact of being present
attendant,a concomitant
attention,an act of civility or courtesy
attic,an athenian author
attire,dress
attitude,position assumed or studied to serve a purpose
attorney,one who is legally appointed by another to transact any business for him
attraction,an attractive quality
attractive,an attraction
attribute,"a quality which is considered as belonging to , or inherent in , a person or thing"
audacity,presumptuous impudence
audience,the act of hearing
august,"the eighth month of the year , containing thirty - one days"
aunt,the sister of one ' s father or mother
authority,a right to command or to act
author,"the beginner , former , or first mover of anything"
automobile,"a self - propelled vehicle used for transporting passengers , suitable for use on a street or roadway"
autumn,"the third season of the year , or the season between summer and winter , often called “ the fall"
avail,profit
avarice,greediness for wealth
avenue,"the principal walk or approach to a house which is withdrawn from the road , especially , such approach bordered on each side by trees"
average,"that service which a tenant owed his lord , to be done by the work beasts of the tenant , as the carriage of wheat , turf , etc"
aversion,the object of dislike or repugnance
awe,an undefined sense of the dreadful and the sublime
axis,a line passing through a body or system around which the parts are symmetrically arranged
azure,the clear blue color of the sky
babe,a baby
baby,an infant or young child of either sex
bachelor,a man of any age who has not been married
back,"an extended upper part , as of a mountain or ridge"
background,the space which is behind and subordinate to a portrait or group of figures
bacon,the back and sides of a pig salted and smoked
bag,"a sac , or dependent gland , in animal bodies , containing some fluid or other substance"
baggage,a prostitute
bait,temptation
baker,"one whose business it is to bake bread , biscuit , etc"
bake,"the process , or result , of baking"
baking,a batch
balance,an apparatus for weighing
balcony,a projecting gallery once common at the stern of large ships
ballad,"a popular kind of narrative poem , adapted for recitation or singing"
ball,"a spherical body of any substance or size used to play with , as by throwing , knocking , kicking , etc"
balloon,the outline inclosing words represented as coming from the mouth of a pictured figure
band,a fetter
bang,the loud sound produced by a sudden concussion or explosion
banker,one who conducts the business of banking
bank,the building or office used for banking purposes
banner,"a kind of flag attached to a spear or pike by a crosspiece , and used by a chief as his standard in battle"
banquet,a sumptuous entertainment of eating and drinking
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
barbarian,"a man in a rude , savage , or uncivilized state"
bare,"that part of a roofing slate , shingle , tile , or metal plate , which is exposed to the weather"
bargain,"a contract by which one party binds himself to transfer the right to some property f a consideration , and the other party binds himself to receive the property and pay the consideration"
barge,a pleasure boat
bark,a similar sound made by some other animals
baron,"in england , a nobleman of the lowest grade in the house of lords , being next below a viscount"
barrel,"a round vessel or cask , of greater length than breadth , and bulging in the middle , made of staves bound with hoops , and having flat ends or heads"
barrier,"a fortress or fortified town , on the frontier of a country , commanding an avenue of approach"
base,"the bottom of anything , considered as its support , or that on which something rests for support"
basil,the skin of a sheep tanned with bark
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,the first or fundamental principle
basket,the two back seats facing one another on the outside of a stagecoach
bass,its bark which is used for making mats
bathe,the immersion of the body in water
bathing,act of taking a bath or baths
bath,"the act of exposing the body , or part of the body , for purposes of cleanliness , comfort , health , etc"
bat,"specifically , a piece of wood with one end thicker or broader than the other , used in playing baseball , cricket , etc"
battery,"any place where cannon or mortars are mounted , for attack or defense"
battle,a contest
bay,"an inlet of the sea , usually smaller than a gulf , but of the same general character"
beach,a sandy or pebbly shore
beak,"a similar bill in other animals , as the turtles"
beam,one of the principal horizontal timbers of a building or ship
beard,"the hair that grows on the chin , lips , and adjacent parts of the human face , chiefly of male adults"
bearing,suffering without complaint
beast,any animal other than a human
beating,punishment or chastisement by blows
beat,"the rise or fall of the hand or foot , marking the divisions of time"
beauty,"a particular grace , feature , ornament , or excellence"
beaver,"that piece of armor which protected the lower part of the face , whether forming a part of the helmet or fixed to the breastplate"
bed,a couch
bedroom,a lodging room
beef,applied colloquially to human flesh
bee,"pieces of hard wood bolted to the sides of the bowsprit , to reeve the fore - topmast stays through"
beer,"a fermented extract of the roots and other parts of various plants , as spruce , ginger , sassafras , etc"
beg,a bey
beggar,one who is dependent upon others for support
beginning,a rudiment or element
behavior,conduct
being,"living existence , as distinguished from a thing without life"
belief,conviction
believer,a christian
bell,"a hollow metallic vessel , usually shaped somewhat like a cup with a flaring mouth , containing a clapper or tongue , and giving forth a ringing sound on being struck"
belly,the innermost part
belonging,an appendage
beloved,one greatly loved
bench,the seat where judges sit in court
benefactor,one who confers a benefit or benefits
benefit,"a theatrical performance , a concert , or the like , the proceeds of which do not go to the lessee of the theater or to the company , but to some individual actor , or to some charitable use"
benevolence,charity given
bent,flexion
berth,convenient sea room
best,utmost
better,one who has a claim to precedence
bet,"that which is laid , staked , or pledged , as between two parties , upon the event of a contest or any contingent issue"
bewilderment,a bewildering tangle or confusion
bid,"a statement of a sum which one will give for something to be received , or will take for something to be done or furnished"
bidding,"a proposal of a price , as at an auction"
big,"barley , especially the hardy four - rowed kind"
bill,"a declaration made in writing , stating some wrong the complainant has suffered from the defendant , or a fault committed by some person against a law"
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,two
binding,"the cover of a book , or the cover with the sewing , etc"
bind,that which binds or ties
biography,biographical writings in general
bird,the young of a fowl
birthday,day of origin or commencement
birth,"the act or fact of coming into life , or of being born"
biscuit,"earthen ware or porcelain which has undergone the first baking , before it is subjected to the glazing"
bishop,"a spiritual overseer , superintendent , or director"
bite,the wound made by biting
bitterness,severity
bit,"the part of a bridle , usually of iron , which is inserted in the mouth of a horse , and having appendages to which the reins are fastened"
blacksmith,"a smith who works in iron with a forge , and makes iron utensils , horseshoes , etc"
black,that which is destitute of light or whiteness
blade,the broad part of an oar
blame,an expression of disapprobation fir something deemed to be wrong
blank,any void space
blanket,"a heavy , loosely woven fabric , usually of wool , and having a nap , used in bed clothing"
blast,a violent gust of wind
blaze,a bright flame
bleeding,a hemorrhage
blessing,a benediction
blind,a cover
blindness,"state or condition of being blind , literally or figuratively"
bliss,blessedness
block,"a solid mass of wood , stone , etc"
blood,descent
blooming,the process of making blooms from the ore or from cast iron
bloom,the opening of flowers in general
blossom,something lovely that gives rich promise
blot,"a single man left on a point , exposed to be taken up"
blow,a state of blossoming
blue,the sky
bluff,"a high , steep bank , as by a river or the sea , or beside a ravine or plain"
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blunt,a short needle with a strong point
blush,a red or reddish color
blushing,the act of turning red
board,a table to put food upon
boat,any vessel
body,"the substance , as opposed to the shadow"
bohemian,a native of bohemia
boil,act or state of boiling
boiler,a sunken reef
boiling,exposure to the action of a hot liquid
boldness,the state or quality of being bold
bolt,"a shaft or missile intended to be shot from a crossbow or catapult , especially a short , stout , blunt - headed arrow"
bondage,condition of being under restraint
bond,a shackle or a manacle
bone,any fragment of bony substance
bonnet,"a soft , elastic , very durable cap , made of thick , seamless woolen stuff , and worn by men in scotland"
book,"a collection of sheets of paper , or similar material , blank , written , or printed , bound together"
boon,a benefaction
boot,one who brings relief
booty,plunder
border,a boundary
bore,a hole made by boring
bosom,the breasts of a woman
boss,a director or manager
bother,embarrassment
bottle,intoxicating liquor
bottom,the lowest part of anything
bough,"an arm or branch of a tree , especially a large arm or main branch"
boundary,a real or imaginary limit
bound,"the external or limiting line , either real or imaginary , of any object or space"
bounty,liberality in bestowing gifts or favors
bow,"anything bent , or in the form of a curve , as the rainbow"
bower,an arbor
bowing,the act or art of managing the bow in playing on stringed instruments
bowl,convivial drinking
box,a receptacle or case of any firm material and of various shapes
boy,a lad
boyhood,the state of being a boy
brace,"a cord , ligament , or rod , for producing or maintaining tension , as a cord on the side of a drum"
brain,the organ or seat of intellect
brake,"a place overgrown with shrubs and brambles , with undergrowth and ferns , or with canes"
branch,any member or part of a body or system
brand,kind
brandy,a strong alcoholic liquor distilled from wine
brass,"an alloy ( usually yellow ) of copper and zinc , in variable proportion , but often containing two parts of copper to one part of zinc"
brave,one who is daring
bravery,intrepidity
breach,"the act of breaking , in a figurative sense"
bread,sustenance
breadth,distance from side to side of any surface or thing
break,"an opening or displacement in the circuit , interrupting the electrical current"
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breast,the front or forward part of anything
breath,"the power of respiration , and hence , life"
breeding,nurture
breed,kind
breeze,an excited or ruffed state of feeling
bribe,that which seduces
brick,any oblong rectangular mass
bridal,a marriage
bride,an object ardently loved
bridegroom,"a man newly married , or just about to be married"
bridge,"the small arch or bar at right angles to the strings of a violin , guitar , etc"
bridle,a check
brief,"an abridgment or concise statement of a client ' s case , made out for the instruction of counsel in a trial at law"
brigade,any body of persons organized for acting or marching together under authority
bright,brightness
brightness,the quality or state of being bright
brig,"on a united states man - of - war , the prison or place of confinement for offenders"
brilliant,"below , it has a small face or collet , parallel to the table , connected with the girdle by a pavilion of elongated facets"
brim,border
brink,a verge
bronze,"an alloy of copper and tin , to which small proportions of other metals , especially zinc , are sometimes added"
brood,progeny
brook,a natural stream of water smaller than a river or creek
brotherhood,a fraternity
brother,"one related or closely united to another by some common tie or interest , as of rank , profession , membership in a society , toil , suffering , etc"
brown,"a dark color inclining to red or yellow , resulting from the mixture of red and black , or of red , black , and yellow"
brush,the bushy tail of a fox
brute,a beast
buck,a fop
bucket,"a vessel ( as a tub or scoop ) for hoisting and conveying coal , ore , grain , etc"
bud,an undeveloped branch or flower
buffalo,any species of wild ox
bug,a general name applied to various insects belonging to the hemiptera
buggy,"a light , four - wheeled vehicle , usually with one seat , and with or without a calash top"
building,"a fabric or edifice constructed , as a house , a church , etc"
build,make
bulk,magnitude of material substance
bullet,"a missile , usually of lead , and round or elongated in form , to be discharged from a rifle , musket , pistol , or other small firearm"
bull,"so called , perhaps , from the apparent incongruity between the dictatorial nature of the pope ' s bulls and his professions of humility"
bully,"an insolent , tyrannical fellow"
bunch,a protuberance
bundle,a roll
burden,"the verse repeated in a song , or the return of the theme at the end of each stanza"
bureau,the body of officials in a department who labor under the direction of a chief
burial,"depositing a dead body in the earth , in a tomb or vault , or in the water , usually with attendant ceremonies"
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burning,the state of being on fire or excessively heated
burst,a sudden breaking forth
bury,a manor
bush,"a thicket , or place abounding in trees or shrubs"
business,traffic in general
bustle,tumult from stirring or excitement
bust,the upper part of the trunk of the body
butcher,"one who slaughters animals , or dresses their flesh for market"
butt,a limit
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,"a catch , of various forms and materials , used to fasten together the different parts of dress , by being attached to one part , and passing through a slit , called a buttonhole , in the other"
cab,"a hebrew dry measure , containing a little over two ( 2"
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,a cottage or small house
cabinet,a closet
cable,"a large , strong rope or chain , of considerable length , used to retain a vessel at anchor , and for other purposes"
cage,"an outer framework of timber , inclosing something within it"
cake,a thin wafer - shaped mass of fried batter
calamity,a state or time of distress or misfortune
calculation,"the act or process , or the result , of calculating"
calendar,"an orderly arrangement of the division of time , adapted to the purposes of civil life , as years , months , weeks , and days"
calf,any silly person
call,an invitation
calling,a divine summons or invitation
calmness,quietness
calm,serenity
camel,a large ruminant used in asia and africa for carrying burdens and for riding
campaign,a connected series of military operations forming a distinct stage in a war
camp,"the ground or spot on which tents , huts , etc"
canal,a tube or duct
candidate,"one who offers himself , or is put forward by others , as a suitable person or an aspirant or contestant for an office , privilege , or honor"
candle,that which gives light
candy,"it is often made by boiling sugar or molasses to the desired consistency , and than crystallizing , molding , or working in the required shape"
cane,stems of other plants are sometimes called canes
cannon,a kind of type
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,a law or rule
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small community or clan
capacity,the receptive faculty
cape,a headland
capital,"the head or uppermost member of a column , pilaster , etc"
cap,"one usually with a visor but without a brim , for men and boys"
caprice,"an abrupt change in feeling , opinion , or action , proceeding from some whim or fancy"
captain,"an officer in the united states navy , next above a commander and below a commodore , and ranking with a colonel in the army"
captive,"a prisoner taken by force or stratagem , especially , by an enemy , in war"
captivity,bondage
capture,"the thing taken by force , surprise , or stratagem"
caravan,"a large , covered wagon , or a train of such wagons , for conveying wild beasts , etc"
car,"a vehicle of splendor , dignity , or solemnity"
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
card,"a piece of pasteboard , or thick paper , blank or prepared for various uses"
cardinal,a woman ' s short cloak with a hood
care,attention or heed
career,a running
carelessness,negligence
caress,"an embracing , or touching , with tenderness"
cargo,freight
carpet,"iginally , also , a wrought cover f tables"
carriage,the price or expense of carrying
carry,"a tract of land , over which boats or goods are carried between two bodies of navigable water"
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,the whiff
case,state of things
cash,immediate or prompt payment in current funds
caste,a separate and fixed order or class of persons in society who chiefly hold intercourse among themselves
casting,"the act or process of making casts or impressions , or of shaping metal or plaster in a mold"
castle,"a fortified residence , especially that of a prince or nobleman"
cast,the thing thrown
casual,a vagrant
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,the final event in a romance or a dramatic piece
catch,gain
catching,the act of seizing or taking hold of
cause,case
caution,"a pledge , bond , or other security for the performance of an obligation either in or out of judicial proceedings"
cavalier,a military man serving on horseback
cavalry,that part of military force which serves on horseback
cave,a cavern
cavern,"a large , deep , hollow place in the earth"
cavity,a hollow
cedar,the name of several evergreen trees
ceiling,the under side of the floor above
celebration,"the act , process , or time of celebrating"
celestial,a chinese
cellar,"a room or rooms under a building , and usually below the surface of the ground , where provisions and other stores are kept"
cell,a small religious house attached to a monastery or convent
cement,"a kind of calcined limestone , or a calcined mixture of clay and lime , for making mortar which will harden under water"
cemetery,a necropolis
censure,condemnatory judgment
cent,"a united states coin , the hundredth part of a dollar , formerly made of copper , now of copper , tin , and zinc"
center,the nucleus around which things are gathered or to which they tend
century,a period of a hundred years
ceremonial,outward form
ceremony,a formal method of performing acts of civility
certainty,freedom from ambiguity
certificate,a written testimony to the truth of any fact
cessation,a stop
chain,a series of things linked together
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chair,the office itself
chalk,"a soft , earthy substance , of a white , grayish , or yellowish white color , consisting of calcium carbonate , and having the same composition as common limestone"
challenge,a defiance
chamber,apartments in a lodging house
champion,"one who by defeating all rivals , has obtained an acknowledged supremacy in any branch of athletics or game of skill , and is ready to contend with any rival"
chance,the operation or activity of such agent
change,a passing from one phase to another
channel,"a strait , or narrow sea , between two portions of lands"
chant,"a psalm , etc"
chaos,disorder
chapel,"a small church , often a private foundation , as for a memorial"
chaplain,"a clergyman who is officially attached to the army or navy , to some public institution , or to a family or court , for the purpose of performing divine service"
chap,one of the jaws or the fleshy covering of a jaw
chapter,a division of a book or treatise
character,a distinctive mark
characteristic,"a distinguishing trait , quality , or property"
charcoal,impure carbon prepared from vegetable or animal substances
charge,office
chariot,"a four - wheeled pleasure or state carriage , having one seat"
charity,generosity
charm,an incantation
chart,a written deed
charter,"a special privilege , immunity , or exemption"
chase,a hunt
chasm,a void space
chat,conversation
chatter,"rapid , thoughtless talk"
cheat,a deceiver
check,"such a menace of a player ' s king by an adversary ' s move as would , if it were any other piece , expose it to immediate capture"
cheerfulness,a state of moderate joy or gayety
cheer,that which promotes good spirits or cheerfulness
cheese,"the curd of milk , coagulated usually with rennet , separated from the whey , and pressed into a solid mass in a hoop or mold"
chemical,a reagent
chemistry,an application of chemical theory and method to the consideration of some particular subject
chestnut,"the tree itself , or its light , coarse - grained timber , used for ornamental work , furniture , etc"
chest,the quantity which such a case contains
chicken,a young person
chief,the upper third part of the field
childhood,the condition or time from infancy to puberty
child,"one closely connected with a place , occupation , character , etc"
chimney,"an upright tube or flue of brick or stone , in most cases extending through or above the roof of the building"
china,a country in eastern asia
chin,the lower extremity of the face below the mouth
chivalry,"the spirit , usages , or manners of knighthood"
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,election
choir,the chancel
chorus,a company of singers singing in concert
chosen,"one who , or that which is the object of choice or special favor"
church,"a body of christian believers , holding the same creed , observing the same rites , and acknowledging the same ecclesiastical authority"
churchyard,"the ground adjoining a church , in which the dead are buried"
cigar,"a small roll of tobacco , used for smoking"
cigarette,a little fine tobacco rolled in paper for smoking
circle,"a plane figure , bounded by a single curve line called its circumference , every part of which is equally distant from a point within it , called the center"
circuit,the measure of a line round an area
circulation,"notes , bills , etc"
circumference,a periphery
circumstance,"that which attends , or relates to , or in some way affects , a fact or event"
circus,"a level oblong space surrounded on three sides by seats of wood , earth , or stone , rising in tiers one above another , and divided lengthwise through the middle by a barrier around which the track or course was laid out"
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
citizen,a townsman
city,"in great britain , a town corporate , which is or has been the seat of a bishop , or the capital of his see"
civility,courtesy
civilization,"the act of civilizing , or the state of being civilized"
claim,an assertion of a right or fact
clan,"a sect , society , or body of persons"
clash,a noisy collision of bodies
clasp,"an adjustable catch , bent plate , or hook , for holding together two objects or the parts of anything , as the ends of a belt , the covers of a book , etc"
class,"a comprehensive division of animate or inanimate objects , grouped together on account of their common characteristics , in any classification in natural science , and subdivided into orders , families , tribes , genera , etc"
classic,"one learned in the literature of greece and rome , or a student of classical literature"
classification,"a distribution into groups , as classes , orders , families , etc"
clatter,disturbance
clause,"an article , stipulation , or proviso , in a legal document"
clay,"earth in general , as representing the elementary particles of the human body"
cleaning,the act of making clean
cleanliness,neatness of person or dress
clearing,a tract of land cleared of wood for cultivation
clear,"the distance between the nearest surfaces of two bodies , or the space between walls"
cleft,a space or opening made by splitting
clergyman,in england usually restricted to a minister of the established church
clergy,"the body of men set apart , by due ordination , to the service of god , in the christian church , in distinction from the laity"
clerk,a scribe
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
client,one under the protection of another
cliff,"a high , steep rock"
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
climax,gradation
clock,"a machine for measuring time , indicating the hour and other divisions"
closer,"one who , or that which , closes"
closet,a small room or apartment for retirement
close,"the interest which one may have in a piece of ground , even though it is not inclosed"
clothing,"a covering of non - conducting material on the outside of a boiler , or steam chamber , to prevent radiation of heat"
cloth,the clerical profession
cloud,a blemish or defect
club,a cudgel
clue,a thread or other means of guidance
clump,a group
cluster,a crowd
clutch,seizure
coach,a special tutor who assists in preparing a student for examination
coachman,a man whose business is to drive a coach or carriage
coal,"a black , or brownish black , solid , combustible substance , dug from beds or veins in the earth to be used for fuel , and consisting , like charcoal , mainly of carbon , but more compact , and often affording , when heated , a large amount of volatile matter"
coast,"the seashore , or land near it"
coat,cloth
cock,the hammer in the lock of a firearm
code,"a body of law , sanctioned by legislation , in which the rules of law to be specifically applied by the courts are set forth in systematic form"
coffin,the case in which a dead human body is inclosed for burial
coil,toil
coin,a wedge
coincidence,the condition or fact of happening at the same time
coldness,the state or quality of being cold
cold,the relative absence of heat or warmth
collapse,a breakdown
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collect,"a short , comprehensive prayer , adapted to a particular day , occasion , or condition , and forming part of a liturgy"
collection,a gathering or assemblage of objects or of persons
college,"a society of scholars or friends of learning , incorporated for study or instruction , especially in the higher branches of knowledge"
collision,antagonism
colony,a settlement
color,any hue distinguished from white or black
coloring,disguise
column,"a body of troops formed in ranks , one behind the other"
comb,"an instrument with teeth , for straightening , cleansing , and adjusting the hair , or for keeping it in place"
combat,an engagement of no great magnitude
combination,"the act or process of uniting by chemical affinity , by which substances unite with each other in definite proportions by weight to form distinct compounds"
comfortable,a stuffed or quilted coverlet for a bed
comfort,a comfortable
coming,manifestation
command,an injunction
commander,"the chief officer of an army , or of any division of it"
commencement,beginning
comment,discourse
commerce,the exchange or buying and selling of commodities
commission,instructions as to how a trust shall be executed
committee,"one to whom the charge of the person or estate of another , as of a lunatic , is committed by suitable authority"
