alarm,any sound or information intended to give notice of approaching danger
alley,"a narrow passage or way in a city , as distinct from a public street"
alliance,affinity
allowance,a limited quantity of meat and drink when provisions fall short
allowance,"a stated quantity , as of food or drink"
allowance,authorization
allusion,a covert indication
alphabet,the letters of a language arranged in the customary order
altar,the communion table
alteration,a change made in the form or nature of a thing
alternative,"an offer of two things , one of which may be chosen , but not both"
alternative,either of two things or propositions offered to one ' s choice
ambassador,an official messenger and representative
amber,"the balsam , liquidambar"
ambush,"a concealed station , where troops or enemies lie in wait to attack by surprise"
amendment,an alteration or change for the better
amendment,"any alternation made or proposed to be made in a bill or motion by adding , changing , substituting , or omitting"
amendment,in public bodies
amendment,reformation of life by quitting vices
amount,the sum
analogy,"a relation or correspondence in function , between organs or parts which are decidedly different"
analysis,"an examination of the component parts of a subject , each separately , as the words which compose a sentence , the tones of a tune , or the simple propositions which enter into an argument"
anarchy,absence of government
ancestor,a progenitor
ancestor,one from whom an estate has descended
ancestor,"one from whom a person is descended , whether on the father ' s or mother ' s side , at any distance of time"
anchor,"a iron instrument which is attached to a ship by a cable ( rope or chain ), and which , being cast overboard , lays hold of the earth by a fluke or hook and thus retains the ship in a particular station"
anchor,that on which we place dependence for safety
anchor,that which gives stability or security
animal,"a brute or beast , as distinguished from man"
ankle,the tarsus
anniversary,"the annual return of the day on which any notable event took place , or is wont to be celebrated"
anniversary,the day on which mass is said yearly for the soul of a deceased person
announcement,proclamation
annoyance,annoy
answer,a reply
antiquity,great age
anxiety,eager desire
apology,a makeshift
apology,justification
apology,"something said or written in defense or justification of what appears to others wrong , or of what may be liable to disapprobation"
apostle,a messenger
apostle,one who initiates any great moral reform or first advocates any important belief
apostle,the missionary who first plants the christian faith in any part of the world
apparatus,machinery
apparatus,things provided as means to some end
apparition,a ghost
apparition,a phantom
appeal,the mode of proceeding by which such removal is effected
appearance,a phenomenon
appearance,exhibition of the person
appearance,look
appearance,the act of becoming visible to the eye
application,specific use
application,"the act of applying or laying on , in a literal sense"
appointment,designation of a person to hold an office or discharge a trust
appreciation,"a just valuation or estimate of merit , worth , weight , etc"
apprentice,one not well versed in a subject
approach,movements to gain favor
approbation,the act of approving
apron,"an article of dress , of cloth , leather , or other stuff , worn on the fore part of the body , to keep the clothes clean , to defend them from injury , or as a covering"
architect,a person skilled in the art of building
ardor,bright and effulgent spirits
ardor,eagerness
ardor,warmth or heat of passion or affection
area,an open space in a building
aristocracy,an oligarchy
arithmetic,a book containing the principles of this science
arithmetic,the science of numbers
arm,the limb of the human body which extends from the shoulder to the hand
army,a body of persons organized for the advancement of a cause
army,a great number
army,a vast multitude
array,disposition in regular lines
arrest,"any seizure by power , physical or moral"
arrest,hindrance
arrest,restraint
arrest,"the act of stopping , or restraining from further motion , etc"
arrival,"the attainment or reaching of any object , by effort , or in natural course"
arrogance,haughtiness
arrogance,presumption
arrogance,proud contempt of others
art,a system of principles and rules for attaining a desired end
artillery,great guns
art,the adaptation of things in the natural world to the uses of life
ascetic,one who practices extreme rigor and self - denial in religious things
aspect,"look , or particular appearance of the face"
asp,same as aspen
assassination,a killing by treacherous violence
assent,acquiescence
assent,concurrence with approval
assertion,maintenance
assign,a person to whom property or an interest is transferred
assistance,furtherance
assistance,the act of assisting
associate,"a partner in interest , as in business"
association,"connection , whether of persons of things"
association,"the act of associating , or state of being associated"
assurance,a declaration tending to inspire full confidence
assurance,certainty
assurance,firmness of mind
assured,one whose life or property is insured
atmosphere,a supposed medium around various bodies
atonement,amends
attachment,an � passion of affection that binds a person
attachment,connection
attachment,"some adjunct attached to an instrument , machine , or other object"
attachment,something attached
attachment,"the act attaching , or state of being attached"
attack,an onset
attendance,attendants
attendance,the persons attending
attention,exclusive or special consideration
attention,"the application of the mind to any object of sense , representation , or thought"
attire,clothes
attire,dress
attire,ornamental clothing
attitude,position assumed or studied to serve a purpose
attitude,"the posture or position of a person or an animal , or the manner in which the parts of his body are disposed"
attractive,that which attracts or draws
attribute,an essential or necessary property or characteristic
audience,admittance to a hearing
authority,jurisdiction
authority,legal or rightful power
authority,power exercised buy a person in virtue of his office or trust
avail,benefit
avenue,a broad street
avenue,"the principal walk or approach to a house which is withdrawn from the road , especially , such approach bordered on each side by trees"
average,any charge in addition to the regular charge for freight of goods shipped
aversion,reluctance
awe,"reverential fear , or solemn wonder"
azure,the blue vault above
azure,the unclouded sky
babe,a young child of either sex
baby,a small image of an infant
bacon,the back and sides of a pig salted and smoked
bag,"a sack or pouch , used for holding anything"
bait,a lure
baker,"one whose business it is to bake bread , biscuit , etc"
balance,estimate
balloon,"a bag made of silk or other light material , and filled with hydrogen gas or heated air , so as to rise and float in the atmosphere"
balloon,"a round vessel , usually with a short neck , to hold or receive whatever is distilled"
balloon,the outline inclosing words represented as coming from the mouth of a pictured figure
bang,an exclamation point
bang,"the short , front hair combed down over the forehead , especially when cut squarely across"
banker,one who conducts the business of banking
bank,the margin of a watercourse
banquet,a sumptuous entertainment of eating and drinking
barbarian,"a cruel , savage , brutal man"
bargain,a purchase
base,the foundation
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,that on which a thing rests
basis,that which supports
basis,the principal component part of a thing
basket,the two back seats facing one another on the outside of a stagecoach
bath,"and two pecks and five quarts , as a dry measure"
bath,a receptacle or place where persons may immerse or wash their bodies in water
bathe,the immersion of the body in water
battle,a combat
battle,"a general action , fight , or encounter , in which all the divisions of an army are or may be engaged"
beam,"any large piece of timber or iron long in proportion to its thickness , and prepared for use"
beam,one of the principal horizontal timbers of a building or ship
beam,the width of a vessel
beard,"the long hairs about the face in animals , as in the goat"
bearing,behavior
bearing,mien
bearing,suffering without complaint
bearing,the manner in which one bears or conducts one ' s self
bearing,"the situation of one object , with respect to another , such situation being supposed to have a connection with the object , or influence upon it , or to be influenced by it"
beast,"any four - footed animal , that may be used for labor , food , or sport"
beat,a pulsation
beat,a recurring stroke
beat,a throb
bed,an article of furniture to sleep or take rest in or on
bed,"a plat or level piece of ground in a garden , usually a little raised above the adjoining ground"
bedroom,room in a bed
bee,"pieces of hard wood bolted to the sides of the bowsprit , to reeve the fore - topmast stays through"
beginning,entrance into being or upon a course
beginning,that which is begun
behavior,conduct
behavior,mode of conducting one ' s self
being,"existence , as opposed to nonexistence"
being,"that which exists in any form , whether it be material or spiritual , actual or ideal"
belief,conviction
belief,the thing believed
bell,a hollow perforated sphere of metal containing a loose ball which causes it to sound when moved
belonging,an appurtenance
belonging,family
belonging,that which belongs to one
bench,"a long seat , differing from a stool in its greater length"
benefactor,one who confers a benefit or benefits
benefit,"whatever promotes prosperity and personal happiness , or adds value to property"
benevolence,"love of mankind , accompanied with a desire to promote their happiness"
bent,aim
bent,"a stalk of stiff , coarse grass"
bent,particular direction or tendency
better,"a superior , as in merit , social standing , etc"
better,one who bets or lays a wager
bet,"that which is laid , staked , or pledged , as between two parties , upon the event of a contest or any contingent issue"
bet,the act of giving such a pledge
bewilderment,the state of being bewildered
bidding,"a proposal of a price , as at an auction"
bidding,command
bill,"a beak , as of a bird , or sometimes of a turtle or other animal"
bill,a proposed or projected law
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,"that which is constituted of two figures , things , or parts"
binding,a bandage
birthday,"the day of the month in which a person was born , in whatever succeeding year it may recur"
birth,extraction
bit,a little
bit,a mite
bit,"a part of anything , such as may be bitten off or taken into the mouth"
bitterness,"deep distress , grief , or vexation of mind"
bitterness,"the quality or state of being bitter , sharp , or acrid , in either a literal or figurative sense"
bit,"the part of a bridle , usually of iron , which is inserted in the mouth of a horse , and having appendages to which the reins are fastened"
black,a member or descendant of certain african races
blacksmith,"a smith who works in iron with a forge , and makes iron utensils , horseshoes , etc"
blade,the broad part of an oar
blade,the cutting part of an instrument
blame,imputation of fault
blank,"an interval void of consciousness , action , result , etc"
blank,a void
blanket,"a heavy , loosely woven fabric , usually of wool , and having a nap , used in bed clothing"
blaze,"a bursting out , or active display of any quality"
blaze,an outburst
blessing,a benediction
blessing,"a declaration of divine favor , or an invocation imploring divine favor on some or something"
blessing,that which promotes prosperity and welfare
blind,a blinder for a horse
blind,"something to mislead the eye or the understanding , or to conceal some covert deed or design"
block,"the wooden mold on which hats , bonnets , etc"
blood,honorable birth
blood,relationship by descent from a common ancestor
bloom,the state of blossoming or of having the flowers open
blot,a blemish
blot,an exposed point or mark
blot,an exposure of a single man to be taken up
blow,"a blowing , especially , a violent blowing of the wind"
blow,a state of blossoming
blow,a sudden or forcible act or effort
blow,the infliction of evil
blue,a pedantic woman
blue,the sky
bluff,braggadocio
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blush,a red or reddish color
blush,a rosy tint
body,"the main , central , or principal part , as of a tree , army , country , etc"
bolt,a quarrel
bolt,a refusal to support a nomination made by the party with which one has been connected
bolt,"a sudden flight , as to escape creditors"
bondage,condition of being under restraint
bondage,slavery
book,"a collection of sheets of paper , or similar material , blank , written , or printed , bound together"
boon,a present
boot,a place for baggage at either end of an old - fashioned stagecoach
boot,remedy
booty,pillage
border,"a strip or stripe arranged along or near the edge of something , as an ornament or finish"
border,brink
border,verge
bore,the interior diameter of a tube or gun barrel
bosom,"the breast , considered as the seat of the passions , affections , and operations of the mind"
boss,a knoblike process
boss,a master workman or superintendent
boss,any protuberant part
boss,"a round , swelling part or body"
bother,embarrassment
bottle,"a hollow vessel , usually of glass or earthenware ( but formerly of leather ), with a narrow neck or mouth , for holding liquids"
bottle,intoxicating liquor
bough,"an arm or branch of a tree , especially a large arm or main branch"
bound,"that which limits or restrains , or within which something is limited or restrained"
bound,"the external or limiting line , either real or imaginary , of any object or space"
bounty,gracious or liberal giving
bounty,that which is given generously or liberally
bounty,"to encourage any branch of industry , as husbandry manufactures"
bower,a rustic cottage or abode
bower,one who bows or bends
bowl,a ball of wood or other material used for rolling on a level surface in play
bowl,"specifically , a drinking vessel for wine or other spirituous liquors"
bow,one who rows in the forward part of a boat
bow,the bending or rounded part of a ship forward
bow,the stream or prow
brace,a bandage or a prop
brace,"a cord , ligament , or rod , for producing or maintaining tension , as a cord on the side of a drum"
brand,"a sword , so called from its glittering or flashing brightness"
brand,kind
bravery,ostentation
bravery,the quality of being brave
breach,a break
breach,a rupture
breach,non - fulfillment
breach,violation
bread,food
bread,sustenance
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breeding,education
breeding,formation of manners
breeze,"a fresh , soft - blowing wind"
breeze,"a light , gentle wind"
breeze,"refuse coal , coal ashes , and cinders , used in the burning of bricks"
bribe,allurement
bribe,that which seduces
bridal,a nuptial festival or ceremony
bridge,a card game resembling whist
bridle,a check
brief,"an abridgment or concise statement of a client ' s case , made out for the instruction of counsel in a trial at law"
brightness,luster
brilliant,"a kind of cotton goods , figured on the weaving"
brim,the brink
bronze,"an alloy of copper and tin , to which small proportions of other metals , especially zinc , are sometimes added"
brood,progeny
brood,that which is bred or produced
brother,"a male person who has the same father and mother with another person , or who has one of them only"
brother,"one who , or that which , resembles another in distinctive qualities or traits of character"
buck,a male indian or negro
buggy,"a light , four - wheeled vehicle , usually with one seat , and with or without a calash top"
build,make
bull,"an apparent congruity , but real incongruity , of ideas , contained in a form of expression"
bull,a seal
bull,the male of any species of cattle
bunch,"a small isolated mass of ore , as distinguished from a continuous vein"
burden,that which is borne with labor or difficulty
burden,"that which is grievous , wearisome , or oppressive"
burden,the drone of a bagpipe
burden,the main topic
bureau,an office where business requiring writing is transacted
burial,interment
burst,"any brief , violent exertion or effort"
business,"any particular occupation or employment engaged in for livelihood or gain , as agriculture , trade , art , or a profession"
bustle,"a kind of pad or cushion worn on the back below the waist , by women , to give fullness to the skirts"
bust,"the portion of the human figure included between the head and waist , whether in statuary or in the person"
bust,the upper part of the trunk of the body
butt,a goal
button,a bud
butt,the extreme bound
cab,"a hebrew dry measure , containing a little over two ( 2"
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,a hut
cabinet,"a small room , or retired apartment"
calf,a dolt
calf,an awkward or silly boy or young man
calf,any silly person
calm,"a cessation or absence of that which causes motion or disturbance , as of winds or waves"
calm,"freedom from motion , agitation , or disturbance"
calmness,self - repose
camp,a single hut or shelter
candle,a luminary
cannon,a firearm for discharging heavy shot with great force
cannon,a great gun
cannon,a kind of type
canon,a law or rule
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small portion
capacity,"the power of receiving and holding ideas , knowledge , etc"
cape,a headland
cape,a promontory
cape,"a sleeveless garment or part of a garment , hanging from the neck over the back , arms , and shoulders , but not reaching below the hips"
capital,the seat of government
capital,"the sum invested or lent , as distinguished from the income or interest"
caprice,"an abrupt change in feeling , opinion , or action , proceeding from some whim or fancy"
capture,prey
car,a cart
car,a small vehicle moved on wheels
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
card,a roll or sliver of fiber ( as of wool ) delivered from a carding machine
cardinal,a woman ' s short cloak with a hood
card,plural a game played with cards
care,concern
career,a running
carelessness,heedlessness
carelessness,the quality or state of being careless
carriage,"the act of carrying , transporting , or conveying"
carriage,the price or expense of carrying
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,a british fish
case,"a circumstance , or all the circumstances"
case,an event
case,an instance
case,condition
case,the history of a disease or injury
case,the quantity contained in a box
casting,"the act or process of making casts or impressions , or of shaping metal or plaster in a mold"
casual,a vagrant
catastrophe,an event producing a subversion of the order or system of things
catch,that which is caught or taken
catch,the whole quantity caught or taken at one time
cause,a suit or action in court
cause,case
caution,advice
caution,provident care
caution,wariness
cavalier,"a gay , sprightly , military man"
cavalier,one of the court party in the time of king charles i
ceiling,the under side of the floor above
celestial,a native of china
celestial,an inhabitant of heaven
cell,"any small cavity , or hollow place"
cell,"a very small and close apartment , as in a prison or in a monastery or convent"
censure,condemnatory judgment
center,a principal or important point of concentration
century,"a division of the roman people formed according to their property , for the purpose of voting for civil officers"
ceremonial,"the order for rites and forms in the roman catholic church , or the book containing the rules prescribed to be observed on solemn occasions"
ceremony,forms of civility prescribed by custom or authority
certificate,a written testimony to the truth of any fact
chair,"an official seat , as of a chief magistrate or a judge , but especially that of a professor"
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chair,the presiding officer of an assembly
chamber,a bedroom
champion,a hero
champion,one who now acts speaks in behalf of a person a cause
channel,the hollow bed where a stream of water runs or may run
chant,"a psalm , etc"
chant,melody
chaos,confusion
chap,a fellow
chap,a youth
chapel,a small building attached to a church
chapter,a division of a book or treatise
character,"a letter , figure , or symbol"
character,disposition
characteristic,"a distinguishing trait , quality , or property"
characteristic,an element of character
characteristic,that which characterized
charge,a trust
charge,duty
charge,responsibility
charm,"a magical combination of words , characters , etc"
charm,a word or combination of words sung or spoken in the practice of magic
charm,that which fascinates
chart,a charter
charter,an act of a legislative body creating a municipal or other corporation and defining its powers and privileges
charter,"a special privilege , immunity , or exemption"
chasm,a cleft
chasm,a void space
chat,conversation
chat,gossip
chatter,idle talk
chatter,prattle
cheat,imposition
cheer,animation
cheerfulness,alacrity
cheerfulness,a state of moderate joy or gayety
cheer,mirth
chemistry,"that branch of science which treats of the composition of substances , and of the changes which they undergo in consequence of alterations in the constitution of the molecules , which depend upon variations of the number , kind , or mode of arrangement , of the constituent atoms"
chicken,a young person
chief,"a head man , as of a tribe , clan , or family"
chief,the principal actor or agent
chief,the principal part
child,"a male or female descendant , in the first degree"
childhood,the first period
chimney,"a tube usually of glass , placed around a flame , as of a lamp , to create a draft , and promote combustion"
chin,the point of the under jaw
chivalry,"the qualifications or character of knights , as valor , dexterity in arms , courtesy , etc"
choice,act of choosing
choice,care in selecting
choice,option
chorus,a band of singers and dancers
church,a denomination
circle,a ring
circle,the line that bounds such a figure
circuit,a revolution
circuit,"that which encircles anything , as a ring or crown"
circuit,"the act of moving or revolving around , or as in a circle or orbit"
circumference,a periphery
circumstance,a fact
circumstance,an attendant thing or state of things
circumstance,situation
circumstance,surroundings
circumstance,"that which attends , or relates to , or in some way affects , a fact or event"
citizen,a townsman
city,"in great britain , a town corporate , which is or has been the seat of a bishop , or the capital of his see"
civility,good breeding
civility,kind attention
clan,a body of persons united by some common interest or pursuit
clasp,a close embrace
clatter,disturbance
clatter,"rapid , noisy talk"
cleft,a crevice
clergy,"the body of men set apart , by due ordination , to the service of god , in the christian church , in distinction from the laity"
clerk,an accountant
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
clock,"a machine for measuring time , indicating the hour and other divisions"
close,a small field or piece of land surrounded by a wall hedge or fence of any kind
close,cadence
closer,that which finishes or terminates
club,a cudgel
club,"a heavy staff of wood , usually tapering , and wielded with the hand"
club,a weapon
clue,a thread or other means of guidance
cluster,a crowd
cluster,a number of individuals grouped together or collected in one place
clutch,grasp
clutch,seizure
coach,"a first - class passenger car , as distinguished from a drawing - room car , sleeping car , etc"
coachman,a tropical fish of the atlantic ocean
coat,"the habit or vesture of an order of men , indicating the order or office"
cock,a faucet or valve
coincidence,agreement
coincidence,the condition or fact of happening at the same time
cold,the relative absence of heat or warmth
cold,the sensation produced by the escape of heat
collapse,"a falling together suddenly , as of the sides of a hollow vessel"
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collision,a clashing
colony,"a company of people transplanted from their mother country to a remote province or country , and remaining subject to the jurisdiction of the parent state"
color,any hue distinguished from white or black
color,ruddy complexion
column,"a cylindrical or polygonal support for a roof , ceiling , statue , etc"
column,a kind of pillar
combat,a contest of violence
comfort,encouragement
coming,manifestation
command,authority
command,the possession or exercise of authority
commencement,rise
comment,talk
commerce,sexual intercourse
commerce,the exchange or buying and selling of commodities
commodore,"a title given by courtesy to the senior captain of a line of merchant vessels , and also to the chief officer of a yachting or rowing club"
commonplace,an idea or expression wanting originality or interest
commonwealth,"specifically , the form of government established on the death of charles i"
commotion,heat
communication,company
community,"the public , or people in general"
companion,an associate
companion,"one who is much in the company of , or is associated with , another or others"
companionship,association
company,friendly intercourse
comparison,a state quality or relation admitting of being compared
comparison,relative estimate
comparison,similitude
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,circuit
compensation,that which makes good the lack or variation of something else
compensation,the act or principle of compensating
complaint,fault - finding
compliance,a disposition to yield to others
compliance,complaisance
composition,"the act of writing for practice in a language , as english , latin , german , etc"
composure,a settled state
composure,calmness
comprehension,understanding
conceit,active imagination
conceit,idea
conceit,quickness of apprehension
conception,the act of conceiving in the womb
concern,business
concern,moment
concession,a grant
concession,a grant by government of a privilege or right to do something
conclusion,close
conclusion,final decision
concrete,"a mixture of gravel , pebbles , or broken stone with cement or with tar , etc"
condition,attribute
condition,predicament
conduct,behavior
conduct,generalship
conduct,personal deportment
conference,the act of consulting together formally
confession,"avowal , especially in a matter pertaining to one ' s self"
confession,profession of one ' s faith
confidence,a feeling of self - sufficiency
confinement,any restraint of liberty
confinement,imprisonment
confirmation,additional evidence
confirmation,convincing testimony
confirmation,that which gives new strength or assurance
confirmation,the act of confirming or strengthening
conflict,fighting
conformity,compliance with the usages of the established church
conformity,congruity
confusion,overthrow
congregation,a collection or mass of separate things
congregation,an assembly of persons
conjecture,guess
connection,union
consent,acquiescence
consent,"correspondence in parts , qualities , or operations"
consequence,a proposition collected from the agreement of other previous propositions
consequence,a result
consequence,chain of causes and effects
consequence,that which follows something on which it depends
consequent,"a conclusion , or inference"
conservative,one who holds moderate opinions in politics
consolation,the state of being consoled
console,any small bracket
conspiracy,confederacy
constancy,fidelity
constancy,stability
constant,that which is invariable
constitution,establishment
constitution,formation
construction,the act of devising and forming
consultation,the act of consulting or conferring
consumption,that form of wasting attendant upon pulmonary phthisis and associated with cough spitting of blood hectic fever etc
contemplation,meditation
contemplation,the act of the mind in considering with attention
contempt,scorn
contempt,shame
content,an affirmative vote
contentment,content
content,rest or quietness of the mind in one ' s present condition
content,that which is contained
contest,combat
contest,competition
contest,emulation
continuance,"permanence , as of condition , habits , abode , etc"
continuance,stay
continuation,prolongation
contract,"the agreement of two or more persons , upon a sufficient consideration or cause , to do , or to abstain from doing , some act"
contrast,opposition or dissimilitude of things or qualities
contribution,that which is contributed
contribution,the act of contributing
contrivance,arrangement
control,government
controversy,cause of variance
controversy,discussion
convenience,accommodation
convenience,ease
convenience,propriety
convenience,that which is convenient
convenience,the state or quality of being convenient
convent,a monastery or nunnery
convention,arbitrary custom
convention,coalition
convention,the act of coming together
convention,the state of being together
convention,usage
conversation,close acquaintance
conversation,familiar intercourse
converse,"a proposition in which , after a conclusion from something supposed has been drawn , the order is inverted , making the conclusion the supposition or premises , what was first supposed becoming now the conclusion or inference"
converse,frequent intercourse
conversion,"the act of turning or changing from one state or condition to another , or the state of being changed"
convert,"a lay friar or brother , permitted to enter a monastery for the service of the house , but without orders , and not allowed to sing in the choir"
convert,a person who is converted from one opinion or practice to another
conveyance,carriage
convict,a person proved guilty of a crime alleged against him
conviction,"the act or process of finding guilty , or the state of being found guilty of any crime by a legal tribunal"
cool,coolness
coolness,calmness
coolness,self - possession
coolness,"want of ardor , zeal , or affection"
copyright,"the right of an author or his assignee , under statute , to print and publish his literary or artistic work , exclusively of all other persons"
copy,"that which is to be imitated , transcribed , or reproduced"
corn,a grain
corn,"a thickening of the epidermis at some point , especially on the toes , by friction or pressure"
corner,the part farthest from the center
corner,the point where two converging lines meet
corner,the space in the angle between converging lines or walls which meet in a point
corporation,a society having the capacity of transacting business as an individual
correction,punishment
correction,"rectification , as of an erroneous statement"
correspondence,congruity
correspondence,fitness
correspondence,intercourse between persons by means of letters
correspondent,one with whom intercourse is carried on by letter
corruption,the state of being corrupted or debased
cost,expense
costume,"a character dress , used at fancy balls or for dramatic purposes"
costume,"such an arrangement of accessories , as in a picture , statue , poem , or play , as is appropriate to the time , place , or other circumstances represented or described"
cot,a cover or sheath
cot,a cradle
cot,a little bed
cot,a sleeping place of limited size
cot,a small house
council,consultation
counsel,examination of consequences
counter,a calculator
countess,"the wife of an earl in the british peerage , or of a count in the continental nobility"
countryman,a rustic
countryman,one born in the same country with another
country,the inhabitants or people of a state or a region
country,the public
couple,a brace
couple,a man and woman who are married or betrothed
courage,"that quality of mind which enables one to encounter danger and difficulties with firmness , or without fear , or fainting of heart"
course,passage
course,progress
course,the ground or path traversed
course,way
court,a blind alley
courtesy,urbanity
cover,a screen
covering,"anything which covers or conceals , as a roof , a screen , a wrapper , clothing , etc"
cow,a cowl
cowardice,base fear of danger or hurt
crack,flaw
craft,a guild
craft,a trade
craft,dexterity in particular manual employment
craft,guile
craft,"those engaged in any trade , taken collectively"
crash,"a loud , sudden , confused sound , as of many things falling and breaking at once"
crawl,"slow motion , as of a creeping animal"
creation,formation
creation,nature
creature,anything created
creature,anything not self - existent
credit,"a ground of , or title to , belief or confidence"
credit,authority derived from character or reputation
credit,confidence
credit,estimation
credit,good name
creep,a gradual movement of mining ground
creep,"a slow rising of the floor of a gallery , occasioned by the pressure of incumbent strata upon the pillars or sides"
creep,the act or process of creeping
crest,"the lengthened feathers of the crown or nape of bird , etc"
crest,the swelling on the head of a serpent
crew,a company of people associated together
crew,an assemblage
crew,"in an extended sense , any small body of men associated for a purpose"
crew,"the company of seamen who man a ship , vessel , or at"
crime,"any violation of law , either divine or human"
criminal,one who is found guilty by verdict confession or proof
crisis,"sometimes , also , a striking change of symptoms attended by an outward manifestation , as by an eruption or sweat"
crisis,that change in a disease which indicates whether the result is to be recovery or death
criticism,a critical judgment passed or expressed
crop,harvest
crop,the craw
crop,the product of what is planted in the earth
cross,disappointment
crossing,a mixing of breeds
crossing,the act of making the sign of the cross
cross,misfortune
cross,trial
crowd,an ancient instrument of music with six strings
crowd,a number of things collected or closely pressed together
crown,a reward
cruelty,inhuman treatment
cruise,"a voyage made in various directions , as of an armed vessel , for the protection of other vessels , or in search of an enemy"
crush,"violent pressure , as of a crowd"
crust,a piece of bread grown dry hard
crust,"the cover or case of a pie , in distinction from the soft contents"
crystal,"brazilian pebble , under brazilian"
cultivation,"advancement in physical , intellectual , or moral condition"
cultivation,bestowal of time or attention for self - improvement or for the benefit of others
cunning,deceit
cunning,fraudulent skill or dexterity
cupboard,any small closet
cupboard,"a small closet in a room , with shelves to receive cups , dishes , food , etc"
cup,the contents of such a vessel
cure,care of soul
cure,remedial treatment of disease
cure,spiritual charge
curiosity,inquisitiveness
curling,the act or process of one who curls something as hair or the brim of hats
currency,circulation
currency,current value
currency,"that which is in circulation , or is given and taken as having or representing value"
currency,the state or quality of being current
current,a stream
current,dinary procedure
cushion,"a case or bag stuffed with some soft and elastic material , and used to sit or recline upon"
cushion,a mass of steam in the end of the cylinder of a steam engine to receive the impact of the piston
custody,restraint of liberty
customary,"a book containing laws and usages , or customs"
custom,dinary manner
custom,frequent repetition of the same act
custom,"the customary toll , tax , or tribute"
cut,a stroke or blow or cutting motion with an edged instrument
cut,a stroke or blow with a whip
cutting,a cut
cutting,something cut out of a newspaper
