anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,a corner
angle,the difference of direction of two lines
angle,the inclosed space near the point where two lines meet
animal,"an organized living being endowed with sensation and the power of voluntary motion , and also characterized by taking its food into an internal cavity or stomach for digestion"
animation,vivacity
anniversary,"the annual return of the day on which any notable event took place , or is wont to be celebrated"
announcement,publication
annoyance,vexation
answer,a reply
anticipation,hasty notion
antiquity,the people of ancient times
antiquity,times long since past
apostle,a paper sent up on appeals in the admiralty courts
apparatus,a collection of organs all of which unite in a common function
apparatus,things provided as means to some end
apparel,dress
apparition,visibility
appearance,exhibition of the person
appearance,personal presence
appellation,name
appellation,the act of calling by a name
appellation,the word by which a particular person or thing is called and known
appetite,an eagerness or longing
appointment,agreement
approach,"a access , or opportunity of drawing near"
approach,the act of drawing near
approbation,approval
approbation,commendation
archbishop,a chief bishop
architect,"a contriver , designer , or maker"
architecture,"construction , in a more general sense"
arch,used to support the wall or other weight above an opening
arctic,a warm waterproof overshoe
ardor,bright and effulgent spirits
ardor,eagerness
ardor,"heat , in a literal sense"
arena,any sphere of action
argument,an abstract or summary as of the contents of a book chapter poem
aristocracy,a privileged class or patrician order
aristocracy,"in a popular use ) those who are regarded as superior to the rest of the community , as in rank , fortune , or intellect"
arithmetic,the art of computation by figures
arm,the limb of the human body which extends from the shoulder to the hand
army,a body of persons organized for the advancement of a cause
arrangement,preparation
arrangement,the state of being arranged or put in order
array,der
arrest,custody
arrest,restraint
arrogance,self - assumption
artillery,cannon
artist,one who professes and practices an art in which science and taste preside over the manual execution
ascetic,a hermit
ascetic,one who practices extreme rigor and self - denial in religious things
asking,the act of inquiring or requesting
aspect,view
ass,"a dull , heavy , stupid fellow"
assassination,a killing by treacherous violence
assault,"an attempt or offer to beat another , accompanied by a degree of violence , but without touching his person , as by lifting the fist , or a cane , in a threatening manner , or by striking at him , and missing him"
assent,agreement
assent,consent
assent,the act of the mind in admitting or agreeing to anything
assertion,maintenance
assistance,help
associate,a fellow
assumption,unwarrantable claim
assurance,courage
assurance,firm persuasion
assurance,intrepidity
assurance,the state of being assured
astonishment,amazement
asylum,"an institution for the protection or relief of some class of destitute , unfortunate , or afflicted persons"
asylum,any place of retreat and security
asylum,"a sanctuary or place of refuge and protection , where criminals and debtors found shelter , and from which they could not be forcibly taken without sacrilege"
atmosphere,any gaseous envelope or medium
attachment,connection
attachment,fidelity
attack,an assault upon one ' s feelings or reputation with unfriendly or bitter words
attack,an onset
attempt,"an attack , or an effort to gain a point"
attendance,the fact of being present
attendant,that which accompanies
attention,care for the comfort and pleasure of others
attention,"earnest consideration , thought , or regard"
attention,the supposed power or faculty of attending
attic,all the rooms immediately below the roof
attire,dress
attraction,an invisible power in a body by which it draws anything to itself
attraction,the act or property of attracting
attribute,an essential or necessary property or characteristic
attribute,that which is attributed
author,"a composer , as distinguished from an editor , translator , or compiler"
authority,legal or rightful power
authority,"the power derived from opinion , respect , or esteem"
autumn,the time of maturity or decline
avenue,a way of approach or of exit
axis,a line passing through a body or system around which the parts are symmetrically arranged
axis,the stem
azure,"a blue color , represented in engraving by horizontal parallel lines"
azure,the clear blue color of the sky
babe,a doll for children
baby,a babe
baby,a doll
baby,a small image of an infant
bachelor,"a person who has taken the first or lowest degree in the liberal arts , or in some branch of science , at a college or university"
background,"ground in the rear or behind , or in the distance , as opposed to the foreground , or the ground in front"
bag,"a sack or pouch , used for holding anything"
baggage,a prostitute
baggage,luggage
bait,"a portion of food or drink , as a refreshment taken on a journey"
baking,the quantity baked at once
balance,estimate
ball,"a spherical body of any substance or size used to play with , as by throwing , knocking , kicking , etc"
bang,a heavy blow
bang,an exclamation point
bank,the bench or seat upon which the judges sit
banquet,a feast
banquet,"often , a complimentary or ceremonious feast , followed by speeches"
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
bargain,an advantageous purchase
bargain,a purchase
bargain,mutual pledge
bark,a barge
bark,a similar sound made by some other animals
baron,"iginally , the possess of a fief , who had feudal tenants under him"
baron,"in england , a nobleman of the lowest grade in the house of lords , being next below a viscount"
barrier,"a carpentry obstruction , stockade , or other obstacle made in a passage in order to stop an enemy"
base,the fundamental or essential part of a thing
basil,the skin of a sheep tanned with bark
basil,"the slope or angle to which the cutting edge of a tool , as a plane , is ground"
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
bass,a hassock or thick mat
bass,its bark which is used for making mats
bat,batting
bath,water or other liquid for bathing
battery,"any place where cannon or mortars are mounted , for attack or defense"
bay,"an inlet of the sea , usually smaller than a gulf , but of the same general character"
bay,a small body of water set off from the main body
beach,"pebbles , collectively"
beard,the cluster of small feathers at the base of the beak in some birds
bearing,behavior
bearing,connection
bearing,relation
bearing,the manner in which one bears or conducts one ' s self
beating,the act of striking or giving blows
beauty,"a beautiful person , especially a beautiful woman"
bedroom,room in a bed
beggar,a petitioner
beginning,entrance into being or upon a course
beginning,that which is begun
beginning,the first cause
behavior,mode of conducting one ' s self
belief,"assent to a proposition or affirmation , or the acceptance of a fact , opinion , or assertion as real or true , without immediate personal knowledge"
believer,a christian
belonging,an appendage
belonging,that which pertains to one
beloved,one greatly loved
bench,"a long seat , differing from a stool in its greater length"
bench,the seat where judges sit in court
benefit,a favor conferred
benefit,"a theatrical performance , a concert , or the like , the proceeds of which do not go to the lessee of the theater or to the company , but to some individual actor , or to some charitable use"
benevolence,good done
bent,a leaning or bias
bent,"a stalk of stiff , coarse grass"
bent,purpose
berth,a room in which a number of the officers or ship ' s company mess and reside
berth,convenient sea room
best,highest endeavor or state
best,"most nearly perfect thing , or being , or action"
bet,a wager
better,one who has a claim to precedence
bet,"that which is laid , staked , or pledged , as between two parties , upon the event of a contest or any contingent issue"
bewilderment,a bewildering tangle or confusion
bid,"a statement of a sum which one will give for something to be received , or will take for something to be done or furnished"
bidding,an offer
bid,that which is offered
bill,"a cutting instrument , with hook - shaped point , and fitted with a handle"
bill,"a declaration made in writing , stating some wrong the complainant has suffered from the defendant , or a fault committed by some person against a law"
bill,"the bell , or boom , of the bittern"
biography,biographical writings in general
biography,the written history of a person ' s life
bird,a nestling
bird,"a warm - blooded , feathered vertebrate provided with wings"
birth,noble extraction
birth,"the act or fact of coming into life , or of being born"
bit,"a part of anything , such as may be bitten off or taken into the mouth"
bitterness,"deep distress , grief , or vexation of mind"
black,that which is destitute of light or whiteness
blame,imputation of fault
blame,sin
blank,a lot by which nothing is gained
blank,a paper unwritten
blast,"the exhaust steam from and engine , driving a column of air out of a boiler chimney , and thus creating an intense draught through the fire"
bleeding,"a running or issuing of blood , as from the nose or a wound"
blessing,a means of happiness
blindness,"state or condition of being blind , literally or figuratively"
bliss,blessedness
bliss,exalted felicity
block,"a solid mass of wood , stone , etc"
blood,lineage
blot,a failing
blow,a blossom
blow,"a blowing , especially , a violent blowing of the wind"
blow,a mass of blossoms
blow,a state of blossoming
blue,a bluestocking
blue,"one of the seven colors into which the rays of light divide themselves , when refracted through a glass prism"
blue,the sky
blunt,a short needle with a strong point
blush,a red or reddish color
blush,a rosy tint
blush,"a suffusion of the cheeks or face with red , as from a sense of shame , confusion , or modesty"
board,provision
boat,any vessel
body,"the trunk , or main part , of a person or animal , as distinguished from the limbs and head"
boiling,exposure to the action of a hot liquid
boiling,the act of ebullition or of tumultuous agitation
bolt,"a sieve , especially a long fine sieve used in milling for bolting flour and meal"
bolt,lightning
bondage,captivity
bondage,the state of being bound
bond,a shackle or a manacle
bond,"that which binds , ties , fastens , or confines , or by which anything is fastened or bound , as a cord , chain , etc"
bone,any fragment of bony substance
bonnet,"a soft , elastic , very durable cap , made of thick , seamless woolen stuff , and worn by men in scotland"
book,a part or subdivision of a treatise or literary work
boon,a present
boot,"a covering for the foot and lower part of the leg , ordinarily made of leather"
boot,amends
boot,"an instrument of torture for the leg , formerly used to extort confessions , particularly in scotland"
boot,remedy
bore,the interior diameter of a tube or gun barrel
bosom,"the breast , considered as the seat of the passions , affections , and operations of the mind"
bosom,the breasts of a woman
boss,a master workman or superintendent
bother,worry
bottle,"a hollow vessel , usually of glass or earthenware ( but formerly of leather ), with a narrow neck or mouth , for holding liquids"
bottom,groundwork
bottom,the lowest part of anything
bottom,the under surface
boundary,a bounding or separating line
bound,limit
bound,spring from one foot to the other
bound,"the external or limiting line , either real or imaginary , of any object or space"
bounty,a premium offered or given to induce men to enlist into the public service
bounty,gracious or liberal giving
bow,"anything bent , or in the form of a curve , as the rainbow"
bower,an arbor
bower,"anciently , a chamber"
bower,a shady recess
bowing,the act or art of managing the bow in playing on stringed instruments
box,a receptacle or case of any firm material and of various shapes
brace,a bandage or a prop
brace,"a cord , ligament , or rod , for producing or maintaining tension , as a cord on the side of a drum"
brain,the anterior or cephalic ganglion in insects and other invertebrates
branch,any arm or part connected with the main body of thing
branch,any member or part of a body or system
branch,"a shoot or secondary stem growing from the main stem , or from a principal limb or bough of a tree or other plant"
branch,ramification
brass,a brazen face
brave,a bully
brave,one who is daring
bravery,splendor
breach,non - fulfillment
breach,violation
breath,the power or capacity to breathe freely
breed,kind
breeze,a disturbance
breeze,"refuse coal , coal ashes , and cinders , used in the burning of bricks"
breeze,refuse left in the process of making coke or burning charcoal
bribe,allurement
bridal,a marriage
bridge,a card game resembling whist
brief,a statement in few words
bright,brightness
brightness,acuteness ( of the faculties )
brightness,clearness
brim,border
brim,the rim of a hat
brink,"a bank or edge , as of a river or pit"
bronze,"an alloy of copper and tin , to which small proportions of other metals , especially zinc , are sometimes added"
brood,"young children of the same mother , especially if nearly of the same age"
buck,a fop
buck,a frame on which firewood is sawed
buck,a sawbuck
buck,a sawhorse
bucket,a float of a paddle wheel
bud,an undeveloped branch or flower
buffalo,any species of wild ox
buffalo,a very large and savage species of the same genus found in south africa
bulk,size
bull,a seal
bullet,the fetlock of a horse
bull,the male of the whale
bunch,"a small isolated mass of ore , as distinguished from a continuous vein"
bundle,a loose package
burden,a load
burden,the drone of a bagpipe
burden,the main topic
burial,"depositing a dead body in the earth , in a tomb or vault , or in the water , usually with attendant ceremonies"
burial,interment
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,an explosion
bush,"a thicket , or place abounding in trees or shrubs"
business,financial dealings
bustle,"a kind of pad or cushion worn on the back below the waist , by women , to give fullness to the skirts"
bustle,tumult from stirring or excitement
bust,"the portion of the human figure included between the head and waist , whether in statuary or in the person"
butcher,"one who kills in large numbers , or with unusual cruelty"
butcher,"one who slaughters animals , or dresses their flesh for market"
butt,a bound
butt,a limit
button,"a catch , of various forms and materials , used to fasten together the different parts of dress , by being attached to one part , and passing through a slit , called a buttonhole , in the other"
button,a knob
cable,"a molding , shaft of a column , or any other member of convex , rounded section , made to resemble the spiral twist of a rope"
cab,"the covered part of a locomotive , in which the engineer has his station"
cake,"a sweetened composition of flour and other ingredients , leavened or unleavened , baked in a loaf or mass of any size or shape"
calculation,computation
calculation,"reckoning , estimate"
calendar,an almanac
calendar,a register of the year with its divisions
call,an entreaty
calling,a divine summons or invitation
calling,"a summoning or convocation , as of parliament"
calmness,quietness
calm,quiet
camel,a water - tight structure ( as a large box or boxes ) used to assist a vessel in passing over a shoal or bar or in navigating shallow water
campaign,a connected series of military operations forming a distinct stage in a war
campaign,an open field
camp,a single hut or shelter
candy,cocaine
cane,stems of other plants are sometimes called canes
cannon,a firearm for discharging heavy shot with great force
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small portion
capacity,the power of receiving or containing
cape,a headland
cape,"a sleeveless garment or part of a garment , hanging from the neck over the back , arms , and shoulders , but not reaching below the hips"
capital,the chief city or town in a country
capital,"the sum invested or lent , as distinguished from the income or interest"
cap,"one of lace , muslin , etc"
cap,"one used as the mark or ensign of some rank , office , or dignity , as that of a cardinal"
cap,"one usually with a visor but without a brim , for men and boys"
captain,"the military officer who commands a company , troop , or battery , or who has the rank entitling him to do so though he may be employed on other service"
captive,"a prisoner taken by force or stratagem , especially , by an enemy , in war"
captivity,subjection of the will or affections
capture,a prize
car,a cart
car,a chariot of war or of triumph
caravan,"a large , covered wagon , or a train of such wagons , for conveying wild beasts , etc"
car,a vehicle adapted to the rails of a railroad
carbon,"an elementary substance , not metallic in its nature , which is present in all organic compounds"
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
card,a roll or sliver of fiber ( as of wool ) delivered from a carding machine
care,caution
care,solicitude
cargo,freight
case,"a box , sheath , or covering"
case,affair
case,an instance of sickness or injury
case,state of things
case,the quantity contained in a box
casting,"the act of one who casts or throws , as in fishing"
castle,"a fortified residence , especially that of a prince or nobleman"
castle,a fortress
castle,"a small tower , as on a ship , or an elephant ' s back"
catastrophe,"a final event , usually of a calamitous or disastrous nature"
catastrophe,great misfortune
catch,act of seizing
catch,gain
catch,profit
catch,the whole quantity caught or taken at one time
cause,"any legal process by which a party endeavors to obtain his claim , or what he regards as his right"
cause,that which produces or effects a result
caution,"a careful attention to the probable effects of an act , in order that failure or harm may be avoided"
caution,exhortation to wariness
caution,prudence in regard to danger
cavalier,a knight
cedar,the name of several evergreen trees
cemetery,a necropolis
censure,blame
censure,condemnatory judgment
center,a principal or important point of concentration
ceremonial,"a system of rules and ceremonies , enjoined by law , or established by custom , in religious worship , social intercourse , or the courts of princes"
certainty,freedom from ambiguity
chalk,by extension a compound as of clay and black lead or the like used in the same manner
challenge,a defiance
chamber,"a hall , as where a king gives audience , or a deliberative body or assembly meets"
champion,a hero
change,a difference
change,any variation or alteration
chant,"a psalm , etc"
chaos,confusion
chap,a youth
chaplain,"a clergyman who is officially attached to the army or navy , to some public institution , or to a family or court , for the purpose of performing divine service"
character,a distinctive mark
characteristic,the integral part ( whether positive or negative ) of a logarithm
character,style of writing or printing
charcoal,impure carbon prepared from vegetable or animal substances
charge,a trust
charge,responsibility
charity,generosity
chart,a written deed
chasm,"a gap or break , as in ranks of men"
chat,"a twig , cone , or little branch"
chatter,jabber
chatter,sounds like those of a magpie or monkey
cheat,an impostor
check,a condition of interrupted or impeded progress
check,"such a menace of a player ' s king by an adversary ' s move as would , if it were any other piece , expose it to immediate capture"
cheer,cheerfulness
chemistry,"that branch of science which treats of the composition of substances , and of the changes which they undergo in consequence of alterations in the constitution of the molecules , which depend upon variations of the number , kind , or mode of arrangement , of the constituent atoms"
chest,"a case in which certain goods , as tea , opium , etc"
chest,the thorax
chicken,a young person
child,"a male or female descendant , in the first degree"
child,a son or a daughter
childhood,the first period
chin,the lower extremity of the face below the mouth
choice,care in selecting
choice,the voluntary act of selecting or separating from two or more things that which is preferred
choir,"a band or organized company of singers , especially in church service"
choir,that part of a church appropriated to the singers
choir,the chancel
churchyard,"the ground adjoining a church , in which the dead are buried"
circle,"a plane figure , bounded by a single curve line called its circumference , every part of which is equally distant from a point within it , called the center"
circulation,circulating coin
circulation,currency
circumference,a circle
circumference,anything circular
circumference,a periphery
circumstance,a fact
circus,"a level oblong space surrounded on three sides by seats of wood , earth , or stone , rising in tiers one above another , and divided lengthwise through the middle by a barrier around which the track or course was laid out"
city,a corporate town
claim,a title to anything which another should give or concede to or confer on the claimant
clash,a loud noise resulting from collision
clash,a noisy collision of bodies
clash,opposition
clasp,"an adjustable catch , bent plate , or hook , for holding together two objects or the parts of anything , as the ends of a belt , the covers of a book , etc"
class,"a comprehensive division of animate or inanimate objects , grouped together on account of their common characteristics , in any classification in natural science , and subdivided into orders , families , tribes , genera , etc"
clatter,commotion
cleaning,the act of making clean
cleft,a piece made by splitting
cliff,"a high , steep rock"
cliff,a precipice
close,a grapple in wrestling
close,a small field or piece of land surrounded by a wall hedge or fence of any kind
close,end
closer,"the last stone in a horizontal course , if of a less size than the others , or a piece of brick finishing a course"
close,"the interest which one may have in a piece of ground , even though it is not inclosed"
clothing,"a covering of non - conducting material on the outside of a boiler , or steam chamber , to prevent radiation of heat"
clothing,garments in general
cloth,"the distinctive dress of any profession , especially of the clergy"
cloud,"a mass or volume of smoke , or flying dust , resembling vapor"
club,"a heavy staff of wood , usually tapering , and wielded with the hand"
clump,a group
clump,the compressed clay of coal strata
cluster,a mob
coach,"a large , closed , four - wheeled carriage , having doors in the sides , and generally a front and back seat inside , each for two persons , and an elevated outside seat in front for the driver"
coal,"a thoroughly charred , and extinguished or still ignited , fragment from wood or other combustible substance"
coat,an outer garment fitting the upper part of the body
cock,a small boat
coil,"a series of connected pipes in rows or layers , as in a steam heating apparatus"
coldness,the state or quality of being cold
college,"a collection , body , or society of persons engaged in common pursuits , or having common duties and interests , and sometimes , by charter , peculiar rights and privileges"
collision,a clashing
collision,interference
collision,the act of striking together
colony,"a company of people transplanted from their mother country to a remote province or country , and remaining subject to the jurisdiction of the parent state"
colony,a settlement
coloring,that which produces color
color,ruddy complexion
column,"a cylindrical or polygonal support for a roof , ceiling , statue , etc"
comb,"an instrument with teeth , for straightening , cleansing , and adjusting the hair , or for keeping it in place"
combat,a fight
combat,a struggle for supremacy
combat,one in which the parties engaged are not armies
combination,the result of combining or uniting
combination,union of persons or things
comfort,consolation in trouble
command,an authoritative order requiring obedience
commencement,act or fact of commencing
commerce,sexual intercourse
commission,a charge
commission,the duty or employment intrusted to any person or persons
commodore,an officer who ranks next above a captain
common,to a number of persons
commotion,agitation
commotion,excitement
commotion,heat
commotion,public disturbance
communication,conference
communication,correspondence
communication,"intercourse by words , letters , or messages"
communication,the act or fact of communicating
communion,community
communion,"interchange of thoughts , purposes , etc"
communion,participation
community,"the public , or people in general"
companion,an associate
companion,"one who is much in the company of , or is associated with , another or others"
company,companionship
comparison,an examination of two or more objects with the view of discovering the resemblances or differences
compass,an inclosing limit
compassion,a sensation of sorrow excited by the distress or misfortunes of another
compassion,pity
compensation,that which makes good the lack or variation of something else
compilation,a book or document composed of materials gathering from other books or documents
compilation,that which is compiled
complaint,an ailment or disease of the body
complaint,"expression of grief , regret , pain , censure , or resentment"
completion,accomplishment
completion,fulfillment
completion,state of being complete
complex,assemblage of related things
complex,collection
compliance,a disposition to yield to others
compliance,concession
compliment,a flattering speech or attention
composer,one who composes
composition,"the invention or combination of the parts of any literary work or discourse , or of a work of art"
composure,tranquillity
comprehension,the capacity of the mind to perceive and understand
comprehension,understanding
concealment,the act of concealing
conceit,a whim
conceit,conception
conceit,image
concept,an abstract general conception
concern,"interest in , or care for , any person or thing"
concern,moment
concert,agreement in a design or plan
concert,a musical entertainment in which several voices or instruments take part
concert,musical accordance or harmony
concession,a boon
conclusion,close
concrete,a term designating both a quality and the subject in which it exists
condition,property
condition,rank
condition,"state or situation with regard to external circumstances or influences , or to physical or mental integrity , health , strength , etc"
condition,that which is requisite in order that something else should take effect
condition,that which must exist as the occasion or concomitant of something else
conduct,generalship
conductor,a commander
conductor,a guide
conference,interchange of views
confession,the act of disclosing sins or faults to a priest in order to obtain sacramental absolution
confidence,belief
confidence,self - reliance
confinement,lying - in
confirmation,convincing testimony
conflict,struggle
conflict,violent collision
confusion,overthrow
confusion,ruin
confusion,tumult
congregation,"an assembly of persons met for the worship of god , and for religious instruction"
conjunction,association
connection,alliance
connection,bond
connection,the act or process of bringing two things into contact
connexion,connection
consent,agreement
consent,agreement in opinion or sentiment
consent,the being of one mind
consequence,inference
consequence,that which is produced by a cause
consequent,that which is deduced from reasoning or argumentation
consequent,"the second term of a ratio , as the term b in the ratio a : b , the first a , being the antecedent"
conservative,one who holds moderate opinions in politics
consideration,continuous careful thought
consideration,examination
consolation,comfort
console,any small bracket
conspiracy,confederacy
constancy,fidelity
constancy,persevering resolution
consternation,dismay
consternation,"terror , combined with amazement"
constitution,enactment
constitution,establishment
constitution,formation
constitution,"that form of being , or structure and connection of parts , which constitutes and characterizes a system or body"
constitution,the act or process of constituting
consumption,that form of wasting attendant upon pulmonary phthisis and associated with cough spitting of blood hectic fever etc
contemplation,the act of the mind in considering with attention
contemporary,a person of nearly the same age as another
content,moderate happiness
content,that which if attained would make one happy
content,that which is contained
contest,combat
contest,strife in argument
continuance,continuation
continuance,stay
continuation,propagation
continuation,the state of being continued
contract,"an agreement in which a party undertakes to do , or not to do , a particular thing"
contradiction,denial of the truth of a statement or assertion
contrast,"the act of contrasting , or the state of being contrasted"
control,superintendence
controversy,agitation of contrary opinions
controversy,contention
convenience,accommodation
convenience,that which is suited to one ' s wants
convention,"a meeting or an assembly of persons , especially of delegates or representatives , to accomplish some specific object , -- civil , social , political , or ecclesiastical"
convention,general agreement or concurrence
convention,the state of being together
conversation,close acquaintance
converse,"a proposition in which , after a conclusion from something supposed has been drawn , the order is inverted , making the conclusion the supposition or premises , what was first supposed becoming now the conclusion or inference"
converse,"a proposition which arises from interchanging the terms of another , as by putting the predicate for the subject , and the subject for the predicate"
conversion,"the act of changing one ' s views or course , as in passing from one side , party , or from of religion to another"
conversion,"the act of turning or changing from one state or condition to another , or the state of being changed"
convert,"a person who is won over to , or heartily embraces , a creed , religious system , or party , in which he has not previously believed"
conveyance,transmission
convict,a person proved guilty of a crime alleged against him
cook,one whose occupation is to prepare food for the table
coolness,"a moderate degree , or a want , of passion"
coolness,calmness
coolness,self - possession
copy,"an individual book , or a single set of books containing the works of an author"
copy,"a pattern , model , or example"
cord,an enticement
cordial,any invigorating and stimulating preparation
corn,a grain
corporation,a society having the capacity of transacting business as an individual
corpse,the dead body of a human being
correspondence,friendly intercourse
correspondent,one who carries on commercial intercourse by letter or telegram with a person or firm at a distance
corridor,a densely populated stretch of land
corridor,a gallery or passageway leading to several apartments of a house
corruption,depravity
corruption,"the act of corrupting or of impairing integrity , virtue , or moral principle"
corruption,the state of being corrupted or debased
cost,expense
cost,"the amount paid , charged , or engaged to be paid , for anything bought or taken in barter"
cottage,a small house
couch,a bed or place for repose or sleep
counsel,examination of consequences
counsel,instruction
countenance,aspect
counter,"a piece of metal , ivory , wood , or bone , used in reckoning , in keeping account of games , etc"
counter,a reckoner
counter,"the breast , or that part of a horse between the shoulders and under the neck"
country,"as distinguished from any other region , and with a personal pronoun ) the region of one ' s birth , permanent residence , or citizenship"
country,a tract of land
countryman,"one who dwells in the country , as distinguished from a townsman or an inhabitant of a city"
country,the public
count,the act of numbering
couple,a brace
courage,"that quality of mind which enables one to encounter danger and difficulties with firmness , or without fear , or fainting of heart"
course,passage
course,the act of moving from one point to another
course,way
court,all the surroundings of a sovereign in his regal state
court,the collective body of persons composing the retinue of a sovereign or person high in authority
cousin,"a title formerly given by a king to a nobleman , particularly to those of the council"
cover,"anything which is laid , set , or spread , upon , about , or over , another thing"
cover,anything which veils or conceals
cover,disguise
cow,a chock
cow,a cowl
cowardice,base fear of danger or hurt
crack,a crevice
crack,a narrow breach
craft,dexterity in particular manual employment
crash,"a loud , sudden , confused sound , as of many things falling and breaking at once"
crash,ruin
crash,"sudden breaking down , as of a business house or a commercial enterprise"
craving,beseeching
craving,vehement or urgent desire
crawl,"slow motion , as of a creeping animal"
cream,a cosmetic
creation,that which is created
creation,"that which is produced or caused to exist , as the world or some original work of art or of the imagination"
creation,the act of constituting or investing with a new character
creature,a servile dependent
credit,faith
credit,reputation derived from the confidence of others
creed,one which is brief and comprehensive
crew,a throng
crime,any great wickedness or sin
crime,"gross violation of human law , in distinction from a misdemeanor or trespass , or other slight offense"
criminal,a felon
crisp,crackling
criticism,a critical judgment passed or expressed
criticism,the rules and principles which regulate the practice of the critic
crop,fruit
cross,the symbol of christ ' s death
cross,trial
crow,"a bar of iron with a beak , crook , or claw"
crowd,an ancient instrument of music with six strings
crowd,the mob
crowd,the vulgar
cruelty,a cruel and barbarous deed
cruelty,the attribute or quality of being cruel
cruise,"a sailing to and fro , as for exploration or for pleasure"
crush,a crowd which produced uncomfortable pressure
crust,an incrustation
cry,the inarticulate sound produced by one of the lower animals
cultivation,bestowal of time or attention for self - improvement or for the benefit of others
cultivation,culture
cultivation,fostering care
culture,enlightenment and discipline acquired by mental and moral training
culture,refinement in manners and taste
culture,result of cultivation
cunning,craft
cunning,deceit
cunning,fraudulent skill or dexterity
