abandon,careless freedom or ease
anxiety,"concern or solicitude respecting some thing or event , future or uncertain , which disturbs the mind , and keeps it in a state of painful uneasiness"
apology,a makeshift
apology,"an admission to another of a wrong or discourtesy done him , accompanied by an expression of regret"
apparatus,mechanism
apparatus,things provided as means to some end
apparel,external clothing
apparition,"an unexpected , wonderful , or preternatural appearance"
apparition,a specter
appetite,an eagerness or longing
application,"the act of applying or laying on , in a literal sense"
appreciation,true estimation
apprehension,the act of seizing or taking by legal process
apprehension,the act of seizing or taking hold of
approach,"a access , or opportunity of drawing near"
approbation,approval
approbation,sanction
appropriation,"the act of setting apart or assigning to a particular use or person , or of taking to one ' s self , in exclusion of all others"
arch,any part of a curved line
architect,"a contriver , designer , or maker"
arch,used to support the wall or other weight above an opening
ardor,warmth or heat of passion or affection
area,"any plane surface , as of the floor of a room or church , or of the ground within an inclosure"
arena,any place of public contest or exertion
arena,any sphere of action
arena,“ sand ” or “ gravel ” in the kidneys
arithmetic,a book containing the principles of this science
arithmetic,the art of computation by figures
arithmetic,the science of numbers
arm,"a limb , or locomotive or prehensile organ , of an invertebrate animal"
arm,a weapon of offense or defense
arrangement,disposition in suitable form
arrangement,system of parts disposed in due order
arrangement,the act of arranging or putting in an orderly condition
array,an orderly collection
arrest,"any seizure by power , physical or moral"
arrest,hindrance
arrest,legal restraint
arrival,"the act of reaching a place from a distance , whether by water ( as in its original sense ) or by land"
arrogance,self - assumption
article,a distinct part
article,"a distinct portion of an instrument , discourse , literary work , or any other writing , consisting of two or more particulars , or treating of various topics"
artillery,cannon
art,the adaptation of things in the natural world to the uses of life
art,the systematic application of knowledge or skill in effecting a desired result
aspect,mien
aspect,that position which enables one to look in a particular direction
aspect,view
ass,a dolt
assault,"a violent onset or attack with physical means , as blows , weapons , etc"
assembly,a beat of the drum or sound of the bugle as a signal to troops to assemble
assent,concurrence with approval
assent,the act of assenting
assertion,maintenance
assistance,succor
assistance,the act of assisting
associate,a companion
association,"mental connection , or that which is mentally linked or associated with a thing"
association,"the act of associating , or state of being associated"
assumption,supposition
assumption,"the act of taking for granted , or supposing a thing without proof"
assurance,courage
assurance,intrepidity
assurance,the state of being assured
asylum,any place of retreat and security
asylum,"a sanctuary or place of refuge and protection , where criminals and debtors found shelter , and from which they could not be forcibly taken without sacrilege"
attachment,close adherence or affection
attachment,"some adjunct attached to an instrument , machine , or other object"
attack,"a setting to work upon some task , etc"
attempt,"an unsuccessful , as contrasted with a successful , effort"
attendance,a retinue
attendance,attendants
attention,notice
attic,"a low story above the main order or orders of a facade , in the classical styles"
attitude,"the posture , action , or disposition of a figure or a statue"
attitude,"the posture or position of a person or an animal , or the manner in which the parts of his body are disposed"
attractive,an attraction
attractive,that which attracts or draws
attribute,"a quality which is considered as belonging to , or inherent in , a person or thing"
audacity,reckless daring
audience,attention to sounds
audience,the act of hearing
autumn,the time of maturity or decline
autumn,third stage
avail,benefit
avarice,covetousness
avarice,cupidity
avenue,a way or opening for entrance into a place
avenue,"the principal walk or approach to a house which is withdrawn from the road , especially , such approach bordered on each side by trees"
aversion,antipathy
aversion,reluctance
aversion,the object of dislike or repugnance
awe,profound reverence
axis,a line passing through a body or system around which the parts are symmetrically arranged
axis,"the central part , or longitudinal support , on which organs or parts are arranged"
babe,a baby
baby,a babe
bachelor,"often , a young knight"
back,a ferryboat
back,"an extended upper part , as of a mountain or ridge"
background,"anything behind , serving as a foil"
background,"ground in the rear or behind , or in the distance , as opposed to the foreground , or the ground in front"
background,the space which is behind and subordinate to a portrait or group of figures
back,"in human beings , the hinder part of the body , extending from the neck to the end of the spine"
baggage,luggage
bait,"any substance , especially food , used in catching fish , or other animals , by alluring them to a hook , snare , inclosure , or net"
bait,anything which allures
baker,a portable oven in which baking is done
bake,"the process , or result , of baking"
baking,a batch
baking,"the act or process of cooking in an oven , or of drying and hardening by heat or cold"
baking,the quantity baked at once
balance,act of weighing mentally
balcony,a projecting gallery once common at the stern of large ships
ball,a very enjoyable time
band,"a continuous tablet , stripe , or series of ornaments , as of carved foliage , of color , or of brickwork , etc"
band,"in gothic architecture , the molding , or suite of moldings , which encircles the pillars and small shafts"
bang,an exclamation point
bang,the loud sound produced by a sudden concussion or explosion
banker,"one who , individually , or as a member of a company , keeps an establishment for the deposit or loan of money , or for traffic in money , bills of exchange , etc"
banker,"the dealer , or one who keeps the bank in a gambling house"
banner,"a large piece of silk or other cloth , with a device or motto , extended on a crosspiece , and borne in a procession , or suspended in some conspicuous place"
barbarian,one destitute of pity or humanity
bargain,"a contract by which one party binds himself to transfer the right to some property f a consideration , and the other party binds himself to receive the property and pay the consideration"
barge,a large boat used by flag officers
bark,a similar sound made by some other animals
bark,"a three - masted vessel , having her foremast and mainmast square - rigged , and her mizzenmast schooner - rigged"
baron,"iginally , the possess of a fief , who had feudal tenants under him"
baron,"in modern times , in france and germany , a nobleman next in rank below a count"
base,a groundwork
basil,the skin of a sheep tanned with bark
bat,a large stick
bat,batting
bath,"and two pecks and five quarts , as a dry measure"
bath,"the act of exposing the body , or part of the body , for purposes of cleanliness , comfort , health , etc"
bat,"in badminton , tennis , and similar games , a racket"
bearing,relation
beast,any animal other than a human
beat,a pulsation
beat,"the rise or fall of the hand or foot , marking the divisions of time"
beauty,"a particular grace , feature , ornament , or excellence"
beaver,"that piece of armor which protected the lower part of the face , whether forming a part of the helmet or fixed to the breastplate"
bed,"a plat or level piece of ground in a garden , usually a little raised above the adjoining ground"
beggar,one who is dependent upon others for support
behavior,mode of conducting one ' s self
belief,confidence
belief,faith
bell,"a hollow metallic vessel , usually shaped somewhat like a cup with a flaring mouth , containing a clapper or tongue , and giving forth a ringing sound on being struck"
bell,a hollow perforated sphere of metal containing a loose ball which causes it to sound when moved
belly,the abdomen
benefit,profit
benevolence,an act of kindness
benevolence,good done
benevolence,good will
benevolence,"love of mankind , accompanied with a desire to promote their happiness"
bent,inclination
berth,a room in which a number of the officers or ship ' s company mess and reside
best,utmost
bewilderment,a bewildering tangle or confusion
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binding,anything that binds
binding,"the act or process of one who , or that which , binds"
bird,"and hence , a feathered flying animal ( see 2 )"
birth,noble extraction
biscuit,"a small loaf or cake of bread , raised and shortened , or made light with soda or baking powder"
bit,a morsel
bitterness,keenness of reproach or sarcasm
blade,one of the projecting arms of a screw propeller
blame,crime
blame,fault
blank,a bland form
blank,a ticket in a lottery on which no prize is indicated
blaze,"a bursting out , or active display of any quality"
blaze,a stream of gas or vapor emitting light and heat in the process of combustion
blaze,"intense , direct light accompanied with heat"
bleeding,a hemorrhage
blind,a blinder for a horse
blindness,"state or condition of being blind , literally or figuratively"
block,a piece of wood more or less bulky
blood,lineage
bloom,a blossom
blooming,the process of making blooms from the ore or from cast iron
blossom,"the flower of a plant , or the essential organs of reproduction , with their appendages"
blot,an exposure of a single man to be taken up
blot,a spot on reputation
blow,a buffet
blow,an assault
blue,"the color of the clear sky , or a color resembling that , whether lighter or darker"
bluff,a cliff with a broad face
bluff,a game at cards
bluff,"a high , steep bank , as by a river or the sea , or beside a ravine or plain"
bluff,braggadocio
bluff,poker
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blushing,the appearance of a reddish color or flush upon the cheeks
boat,any vessel
boat,usually with some epithet descriptive of its use or mode of propulsion
body,"the trunk , or main part , of a person or animal , as distinguished from the limbs and head"
boiling,the act of ebullition or of tumultuous agitation
bolt,"a shaft or missile intended to be shot from a crossbow or catapult , especially a short , stout , blunt - headed arrow"
bond,a cause of union
bondage,tie of duty
bond,a uniting tie
bonnet,"a covering for the head , worn by women , usually protecting more or less the back and sides of the head , but no part of the forehead"
bonnet,a small defense work at a salient angle
boon,a benefaction
boot,"an instrument of torture for the leg , formerly used to extort confessions , particularly in scotland"
boot,relief
boot,remedy
booty,pillage
border,a boundary
border,margin
bore,the size of a hole
bosom,the breast of a human being
boss,any protuberant part
boss,"a projecting ornament placed at the intersection of the ribs of ceilings , whether vaulted or flat , and in other situations"
boss,"a round , swelling part or body"
boss,a stud
bother,disturbance
bottle,"a hollow vessel , usually of glass or earthenware ( but formerly of leather ), with a narrow neck or mouth , for holding liquids"
bottom,groundwork
bottom,the foot
bottom,"the part of anything which is beneath the contents and supports them , as the part of a chair on which a person sits , the circular base or lower head of a cask or tub , or the plank floor of a ship ' s hold"
boundary,a real or imaginary limit
bound,boundary
bound,rebound
bounty,that which is given generously or liberally
bow,"a weapon made of a strip of wood , or other elastic material , with a cord connecting the two ends , by means of which an arrow is propelled"
bower,a lodging room
bower,one of the two highest cards in the pack commonly used in the game of euchre
bower,one who bows or bends
bower,"poetically , an attractive abode or retreat"
bowl,a ball of wood or other material used for rolling on a level surface in play
box,a blow on the head or ear with the hand
brain,the understanding
brake,a thicket
branch,a section or subdivision
brand,"a sword , so called from its glittering or flashing brightness"
brave,one who is daring
breach,non - fulfillment
bread,"support of life , in general"
break,a projection or recess from the face of a building
breast,"either one of the protuberant glands , situated on the front of the chest or thorax in the female of man and of some other mammalia , in which milk is secreted for the nourishment of the young"
breeze,a disturbance
breeze,"a fresh , soft - blowing wind"
breeze,a quarrel
breeze,refuse left in the process of making coke or burning charcoal
bridge,"the small arch or bar at right angles to the strings of a violin , guitar , etc"
brightness,brilliancy
brightness,the quality or state of being bright
brig,"on a united states man - of - war , the prison or place of confinement for offenders"
brilliant,"below , it has a small face or collet , parallel to the table , connected with the girdle by a pavilion of elongated facets"
brink,a verge
bronze,"an alloy of copper and tin , to which small proportions of other metals , especially zinc , are sometimes added"
brood,a hatch
brood,"the young from the same dam , whether produced at the same time or not"
brotherhood,"an association for any purpose , as a society of monks"
brotherhood,"the whole body of persons engaged in the same business , -- especially those of the same profession"
brother,"one related or closely united to another by some common tie or interest , as of rank , profession , membership in a society , toil , suffering , etc"
brute,an animal destitute of human reason
brute,any animal not human
buck,"the male of deer , especially fallow deer and antelopes , or of goats , sheep , hares , and rabbits"
buggy,"a light , four - wheeled vehicle , usually with one seat , and with or without a calash top"
build,general figure
bulk,dimensions
bulk,the cargo of a vessel when stowed
bullet,the fetlock of a horse
bull,"so called , perhaps , from the apparent incongruity between the dictatorial nature of the pope ' s bulls and his professions of humility"
bull,the male of any species of cattle
bunch,"a collection , cluster , or tuft , properly of things of the same kind , growing or fastened together"
bunch,a knob or lump
bunch,"a small isolated mass of ore , as distinguished from a continuous vein"
bundle,a roll
burden,that which is borne or carried
burden,"that which is grievous , wearisome , or oppressive"
burden,the main topic
bureau,an office where business requiring writing is transacted
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burst,a sudden breaking forth
bush,a lining for a hole to make it smaller
bush,a shrub
bust,a woman ' s bosom { 2 }
bustle,tumult from stirring or excitement
bust,the chest or thorax
butcher,"one who causes needless loss of life , as in battle"
butt,a large cask or vessel for wine or beer
butt,a mark to be shot at
button,a knob
butt,the end
cabin,an inclosed place
cable,"a large , strong rope or chain , of considerable length , used to retain a vessel at anchor , and for other purposes"
cable,"a molding , shaft of a column , or any other member of convex , rounded section , made to resemble the spiral twist of a rope"
calamity,any great misfortune or cause of misery
calamity,misery
calendar,a schedule
calf,a dolt
calf,a fine light - colored leather used in bookbinding
calf,"the young of the cow , or of the bovine family of quadrupeds"
call,"a signal , as on a drum , bugle , trumpet , or pipe , to summon soldiers or sailors to duty"
calm,"a cessation or absence of that which causes motion or disturbance , as of winds or waves"
calm,tranquility
campaign,a connected series of military operations forming a distinct stage in a war
canal,"a long and relatively narrow arm of the sea , approximately uniform in width"
candle,"a slender , cylindrical body of tallow , containing a wick composed of loosely twisted linen of cotton threads , and used to furnish light"
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,"a decision , regulation , code , or constitution made by ecclesiastical authority"
capacity,ability
capacity,extent of room or space
capacity,"power pertaining to , or resulting from , the possession of strength , wealth , or talent"
capacity,"the power of receiving and holding ideas , knowledge , etc"
capacity,the receptive faculty
cape,"a piece or point of land , extending beyond the adjacent coast into the sea or a lake"
cape,a promontory
capital,the seat of government
captivity,the state of being a captive or a prisoner
capture,prey
capture,"the act of seizing by force , or getting possession of by superior power or by stratagem"
capture,"the thing taken by force , surprise , or stratagem"
car,a chariot of war or of triumph
car,a small vehicle moved on wheels
carbon,"an elementary substance , not metallic in its nature , which is present in all organic compounds"
card,"a piece of pasteboard , or thick paper , blank or prepared for various uses"
card,f cleaning and smoothing the hair of animals
cardinal,a woman ' s short cloak with a hood
card,the dial or face of the mariner ' s compass
care,anxiety
career,full speed
carelessness,inattention
carelessness,negligence
cargo,freight
cargo,load
carpet,"iginally , also , a wrought cover f tables"
carriage,the price or expense of carrying
carter,a man who drives a cart
carter,the whiff
case,a box and its contents
case,"a circumstance , or all the circumstances"
case,a patient under treatment
case,condition
case,the history of a disease or injury
cash,"but also applied to bank notes , drafts , bonds , or any paper easily convertible into money"
casting,"the act or process of making casts or impressions , or of shaping metal or plaster in a mold"
catastrophe,"a violent and widely extended change in the surface of the earth ,"
catch,a grasp
cause,"that from which anything proceeds , and without which it would not exist"
caution,advice
cavalier,"a gay , sprightly , military man"
cavalier,one of the court party in the time of king charles i
cavalry,that part of military force which serves on horseback
cave,a den
ceiling,the inner planking of a vessel
ceiling,the upper surface opposite to the floor
ceiling,the work when done
celestial,a chinese
cell,a small religious house attached to a monastery or convent
center,"an object of attention , action , or force"
center,the middle point or place
century,a period of a hundred years
ceremonial,"the order for rites and forms in the roman catholic church , or the book containing the rules prescribed to be observed on solemn occasions"
ceremony,a formal method of performing acts of civility
ceremony,forms of civility prescribed by custom or authority
certainty,a fact or truth unquestionable established
certainty,freedom from ambiguity
certainty,lucidity
chain,"a series of links or rings , usually of metal , connected , or fitted into one another , used for various purposes , as of support , of restraint , of ornament , of the exertion and transmission of mechanical power , etc"
chain,a series of things connected and following each other in succession
chain,a series of things linked together
challenge,the letter or message conveying the summons
champion,an advocate
chance,fate
chance,the issue of uncertain conditions
channel,"a strait , or narrow sea , between two portions of lands"
chant,melody
chaos,a confused mixture
chaos,disorder
chaos,"the confused , unorganized condition or mass of matter before the creation of distinct and orderly forms"
chap,a fellow
chap,a youth
chapel,a small building attached to a church
character,disposition
characteristic,the integral part ( whether positive or negative ) of a logarithm
charge,oversight
chariot,"a four - wheeled pleasure or state carriage , having one seat"
charity,good will
charm,"a magical combination of words , characters , etc"
charter,"a special privilege , immunity , or exemption"
chase,that which is pursued or hunted
chase,"vehement pursuit for the purpose of killing or capturing , as of an enemy , or game"
chasm,a cleft
chat,gossip
cheat,"a troublesome grass , growing as a weed in grain fields"
cheat,one who cheats or deceives
cheat,that which is the means of fraud or deception
check,"whatever arrests progress , or limits action"
cheer,animation
cheerfulness,a state of moderate joy or gayety
cheer,spirit
cheer,state of mind or heart
cheer,that which promotes good spirits or cheerfulness
chemical,a reagent
chest,the part of the body inclosed by the ribs and breastbone
chest,the thorax
chicken,a young woman
chief,"a commander , as of an army"
chief,"a head man , as of a tribe , clan , or family"
chief,the principal actor or agent
chief,the upper third part of the field
childhood,the first period
child,"one closely connected with a place , occupation , character , etc"
chin,the point of the under jaw
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,discrimination
choice,the determination of the mind in preferring one thing to another
choice,the power or opportunity of choosing
choice,the voluntary act of selecting or separating from two or more things that which is preferred
chorus,a company of singers singing in concert
church,a denomination
churchyard,"the ground adjoining a church , in which the dead are buried"
cigarette,a little fine tobacco rolled in paper for smoking
circle,a ring
circulation,"notes , bills , etc"
circulation,"the act of moving in a circle , or in a course which brings the moving body to the place where its motion began"
circulation,the act of passing from place to place or person to person
circumference,a circle
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
civility,a polite act or expression
civility,politeness
civilization,refinement
claim,"a title to any debt , privilege , or other thing in possession of another"
claim,a title to anything which another should give or concede to or confer on the claimant
clan,a body of persons united by some common interest or pursuit
clan,"a sect , society , or body of persons"
clash,a loud noise resulting from collision
clash,opposition
classic,"a work of acknowledged excellence and authority , or its author"
cleaning,the act of making clean
cleft,a space or opening made by splitting
clergyman,an ordained minister
clergyman,in england usually restricted to a minister of the established church
climax,a figure in which the parts of a sentence or paragraph are so arranged that each succeeding one rises above its predecessor in impressiveness
climax,ascent
clock,a figure or figured work on the ankle or side of a stocking
clock,"a large beetle , especially the european dung beetle"
close,an inclosed place
close,end
closer,a finisher
closer,"one who , or that which , closes"
cloth,"commonly , a woven fabric of cotton , woolen , or linen , adapted to be made into garments"
clothing,covering
clothing,garments in general
clothing,raiment
club,"a heavy staff of wood , usually tapering , and wielded with the hand"
club,"an association of persons for the promotion of some common object , as literature , science , politics , good fellowship , etc"
clue,a ball of thread
clump,the compressed clay of coal strata
cluster,a crowd
cluster,a group
cluster,a mob
cluster,a number of similar things collected together or lying contiguous
clutch,grasp
clutch,seizure
coachman,a man whose business is to drive a coach or carriage
coast,"the seashore , or land near it"
coat,an outer garment fitting the upper part of the body
coat,cloth
cock,"the male of birds , particularly of gallinaceous or domestic fowls"
cock,the notch of an arrow or crossbow
coffin,the case in which a dead human body is inclosed for burial
coin,a wedge
coincidence,the condition of occupying the same place in space
coldness,the state or quality of being cold
collapse,a breakdown
collapse,an utter failure of any kind
collision,a clashing
collision,a state of opposition
color,any hue distinguished from white or black
coloring,misrepresentation
color,ruddy complexion
column,"a body of troops formed in ranks , one behind the other"
column,an upright body or mass
comb,"an instrument with teeth , for straightening , cleansing , and adjusting the hair , or for keeping it in place"
combat,a struggle for supremacy
comb,"a toothed instrument used for separating and cleansing wool , flax , hair , etc"
combination,a union or alliance of persons or states to effect some purpose
combination,"the act or process of uniting by chemical affinity , by which substances unite with each other in definite proportions by weight to form distinct compounds"
combination,the result of combining or uniting
comfort,a comfortable
command,authority
commander,one who has supreme authority
command,leadership
commencement,act or fact of commencing
commencement,beginning
commencement,igin
commencement,start
commerce,extended trade or traffic
commerce,sexual intercourse
commission,a charge
commission,a trust
commonplace,a trite or customary remark
common,to a number of persons
communication,company
communication,conference
communication,the act or fact of communicating
communion,intercourse between two or more persons
community,a body politic
community,participation
companion,"one who accompanies or is in company with another for a longer or shorter period , either from choice or casually"
companionship,association
company,society
company,the state of being a companion or companions
comparison,the act of comparing
comparison,the state of being compared
compass,an inclosed space
compass,a passing round
compass,circuit
compassion,"literally , suffering with another"
compensation,amends
compensation,a set - off
completion,realization
complex,complication
compliance,a disposition to yield to others
compliance,complaisance
compliance,submission
compliance,the act of complying
compliment,a ceremonious greeting
compliment,"an expression , by word or act , of approbation , regard , confidence , civility , or admiration"
composure,repose
comprehension,the complement of attributes which make up the notion signified by a general term
compromise,a surrender
concealment,a secret place
conceit,"a fanciful , odd , or extravagant notion"
conceit,idea
concept,a notion
concept,a universal
conception,beginning
conception,the initiation of an embryonic animal life
conception,the power of recalling a past sensation or perception
conception,the state of being conceived
concern,regard
concern,solicitude
concern,that which relates or belongs to one
conclusion,determination
conclusion,result
conclusion,the last part of anything
concrete,"a compound or mass formed by concretion , spontaneous union , or coalescence of separate particles of matter in one body"
concrete,"a mixture of gravel , pebbles , or broken stone with cement or with tar , etc"
condemnation,disapprobation
condition,attribute
conduct,behavior
conduct,generalship
conduct,guidance
conductor,a guide
conductor,a leader
conduct,the act or method of conducting
confession,acknowledgment
confidence,a feeling of self - sufficiency
confinement,seclusion
conflict,a striking or dashing together
conflict,hostile contest
conformity,congruity
confusion,overthrow
congregation,a body of people who habitually so meet
congregation,"an assembly of persons met for the worship of god , and for religious instruction"
conjunction,league
connection,that which connects or joins together
connection,"the act of connecting , or the state of being connected"
connection,the act or process of bringing two things into contact
connection,union
consent,agreement
consent,harmony
consent,the being of one mind
consent,"voluntary accordance with , or concurrence in , what is done or proposed by another"
consequence,any conclusion which results from reason or argument
consequence,a proposition collected from the agreement of other previous propositions
consequence,inference
consequent,that which is deduced from reasoning or argumentation
conservative,"one who , or that which , preserves from ruin , injury , innovation , or radical change"
consideration,contemplation
consolation,the state of being consoled
console,any small bracket
conspiracy,"an agreement , between two or more persons , to commit a crime in concert , as treason"
conspiracy,a plot
constancy,fixedness
constancy,immutability
constancy,stability
constant,that which is not subject to change
constitution,the act or process of constituting
constitution,the aggregate of all one ' s inherited physical qualities
constitution,the state of being
construction,arrangement
construction,erection
construction,the act of building
construction,the act of devising and forming
construction,the arrangement and connection of words in a sentence
consumption,that form of wasting attendant upon pulmonary phthisis and associated with cough spitting of blood hectic fever etc
contact,a touching or meeting
contemplation,continued attention of the mind to a particular subject
contemplation,musing
contemplation,study
contemplation,the act of looking forward to an event as about to happen
contempt,scorn
contest,conflict
contest,"earnest struggle for superiority , victory , defense , etc"
continent,one of the grand divisions of land on the globe
continuance,propagation
continuation,the state of being continued
contract,"an agreement in which a party undertakes to do , or not to do , a particular thing"
contrast,opposition or dissimilitude of things or qualities
contrivance,arrangement
contrivance,a scheme
contrivance,disposition of parts or causes by design
controversy,cause of variance
controversy,difference
convenience,"fitness or suitableness , as of place , time , etc"
convenience,that which is convenient
convenience,that which is suited to one ' s wants
convention,usage
conversation,colloquial discourse
conversation,sexual intercourse
converse,"a proposition in which , after a conclusion from something supposed has been drawn , the order is inverted , making the conclusion the supposition or premises , what was first supposed becoming now the conclusion or inference"
conversion,"an appropriation of , and dealing with the property of another as if it were one ' s own , without right"
convert,"a lay friar or brother , permitted to enter a monastery for the service of the house , but without orders , and not allowed to sing in the choir"
conveyance,"the vehicle in which , or means by which , anything is carried from one place to another"
coolness,"a moderate degree , or a want , of passion"
copy,"an imitation , transcript , or reproduction of an original work"
cord,an enticement
core,"a part of the mold , made separate from and inserted in it , for shaping some part of the casting , the form of which is not determined by that of the pattern"
core,the central part of fruit containing the kernels or seeds
core,"the portion of a mold which shapes the interior of a cylinder , tube , or other hollow casting , or which makes a hole in or through a casting"
cork,"a mass of tabular cells formed in any kind of bark , in greater or less abundance"
corn,"a single seed of certain plants , as wheat , rye , barley , and maize"
corner,the point where two converging lines meet
corporation,a society having the capacity of transacting business as an individual
correspondence,agreement
correspondence,congruity
correspondence,relation
corridor,a densely populated stretch of land
corridor,"any relatively narrow passageway or route , such as a strip of land through a foreign territory"
corruption,bribery
corruption,depravity
cost,detriment
costume,"such an arrangement of accessories , as in a picture , statue , poem , or play , as is appropriate to the time , place , or other circumstances represented or described"
cot,a little bed
cot,"a pen , coop , or like shelter for small domestic animals , as for sheep or pigeons"
cottage,a small house
council,"an assembly of men summoned or convened for consultation , deliberation , or advice"
count,a formal statement of the plaintiff ' s case in court
countenance,the face
counter,a reckoner
countess,a lady possessed of the same dignity in her own right
countess,"the wife of an earl in the british peerage , or of a count in the continental nobility"
country,a region
country,"rural regions , as opposed to a city or town"
couple,a brace
couple,a pair
court,"an uncovered area shut in by the walls of a building , or by different building"
court,a palace
courtesy,"an act of civility , respect , or reverence , made by women , consisting of a slight depression or dropping of the body , with bending of the knees"
courtesy,civility
courtesy,"favor or indulgence , as distinguished from right"
court,"the residence of a sovereign , prince , nobleman , or other dignitary"
courtyard,a court or inclosure attached to a house
covenant,"a mutual agreement of two or more persons or parties , or one of the stipulations in such an agreement"
cow,a chock
cowardice,want of courage to face danger
cow,the mature female of bovine animals
crack,a narrow breach
craft,"cunning , art , or skill , in a bad sense , or applied to bad purposes"
craft,dexterity in particular manual employment
craving,longing for
crawl,the act or motion of crawling
creation,that which is created
creation,the act of creating or causing to exist
credit,confidence
creed,any summary of principles or opinions professed or adhered to
creek,a stream of water smaller than a river and larger than a brook
crest,"the distinctive ornament of a helmet , indicating the rank of the wearer"
crew,a gang
crew,an assemblage
crime,"gross violation of human law , in distinction from a misdemeanor or trespass , or other slight offense"
crimson,red color in general
crisis,"sometimes , also , a striking change of symptoms attended by an outward manifestation , as by an eruption or sweat"
crisis,the turning point
criticism,a critical judgment passed or expressed
