abandon,freedom from artificial constraint
apparel,vesture
apparition,a form
apparition,"an unexpected , wonderful , or preternatural appearance"
apparition,the thing appearing
appearance,an apparition
appearance,a phenomenon
appearance,aspect
appearance,a thing seed
appearance,look
application,the employment of means to accomplish an end
appointment,the act of appointing
appreciation,true estimation
apprehension,the act of seizing or taking by legal process
apprentice,a tyro
approach,"a access , or opportunity of drawing near"
approach,advances
approbation,an assenting to the propriety of a thing with some degree of pleasure or satisfaction
approbation,approval
arch,any part of a curved line
architecture,"construction , in a more general sense"
architecture,the art of building houses churches bridges and other structures for the purposes of civil life
architecture,the art or science of building
architecture,workmanship
ardor,"heat , in a literal sense"
argument,argumentation
argument,"the subject matter of a discourse , writing , or artistic representation"
aristocracy,"a form a government , in which the supreme power is vested in the principal persons of a state , or in a privileged order"
arrangement,regular and systematic classification
arrangement,the manner or result of arranging
array,a body of soldiers
array,disposition in regular lines
arrest,stoppage
arrest,the taking or apprehending of a person by authority of law
arrogance,presumption
arrogance,proud contempt of others
article,"a term , condition , or stipulation in a contract"
artillery,cannon
art,method of doing well some special work
art,the application of knowledge or power to practical purposes
ascetic,a recluse
asking,a petition
asking,the act of inquiring or requesting
aspect,mien
assassination,a killing by treacherous violence
assault,an onslaught
assault,"a violent onset or attack with moral weapons , as words , arguments , appeals , and the like"
assault,onset
assent,consent
assertion,position advanced
assertion,statement asserted
assistance,the act of assisting
associate,a companion
associate,a confederate in a league
association,"the act of associating , or state of being associated"
association,union of persons in a company or society for some particular purpose
assurance,intrepidity
assurance,the act of assuring
atmosphere,the whole mass of a ë riform fluid surrounding the earth
atonement,amends
atonement,expiation
atonement,"satisfaction or reparation made by giving an equivalent for an injury , or by doing of suffering that which will be received in satisfaction for an offense or injury"
attachment,regard
attachment,that by which one thing is attached to another
attempt,"a essay , trial , or endeavor"
attempt,an undertaking
attendance,the fact of being present
attendant,one who is present and takes part in the proceedings
attention,obedient or affectionate heed
attraction,the act or property of attracting
attraction,"the power in nature acting mutually between bodies or ultimate particles , tending to draw them together , or to produce their cohesion or combination , and conversely resisting separation"
author,an originator
authority,authorization
authority,"influence of character , office , or station , or mental or moral superiority , and the like"
avail,benefit
avarice,cupidity
avenue,a broad street
avenue,a way of approach or of exit
average,any charge in addition to the regular charge for freight of goods shipped
average,"that service which a tenant owed his lord , to be done by the work beasts of the tenant , as the carriage of wheat , turf , etc"
awe,"reverential fear , or solemn wonder"
axis,a line passing through a body or system around which the parts are symmetrically arranged
axis,the stem
azure,"a blue color , represented in engraving by horizontal parallel lines"
azure,a pigment or dye of this color
babe,a baby
baby,a babe
baby,a doll
baby,a small image of an infant
bachelor,"often , a young knight"
back,a ferryboat
back,"an extended upper part , as of a mountain or ridge"
back,"in other animals , that part of the body which corresponds most nearly to such part of a human being"
baggage,a prostitute
baggage,a woman of loose morals
bake,"the process , or result , of baking"
balance,act of weighing mentally
balance,comparison
balance,equipoise between the weights in opposite scales
ball,a social assembly for the purpose of dancing
balloon,the outline inclosing words represented as coming from the mouth of a pictured figure
bank,anything shaped like a mound or ridge of earth
bank,the bench or seat upon which the judges sit
bank,the margin of a watercourse
barbarian,"a man in a rude , savage , or uncivilized state"
barrel,"a round vessel or cask , of greater length than breadth , and bulging in the middle , made of staves bound with hoops , and having flat ends or heads"
barrel,"a solid drum , or a hollow cylinder or case"
base,the foundation
base,the fundamental or essential part of a thing
basis,that on which a thing rests
basis,the groundwork
basket,the two back seats facing one another on the outside of a stagecoach
battle,"a general action , fight , or encounter , in which all the divisions of an army are or may be engaged"
bay,the laurel tree
beach,a sandy or pebbly shore
beach,the strand
beak,"a similar bill in other animals , as the turtles"
beak,"the bill or nib of a bird , consisting of a horny sheath , covering the jaws"
beam,the width of a vessel
bearing,carriage
bearing,connection
bearing,mien
beast,any animal other than a human
beat,a throb
beating,pulsation
beating,punishment or chastisement by blows
beat,"one that beats , or surpasses , another or others"
beauty,anything beautiful
bed,"a plat or level piece of ground in a garden , usually a little raised above the adjoining ground"
bedroom,a lodging room
bed,used as the symbol of matrimony ) marriage
bee,a neighborly gathering of people who engage in united labor for the benefit of an individual or family
beef,applied colloquially to human flesh
beggar,one who makes it his business to ask alms
beginning,igin
being,"living existence , as distinguished from a thing without life"
being,"that which exists in any form , whether it be material or spiritual , actual or ideal"
belief,a persuasion of the truths of religion
belief,the thing believed
believer,a christian
believer,"one who is persuaded of the truth or reality of some doctrine , person , or thing"
belonging,goods or effects
belonging,relations
benevolence,an act of kindness
bent,purpose
berth,convenient sea room
better,"a superior , as in merit , social standing , etc"
better,one who bets or lays a wager
better,one who has a claim to precedence
bidding,der
bidding,the act or process of making bids
big,"barley , especially the hardy four - rowed kind"
bill,"a cutting instrument , with hook - shaped point , and fitted with a handle"
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,"that which is constituted of two figures , things , or parts"
birth,the condition to which a person is born
biscuit,"earthen ware or porcelain which has undergone the first baking , before it is subjected to the glazing"
bitterness,a state of extreme impiety or enmity to god
bitterness,"deep distress , grief , or vexation of mind"
bitterness,severity
black,a member or descendant of certain african races
blacksmith,"a fish of the pacific coast , of a blackish color"
blade,the cutting part of an instrument
blame,censure
blame,imputation of fault
blank,a paper unwritten
blank,a ticket in a lottery on which no prize is indicated
blanket,"a heavy , loosely woven fabric , usually of wool , and having a nap , used in bed clothing"
blaze,a bright flame
bleeding,"the operation of letting blood , as in surgery"
blessing,a benediction
blessing,"a declaration of divine favor , or an invocation imploring divine favor on some or something"
blind,a screen
blood,honorable birth
blood,kinship
bloom,"flowers , collectively"
bloom,the state of blossoming or of having the flowers open
blossom,something lovely that gives rich promise
blossom,"the flowers of a plant , collectively"
blot,a blur
blot,a failing
blot,an erasure
blot,an exposed point or mark
blot,a spot on reputation
blot,a weak point
blow,"something which produces mental , physical , or financial suffering or loss ( especially when sudden )"
blow,the infliction of evil
blue,a bluestocking
blue,a pedantic woman
blue,"one of the seven colors into which the rays of light divide themselves , when refracted through a glass prism"
bluff,a cliff with a broad face
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blush,a red or reddish color
blush,"a suffusion of the cheeks or face with red , as from a sense of shame , confusion , or modesty"
board,"a piece of timber sawed thin , and of considerable length and breadth as compared with the thickness , -- used for building , etc"
board,a table to put food upon
board,what is served on a table as food
body,"the substance , as opposed to the shadow"
body,"the trunk , or main part , of a person or animal , as distinguished from the limbs and head"
bolt,a quarrel
bolt,a refusal to support a nomination made by the party with which one has been connected
bolt,a thunderbolt
bondage,slavery
bond,a uniting tie
book,a part or subdivision of a treatise or literary work
boon,a grant
boon,that which is asked or granted as a benefit or favor
boot,"an instrument of torture for the leg , formerly used to extort confessions , particularly in scotland"
boot,remedy
border,margin
boss,a master workman or superintendent
boss,the central projection of a shield
bother,disturbance
bound,boundary
bound,rebound
bound,"that which limits or restrains , or within which something is limited or restrained"
bounty,a premium offered or given to induce men to enlist into the public service
bow,an obeisance
bow,"an ornamental knot , with projecting loops , formed by doubling a ribbon or string"
bower,a lady ' s private apartment
bower,a lodging room
bower,"anciently , a chamber"
bower,a shady recess
bower,one of the two highest cards in the pack commonly used in the game of euchre
bower,"poetically , an attractive abode or retreat"
brace,a bandage or a prop
brace,tension
brain,the organ or seat of intellect
brake,a baker ' s kneading though
brake,"an extended handle by means of which a number of men can unite in working a pump , as in a fire engine"
brake,"a place overgrown with shrubs and brambles , with undergrowth and ferns , or with canes"
brake,a thicket
branch,any arm or part connected with the main body of thing
branch,any member or part of a body or system
brave,a man daring beyond discretion
bravery,fine dress
bravery,magnificence
bravery,the quality of being brave
brave,"specifically , an indian warrior"
breach,"specifically : a breaking or infraction of a law , or of any obligation or tie"
breach,the space between the parts of a solid body rent by violence
bread,food
bread,"support of life , in general"
breath,"the power of respiration , and hence , life"
breeding,formation of manners
breeding,nurture
breed,sort
breeze,a disturbance
breeze,a flurry of excitement
breeze,refuse left in the process of making coke or burning charcoal
bribe,allurement
bribe,seduction
bridal,a nuptial festival or ceremony
bridge,a card game resembling whist
bridge,"a structure , usually of wood , stone , brick , or iron , erected over a river or other water course , or over a chasm , railroad , etc"
brightness,acuteness ( of the faculties )
brightness,clearness
brightness,luster
brilliant,"a kind of cotton goods , figured on the weaving"
brim,the rim of a hat
brink,"a bank or edge , as of a river or pit"
brood,breed
brood,progeny
bulk,the cargo of a vessel when stowed
bull,"an apparent congruity , but real incongruity , of ideas , contained in a form of expression"
bullet,"a missile , usually of lead , and round or elongated in form , to be discharged from a rifle , musket , pistol , or other small firearm"
bunch,"a small isolated mass of ore , as distinguished from a continuous vein"
bundle,"a number of things bound together , as by a cord or envelope , into a mass or package convenient for handling or conveyance"
bundle,a roll
burden,a load
burden,that which is borne or carried
burden,the main topic
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,an explosion
bury,a manor
bush,a lining for a hole to make it smaller
business,mercantile transactions
business,regular occupation
bustle,"a kind of pad or cushion worn on the back below the waist , by women , to give fullness to the skirts"
bust,"the portion of the human figure included between the head and waist , whether in statuary or in the person"
butt,a limit
butt,a target
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,a small ball
cake,a thin loaf from unleavened dough
calculation,an expectation based on circumstances
calculation,"reckoning , estimate"
call,an invitation
calling,a divine summons or invitation
calmness,quietness
calmness,tranquillity
camel,a water - tight structure ( as a large box or boxes ) used to assist a vessel in passing over a shoal or bar or in navigating shallow water
candle,"a slender , cylindrical body of tallow , containing a wick composed of loosely twisted linen of cotton threads , and used to furnish light"
cannon,a kind of type
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canon,any one of the canonical scriptures
canton,a compartment
capacity,the power of receiving or containing
capacity,the receptive faculty
capital,"money , property , or stock employed in trade , manufactures , etc"
capital,"the sum invested or lent , as distinguished from the income or interest"
cap,"one of lace , muslin , etc"
caprice,a freak
caprice,a notion
captain,"an officer in the united states navy , next above a commander and below a commodore , and ranking with a colonel in the army"
capture,prey
car,a small vehicle moved on wheels
caravan,"an itinerant show , as of wild beasts"
card,the dial or face of the mariner ' s compass
career,a race course : the ground run over
career,"general course of action or conduct in life , or in a particular part or calling in life , or in some special undertaking"
care,watchfulness
cargo,freight
carriage,the price or expense of carrying
casting,"the act of one who casts or throws , as in fishing"
castle,"any strong , imposing , and stately mansion"
cast,the distance to which a thing is or can be thrown
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,an event producing a subversion of the order or system of things
catch,that by which anything is caught or temporarily fastened
cause,case
cause,motive
cause,that which is the occasion of an action or state
cause,that which produces or effects a result
caution,"a pledge , bond , or other security for the performance of an obligation either in or out of judicial proceedings"
caution,exhortation to wariness
caution,security
caution,wariness
cavalier,"a gay , sprightly , military man"
cave,"a hollow place in the earth , either natural or artificial"
cavern,"a large , deep , hollow place in the earth"
cavity,a hollow place
ceiling,"the lining or finishing of any wall or other surface , with plaster , thin boards , etc"
ceiling,the under side of the floor above
cemetery,a churchyard
cemetery,a necropolis
cemetery,a place or ground set apart for the burial of the dead
censure,reprehension
cent,"a united states coin , the hundredth part of a dollar , formerly made of copper , now of copper , tin , and zinc"
certainty,clearness
chair,a movable single seat with a back
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
challenge,a defiance
challenge,an invitation to engage in a contest or controversy of any kind
challenge,"the act of a sentry in halting any one who appears at his post , and demanding the countersign"
chamber,a bedroom
chance,"a supposed material or psychical agent or mode of activity other than a force , law , or purpose"
change,any variation or alteration
change,a passing from one state or form to another
change,novelty
change,variety
channel,the hollow bed where a stream of water runs or may run
chant,melody
chaos,confusion
chap,"a cleft , crack , or chink , as in the surface of the earth , or in the skin"
chap,a man or boy
chapel,"a room or recess in a church , containing an altar"
chapter,a division of a book or treatise
character,a distinctive mark
character,handwriting
character,the peculiar form of letters used by a particular person or people
character,"the peculiar quality , or the sum of qualities , by which a person or a thing is distinguished from others"
charge,oversight
charge,responsibility
chariot,"a two - wheeled car or vehicle for war , racing , state processions , etc"
charity,generosity
charm,any alluring quality
charm,that which exerts an irresistible power to please and attract
chart,a map
chase,a rectangular iron frame in which pages or columns of type are imposed
chase,that which is pursued or hunted
chasm,a fissure
cheat,"a troublesome grass , growing as a weed in grain fields"
cheat,imposition
cheat,one who cheats or deceives
cheat,that which is the means of fraud or deception
check,"an obstacle , guard , restraint , or rebuff"
check,"whatever arrests progress , or limits action"
cheer,feeling
cheer,mirth
cheer,provisions prepared for a feast
cheese,"the flat , circular , mucilaginous fruit of the dwarf mallow"
chemistry,an application of chemical theory and method to the consideration of some particular subject
chest,the quantity which such a case contains
chief,a person in authority who directs the work of others
child,"one closely connected with a place , occupation , character , etc"
chimney,"an upright tube or flue of brick or stone , in most cases extending through or above the roof of the building"
chin,the lower extremity of the face below the mouth
chin,the point of the under jaw
chivalry,cavalry
chivalry,"the qualifications or character of knights , as valor , dexterity in arms , courtesy , etc"
choice,the voluntary act of selecting or separating from two or more things that which is preferred
cigar,"a small roll of tobacco , used for smoking"
circle,a circumference
circle,"a plane figure , bounded by a single curve line called its circumference , every part of which is equally distant from a point within it , called the center"
circle,a ring
circuit,"that which encircles anything , as a ring or crown"
circulation,free diffusion
circulation,"notes , bills , etc"
circumstance,a fact
city,a corporate town
city,"in great britain , a town corporate , which is or has been the seat of a bishop , or the capital of his see"
civility,a polite act or expression
clash,a noisy collision of bodies
clasp,a throwing of the arms around
classic,"one learned in the literature of greece and rome , or a student of classical literature"
clatter,"a rattling noise , especially that made by the collision of hard bodies"
clatter,a repetition of abrupt sounds
clause,a subordinate portion or a subdivision of a sentence containing a subject and its predicate
cleaning,the act of making clean
clear,full extent
clear,"the distance between the nearest surfaces of two bodies , or the space between walls"
cleft,a crack
cleft,a disease in horses
clergyman,an ordained minister
clerk,a scribe
client,"a citizen who put himself under the protection of a man of distinction and influence , who was called his patron"
client,one under the protection of another
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
clock,"a large beetle , especially the european dung beetle"
close,"a narrow passage leading from a street to a court , and the houses within"
close,an inclosed place
close,conclusion
closer,a finisher
close,"the interest which one may have in a piece of ground , even though it is not inclosed"
cloth,"the distinctive dress of any profession , especially of the clergy"
clump,a group
cluster,a number of similar things collected together or lying contiguous
coach,"a large , closed , four - wheeled carriage , having doors in the sides , and generally a front and back seat inside , each for two persons , and an elevated outside seat in front for the driver"
coachman,a tropical fish of the atlantic ocean
coat,cloth
cock,a faucet or valve
cock,a small boat
coil,mesh
coin,a wedge
coincidence,concurrence
cold,the relative absence of heat or warmth
cold,the sensation produced by the escape of heat
collapse,"extreme depression or sudden failing of all the vital powers , as the result of disease , injury , or nervous disturbance"
college,"a collection , body , or society of persons engaged in common pursuits , or having common duties and interests , and sometimes , by charter , peculiar rights and privileges"
college,"a society of scholars or friends of learning , incorporated for study or instruction , especially in the higher branches of knowledge"
collision,the act of striking together
column,a kind of pillar
column,a shaft or obelisk
combat,a fight
combat,one in which the parties engaged are not armies
combination,a union or alliance of persons or states to effect some purpose
comfort,consolation in trouble
coming,advent
commander,a leader
commander,"the chief officer of an army , or of any division of it"
commencement,igin
commencement,rise
commencement,the day when degrees are conferred by colleges and universities upon students and others
commerce,social intercourse
commerce,"the exchange of merchandise , on a large scale , between different places or communities"
commission,a charge
commission,"the act of committing , doing , or performing"
commodore,an officer who ranks next above a captain
commodore,"a title given by courtesy to the senior captain of a line of merchant vessels , and also to the chief officer of a yachting or rowing club"
commonplace,a platitude
commonplace,a trite or customary remark
commonwealth,the whole body of people in a state
communication,association
communication,"intercourse by words , letters , or messages"
communion,fellowship
communion,the act of sharing
community,"a body of people having common rights , privileges , or interests , or living in the same place under the same laws and regulations"
community,common possession or enjoyment
compact,a covenant or contract
companion,a knight of the lowest rank in certain orders
companionship,association
company,a companion or companions
company,fellowship
comparison,a relative estimate
comparison,illustration
compass,an area
compass,an inclosing limit
compass,a passing round
compass,circumference
compassion,"literally , suffering with another"
compassion,pity
compensation,a set - off
compensation,recompense
compensation,the payment of a debt by a credit of equal amount
compilation,that which is compiled
completion,fulfillment
compliance,a yielding
compliance,concession
composure,a settled state
compound,"that which is compounded or formed by the union or mixture of elements ingredients , or parts"
compromise,a surrender
concealment,a secret place
concentration,"the process of becoming concentrated , or the state of being concentrated"
conception,the act of conceiving in the womb
concern,anxiety
concern,solicitude
concert,simultaneous action
concession,an acknowledgment or admission
concession,a thing yielded
conclusion,any inference or result of reasoning
conclusion,the last part of anything
condition,essential quality
condition,rank
condition,"state or situation with regard to external circumstances or influences , or to physical or mental integrity , health , strength , etc"
condition,terms specified
condition,that which must exist as the occasion or concomitant of something else
conduct,behavior
conductor,a director
conference,the act of consulting together formally
confession,"avowal , especially in a matter pertaining to one ' s self"
confidence,reliance
confidence,"the state of mind characterized by one ' s reliance on himself , or his circumstances"
confirmation,"a rite supplemental to baptism , by which a person is admitted , through the laying on of the hands of a bishop , to the full privileges of the church , as in the roman catholic , the episcopal church , etc"
confirmation,the act of confirming or strengthening
conformity,resemblance
confusion,tumult
conjunction,a connective or connecting word
conjunction,league
connection,association
connection,that which connects or joins together
connection,"the act of connecting , or the state of being connected"
conscience,conviction or right or duty
consciousness,"knowledge of one ' s own existence , condition , sensations , mental operations , acts , etc"
consent,accord
consent,approval
consent,compliance
consent,"correspondence in parts , qualities , or operations"
consent,harmony
consequence,a proposition collected from the agreement of other previous propositions
consequence,inference
consequent,that which is deduced from reasoning or argumentation
consequent,"the second term of a ratio , as the term b in the ratio a : b , the first a , being the antecedent"
consideration,the act or process of considering
consideration,thoughtful or sympathetic regard or notice
consolation,comfort
consolation,refreshment of spirit
conspiracy,a plot
conspiracy,confederacy
constancy,fixedness
constancy,fixedness or firmness of mind
constant,"a number whose value , when ascertained ( as by observation ) and substituted in a general mathematical formula expressing an astronomical law , completely determines that law and enables predictions to be made of its effect in particular cases"
constant,that which is invariable
constitution,conformation
constitution,enactment
constitution,formation
construction,arrangement
construction,composition
consumption,pulmonary phthisis
contact,a touching or meeting
contemplation,study
contemporary,one who lives at the same time with another
content,an affirmative vote
content,an expression of assent to a bill or motion
content,area or quantity of space or matter contained within certain limits
content,contentment
content,that which if attained would make one happy
contest,altercation
contest,controversy
contest,debate
contest,earnest dispute
contest,encounter
continuance,"a holding on , or remaining in a particular state"
continuance,continuation
continuation,that act or state of continuing
contract,an interchange of legal rights
contract,"the agreement of two or more persons , upon a sufficient consideration or cause , to do , or to abstain from doing , some act"
contradiction,an assertion of the contrary to what has been said or affirmed
contradiction,incongruity or contrariety
contradiction,inconsistency
contrast,"the opposition of varied forms , colors , etc"
contrivance,disposition of parts or causes by design
contrivance,"the thing contrived , invented , or planned"
control,government
control,restraining or regulating influence
controversy,agitation of contrary opinions
controversy,difference
convenience,an accommodation
convenience,"fitness or suitableness , as of place , time , etc"
convenience,the state or quality of being convenient
convention,"a meeting or an assembly of persons , especially of delegates or representatives , to accomplish some specific object , -- civil , social , political , or ecclesiastical"
convention,arbitrary custom
convention,the act of coming together
convention,usage
converse,free interchange of thoughts or views
converse,frequent intercourse
conviction,a judgment of condemnation entered by a court having jurisdiction
coolness,calmness
copy,"that which is to be imitated , transcribed , or reproduced"
cord,an enticement
core,the most important part of a thing
cork,"a mass of tabular cells formed in any kind of bark , in greater or less abundance"
correction,"rectification , as of an erroneous statement"
correction,"the act of correcting , or making that right which was wrong"
correspondence,agreement
correspondence,relation
correspondent,"one who communicates information , etc"
corridor,a densely populated stretch of land
corridor,"any relatively narrow passageway or route , such as a strip of land through a foreign territory"
corruption,bribery
corruption,depravity
corruption,impurity
corruption,putrefaction
corruption,"the act of corrupting or of impairing integrity , virtue , or moral principle"
cost,charge
cost,loss of any kind
costume,"a character dress , used at fancy balls or for dramatic purposes"
cot,a cottage or hut
cot,"a piece of canvas extended by a frame , used as a bed"
cot,a sleeping place of limited size
cough,"a sudden , noisy , and violent expulsion of air from the chest , caused by irritation in the air passages , or by the reflex action of nervous or gastric disorder , etc"
council,deliberation
counsel,result of consultation
count,a formal statement of the plaintiff ' s case in court
countenance,look
counter,a table or board on which money is counted and over which business is transacted
count,reckoning
country,"rural regions , as opposed to a city or town"
country,the populace
count,the act of numbering
count,the number ascertained by counting
county,"a circuit or particular portion of a state or kingdom , separated from the rest of the territory , for certain purposes in the administration of justice and public affairs"
courage,resolution
courage,"that quality of mind which enables one to encounter danger and difficulties with firmness , or without fear , or fainting of heart"
courier,"a messenger sent with haste to convey letters or dispatches , usually on public business"
courier,"an attendant on travelers , whose business it is to make arrangements for their convenience at hotels and on the way"
course,line progress or advance
course,progress
court,the collective body of persons composing the retinue of a sovereign or person high in authority
court,"the residence of a sovereign , prince , nobleman , or other dignitary"
cousin,"a title formerly given by a king to a nobleman , particularly to those of the council"
cover,a screen
covering,"anything which covers or conceals , as a roof , a screen , a wrapper , clothing , etc"
cover,shelter
cow,a chock
cowardice,want of courage to face danger
crack,a chink or fissure
crack,a crevice
crack,the sound of anything suddenly burst or broken
craft,a guild
craft,a trade
craft,dexterity in particular manual employment
craft,the occupation or employment itself
crash,failure
craving,vehement or urgent desire
cream,a cosmetic
creation,"that which is produced or caused to exist , as the world or some original work of art or of the imagination"
creature,any being created with life
credit,faith
credit,trust
creek,any turn or winding
creek,a stream of water smaller than a river and larger than a brook
creep,a gradual movement of mining ground
creep,"a slow rising of the floor of a gallery , occasioned by the pressure of incumbent strata upon the pillars or sides"
crest,also the helmet
crew,a throng
crew,"the company of seamen who man a ship , vessel , or at"
crime,"an omission of a duty commanded , or the commission of an act forbidden by law"
crime,"gross violation of human law , in distinction from a misdemeanor or trespass , or other slight offense"
crime,iniquity
criminal,a malefactor
crisis,the decisive moment
cross,disappointment
crossing,a mixing of breeds
crossing,the act of making the sign of the cross
cross,misfortune
crow,"a bar of iron with a beak , crook , or claw"
crowd,the mob
crowd,the vulgar
crow,the cry of the cock
cruelty,a cruel and barbarous deed
cruelty,the attribute or quality of being cruel
cruise,"a voyage made in various directions , as of an armed vessel , for the protection of other vessels , or in search of an enemy"
crush,a violent collision or compression
crush,destruction
crush,ruin
crust,a piece of bread grown dry hard
crust,"the cover or case of a pie , in distinction from the soft contents"
cry,"a loud sound , uttered in lamentation"
cry,a loud utterance
cultivation,culture
cultivation,refinement
culture,physical improvement
cunning,fraudulent skill or dexterity
curb,"an assemblage of three or more pieces of timber , or a metal member , forming a frame around an opening , and serving to maintain the integrity of that opening"
curiosity,"disposition to inquire , investigate , or seek after knowledge"
curiosity,inquisitiveness
curling,the act or process of one who curls something as hair or the brim of hats
