abandon,freedom from artificial constraint
assembly,"a company of persons collected together in one place , and usually for some common purpose , especially for deliberation and legislation , for worship , or for social entertainment"
assent,agreement
assertion,affirmation
assign,a person to whom property or an interest is transferred
assistance,support
assistant,an attendant
associate,a fellow
association,"connection , whether of persons of things"
assumption,"the act of assuming , or taking to or upon one ' s self"
assurance,certainty
assured,one whose life or property is insured
astonishment,an intense degree of surprise
asylum,any place of retreat and security
atmosphere,a supposed medium around various bodies
atonement,"satisfaction or reparation made by giving an equivalent for an injury , or by doing of suffering that which will be received in satisfaction for an offense or injury"
attachment,regard
attack,an assault upon one ' s feelings or reputation with unfriendly or bitter words
attempt,"an unsuccessful , as contrasted with a successful , effort"
attendance,attendants
attendant,a concomitant
attention,"earnest consideration , thought , or regard"
attic,an athenian author
attire,headdress
attitude,"the posture , action , or disposition of a figure or a statue"
attorney,one who is legally appointed by another to transact any business for him
attraction,an attractive quality
attractive,that which attracts or draws
attribute,an essential or necessary property or characteristic
audacity,"daring spirit , resolution , or confidence"
audience,an auditory
august,"the eighth month of the year , containing thirty - one days"
aunt,the sister of one ' s father or mother
author,an originator
authority,witness
automobile,"a self - propelled vehicle used for transporting passengers , suitable for use on a street or roadway"
autumn,"the third season of the year , or the season between summer and winter , often called “ the fall"
avail,benefit
avarice,greediness for wealth
avenue,a passage by which a place may by reached
average,any charge in addition to the regular charge for freight of goods shipped
aversion,the object of dislike or repugnance
awe,"reverential fear , or solemn wonder"
axis,"the central part , or longitudinal support , on which organs or parts are arranged"
azure,the blue vault above
babe,an infant
baby,an infant or young child of either sex
bachelor,"a knight who had no standard of his own , but fought under the standard of another in the field"
background,the space which is behind and subordinate to a portrait or group of figures
back,"in human beings , the hinder part of the body , extending from the neck to the end of the spine"
bacon,the back and sides of a pig salted and smoked
bag,"a sack or pouch , used for holding anything"
baggage,"the clothes , tents , utensils , and provisions of an army"
bait,"any substance , especially food , used in catching fish , or other animals , by alluring them to a hook , snare , inclosure , or net"
baker,"one whose business it is to bake bread , biscuit , etc"
bake,"the process , or result , of baking"
baking,the quantity baked at once
balance,act of weighing mentally
balcony,a projecting gallery once common at the stern of large ships
ballad,a sentimental or romantic poem in short stanzas
ball,a social assembly for the purpose of dancing
balloon,a glass vessel of a spherical form
band,"a continuous tablet , stripe , or series of ornaments , as of carved foliage , of color , or of brickwork , etc"
bang,a heavy blow
bank,a tier of oars
banker,one who conducts the business of banking
banner,"a large piece of silk or other cloth , with a device or motto , extended on a crosspiece , and borne in a procession , or suspended in some conspicuous place"
banquet,a feast
baptism,"the application of water to a person , as a sacrament or religious ceremony , by which he is initiated into the visible church of christ"
barbarian,"a man in a rude , savage , or uncivilized state"
bare,"that part of a roofing slate , shingle , tile , or metal plate , which is exposed to the weather"
bargain,"a contract by which one party binds himself to transfer the right to some property f a consideration , and the other party binds himself to receive the property and pay the consideration"
barge,a large boat used by flag officers
bark,a similar sound made by some other animals
baron,"iginally , the possess of a fief , who had feudal tenants under him"
barrel,"a round vessel or cask , of greater length than breadth , and bulging in the middle , made of staves bound with hoops , and having flat ends or heads"
barrier,"a fortress or fortified town , on the frontier of a country , commanding an avenue of approach"
base,"the lower part of a wall , pier , or column , when treated as a separate feature , usually in projection , or especially ornamented"
basil,"the slope or angle to which the cutting edge of a tool , as a plane , is ground"
basin,"a hollow vessel or dish , to hold water for washing , and for various other uses"
basis,the principal component part of a thing
basket,the two back seats facing one another on the outside of a stagecoach
bass,the lowest part in a musical composition
bathe,the immersion of the body in water
bathing,act of taking a bath or baths
bath,water or other liquid for bathing
bat,same as tical n
battery,the unlawful beating of another
battle,a contest
bay,as a compartment containing water for a wheel
beach,shingle
beak,"the long projecting sucking mouth of some insects , and other invertebrates , as in the hemiptera"
beam,"any large piece of timber or iron long in proportion to its thickness , and prepared for use"
beard,the cluster of small feathers at the base of the beak in some birds
bearing,mien
beast,any animal other than a human
beat,a recurring stroke
beating,throbbing
beauty,"a particular grace , feature , ornament , or excellence"
beaver,"an amphibious rodent , of the genus castor"
bed,an article of furniture to sleep or take rest in or on
bedroom,a room or apartment intended or used for a bed
beef,an ox or cow fattened for food
bee,"pieces of hard wood bolted to the sides of the bowsprit , to reeve the fore - topmast stays through"
beer,"a fermented extract of the roots and other parts of various plants , as spruce , ginger , sassafras , etc"
beg,a title of honor in turkey and in some other parts of the east
beggar,one who makes it his business to ask alms
beginning,a rudiment or element
behavior,deportment
being,"existence , as opposed to nonexistence"
belief,reliance upon word or testimony
believer,"one who gives credit to the truth of the scriptures , as a revelation from god"
bell,a hollow perforated sphere of metal containing a loose ball which causes it to sound when moved
belly,"that part of the human body which extends downward from the breast to the thighs , and contains the bowels , or intestines"
belonging,household
beloved,one greatly loved
bench,"a long seat , differing from a stool in its greater length"
benefactor,one who confers a benefit or benefits
benefit,advantage
benevolence,good done
bent,course
berth,"the place where a ship lies when she is at anchor , or at a wharf"
best,"most nearly perfect thing , or being , or action"
better,one who bets or lays a wager
bet,the act of giving such a pledge
bewilderment,a bewildering tangle or confusion
bid,"a statement of a sum which one will give for something to be received , or will take for something to be done or furnished"
bidding,"a proposal of a price , as at an auction"
big,"barley , especially the hardy four - rowed kind"
bill,"a form or draft of a law , presented to a legislature for enactment"
billion,"according to the french and american method of numeration , a thousand millions , or 1 , 000 , 000 , 000"
bin,"a box , frame , crib , or inclosed place , used as a receptacle for any commodity"
binary,duality
bind,"any twining or climbing plant or stem , especially a hop vine"
binding,something that secures the edge of cloth from raveling
biography,the written history of a person ' s life
bird,"a warm - blooded , feathered vertebrate provided with wings"
birthday,the anniversary of one ' s birth
birth,inherited disposition or tendency
biscuit,"a small loaf or cake of bread , raised and shortened , or made light with soda or baking powder"
bishop,"a spiritual overseer , superintendent , or director"
bite,the act of seizing with the teeth or mouth
bit,somewhat
bitterness,severity
blacksmith,"a fish of the pacific coast , of a blackish color"
black,that which is destitute of light or whiteness
blade,the cutting part of an instrument
blame,sin
blank,"a void space on paper , or in any written instrument"
blanket,a streak or layer of blubber in whales
blast,"the exhaust steam from and engine , driving a column of air out of a boiler chimney , and thus creating an intense draught through the fire"
blaze,a bright flame
bleeding,"the operation of letting blood , as in surgery"
blessing,that which promotes prosperity and welfare
blind,a cover
blindness,"state or condition of being blind , literally or figuratively"
bliss,exalted felicity
block,"the wooden mold on which hats , bonnets , etc"
blood,kinship
blooming,the process of making blooms from the ore or from cast iron
bloom,the opening of flowers in general
blossom,a blooming period or stage of development
blot,a disgrace
blow,"a forcible stroke with the hand , fist , or some instrument , as a rod , a club , an ax , or a sword"
blue,a bluestocking
bluff,a cliff with a broad face
blunder,"a gross error or mistake , resulting from carelessness , stupidity , or culpable ignorance"
blunt,a short needle with a strong point
blush,a red or reddish color
blushing,the act of turning red
board,stated meals
boat,"the term is sometimes applied to steam vessels , even of the largest class"
body,"the material organized substance of an animal , whether living or dead , as distinguished from the spirit , or vital principle"
bohemian,a native of bohemia
boil,act or state of boiling
boiler,a vessel in which any thing is boiled
boiling,exposure to the action of a hot liquid
boldness,the state or quality of being bold
bolt,a quarrel
bondage,slavery
bond,"captivity , restraint"
bone,one of the pieces or parts of an animal skeleton
bonnet,"a covering for the head , worn by women , usually protecting more or less the back and sides of the head , but no part of the forehead"
book,a treatise
boon,a benefaction
boot,relief
booty,"that which is seized by violence or obtained by robbery , especially collective spoil taken in war"
border,"the outer part or edge of anything , as of a garment , a garden , etc"
bore,a hole made by boring
bosom,the breast of a human being
boss,"a projecting ornament placed at the intersection of the ribs of ceilings , whether vaulted or flat , and in other situations"
bother,embarrassment
bottle,intoxicating liquor
bottom,the lowest part of anything
bough,"an arm or branch of a tree , especially a large arm or main branch"
bound,an elastic spring
boundary,a bounding or separating line
bounty,a premium offered or given to induce men to enlist into the public service
bow,"an ornamental knot , with projecting loops , formed by doubling a ribbon or string"
bower,a lodging room
bowing,the act or art of managing the bow in playing on stringed instruments
bowl,convivial drinking
box,a receptacle or case of any firm material and of various shapes
boy,a lad
boyhood,the time during which one is a boy
brace,that which holds anything tightly or supports it firmly
brain,the organ or seat of intellect
brake,"an extended handle by means of which a number of men can unite in working a pump , as in a fire engine"
branch,a department
brand,a burning piece of wood
brandy,a strong alcoholic liquor distilled from wine
brass,a brazen face
bravery,fearless
brave,"specifically , an indian warrior"
breach,"specifically : a breaking or infraction of a law , or of any obligation or tie"
bread,"support of life , in general"
breadth,width
break,an opening made by fracture or disruption
breakfast,"the first meal in the day , or that which is eaten at the first meal"
breast,the front or forward part of anything
breath,"air which , in the process of respiration , has parted with oxygen and has received carbonic acid , aqueous vapor , warmth , etc"
breeding,the raising or improving of any kind of domestic animals
breed,kind
breeze,"a fresh , soft - blowing wind"
bribe,seduction
brick,"bricks , collectively , as designating that kind of material"
bridal,a nuptial festival or ceremony
bride,an object ardently loved
bridegroom,"a man newly married , or just about to be married"
bridge,"a structure , usually of wood , stone , brick , or iron , erected over a river or other water course , or over a chasm , railroad , etc"
bridle,a restraint
brief,a short concise writing or letter
brigade,any body of persons organized for acting or marching together under authority
brightness,acuteness ( of the faculties )
bright,splendor
brig,"on a united states man - of - war , the prison or place of confinement for offenders"
brilliant,"below , it has a small face or collet , parallel to the table , connected with the girdle by a pavilion of elongated facets"
brim,the rim of a hat
brink,"a bank or edge , as of a river or pit"
bronze,"a statue , bust , etc"
brood,"the young from the same dam , whether produced at the same time or not"
brook,a natural stream of water smaller than a river or creek
brotherhood,the state of being brothers or a brother
brother,"one related or closely united to another by some common tie or interest , as of rank , profession , membership in a society , toil , suffering , etc"
brown,"a tawny , dusky hue"
brush,the bushy tail of a fox
brute,a brutal person
bucket,a float of a paddle wheel
buck,"the male of deer , especially fallow deer and antelopes , or of goats , sheep , hares , and rabbits"
bud,an undeveloped branch or flower
buffalo,any species of wild ox
bug,a general name applied to various insects belonging to the hemiptera
buggy,a light one horse two - wheeled vehicle
building,"a fabric or edifice constructed , as a house , a church , etc"
build,make
bulk,mass
bullet,the fetlock of a horse
bull,the male of the whale
bully,"an insolent , tyrannical fellow"
bunch,"a collection , cluster , or tuft , properly of things of the same kind , growing or fastened together"
bundle,a loose package
burden,that which is borne with labor or difficulty
bureau,"iginally , a desk writing table with drawers f papers"
burial,"depositing a dead body in the earth , in a tomb or vault , or in the water , usually with attendant ceremonies"
burn,"a hurt , injury , or effect caused by fire or excessive or intense heat"
burning,"the act of consuming by fire or heat , or of subjecting to the effect of fire or heat"
burst,a violent rending
bury,a borough
bush,"a thicket , or place abounding in trees or shrubs"
business,financial dealings
bustle,great stir
bust,the chest or thorax
butcher,one whose occupation it is to kill animals for food
butter,"an oily , unctuous substance obtained from cream or milk by churning"
button,a knob
butt,the end
cabbage,"an esculent vegetable of many varieties , derived from the wild brassica oleracea of europe"
cabin,an inclosed place
cabinet,the advisory council of the chief executive officer of a nation
cable,"a rope of steel wire , or copper wire , usually covered with some protecting or insulating substance"
cab,"the covered part of a locomotive , in which the engineer has his station"
cage,"an outer framework of timber , inclosing something within it"
cake,a small mass of dough baked
calamity,any great misfortune or cause of misery
calculation,computation
calendar,a register of the year with its divisions
calf,a fine light - colored leather used in bookbinding
call,an invitation to take charge of or serve a church as its pastor
calling,"a summoning or convocation , as of parliament"
calmness,self - repose
calm,tranquility
camel,a water - tight structure ( as a large box or boxes ) used to assist a vessel in passing over a shoal or bar or in navigating shallow water
camp,"a collection of tents , huts , etc"
campaign,the time during which an army keeps the field
canal,"a long and relatively narrow arm of the sea , approximately uniform in width"
candidate,"one who offers himself , or is put forward by others , as a suitable person or an aspirant or contestant for an office , privilege , or honor"
candle,"a slender , cylindrical body of tallow , containing a wick composed of loosely twisted linen of cotton threads , and used to furnish light"
candy,"it is often made by boiling sugar or molasses to the desired consistency , and than crystallizing , molding , or working in the required shape"
cane,stems of other plants are sometimes called canes
cannon,a piece of ordnance or artillery
canoe,"a boat used by rude nations , formed of trunk of a tree , excavated , by cutting of burning , into a suitable shape"
canon,"a law , or rule of doctrine or discipline , enacted by a council and confirmed by the pope or the sovereign"
canopy,"an ornamental projection , over a door , window , niche , etc"
canton,a small portion
capacity,extent of room or space
cape,"a sleeveless garment or part of a garment , hanging from the neck over the back , arms , and shoulders , but not reaching below the hips"
capital,the seat of government
cap,"one used as the mark or ensign of some rank , office , or dignity , as that of a cardinal"
caprice,a freak
captain,"the military officer who commands a company , troop , or battery , or who has the rank entitling him to do so though he may be employed on other service"
captive,"a prisoner taken by force or stratagem , especially , by an enemy , in war"
captivity,a state of being under control
capture,"the act of seizing by force , or getting possession of by superior power or by stratagem"
car,a cart
caravan,"a large , covered wagon , or a train of such wagons , for conveying wild beasts , etc"
carbon,"when united with hydrogen , it forms various compounds called hydrocarbons"
cardinal,"one of the ecclesiastical princes who constitute the pope ' s council , or the sacred college"
card,the dial or face of the mariner ' s compass
care,attention or heed
career,a rapid course
carelessness,heedlessness
caress,an act of endearment
cargo,load
carpet,"iginally , also , a wrought cover f tables"
carriage,"a wheeled vehicle for persons , especially one designed for elegance and comfort"
carry,a portage
cart,"a two - wheeled vehicle for the ordinary purposes of husbandry , or for transporting bulky and heavy articles"
carter,a teamster
case,state of things
cash,ready money
cast,a throw
caste,a separate and fixed order or class of persons in society who chiefly hold intercourse among themselves
casting,the act or the process of pouring molten metal into a mold
castle,"a small tower , as on a ship , or an elephant ' s back"
casual,one who receives relief for a night in a parish to which he does not belong
cat,"a strong vessel with a narrow stern , projecting quarters , and deep waist"
catastrophe,"a final event , usually of a calamitous or disastrous nature"
catching,the act of seizing or taking hold of
catch,that which is caught or taken
cause,reason
caution,prudence in regard to danger
cavalier,a knight
cavalry,that part of military force which serves on horseback
cave,a den
cavern,a large cave
cavity,a hollow
cedar,the name of several evergreen trees
ceiling,"the lining or finishing of any wall or other surface , with plaster , thin boards , etc"
celebration,"the act , process , or time of celebrating"
celestial,an inhabitant of heaven
cellar,"a room or rooms under a building , and usually below the surface of the ground , where provisions and other stores are kept"
cell,"a very small and close apartment , as in a prison or in a monastery or convent"
cement,"a kind of calcined limestone , or a calcined mixture of clay and lime , for making mortar which will harden under water"
cemetery,a churchyard
censure,judicial or ecclesiastical sentence or reprimand
cent,"a united states coin , the hundredth part of a dollar , formerly made of copper , now of copper , tin , and zinc"
center,"an object of attention , action , or force"
century,a period of a hundred years
ceremonial,outward form
ceremony,forms of civility prescribed by custom or authority
certainty,clearness
certificate,a written testimony to the truth of any fact
cessation,"a ceasing or discontinuance , as of action , whether temporary or final"
chain,a series of things linked together
chairman,"the presiding officer of a committee , or of a public or private meeting , or of any organized body"
chair,the presiding officer of an assembly
chalk,"a soft , earthy substance , of a white , grayish , or yellowish white color , consisting of calcium carbonate , and having the same composition as common limestone"
challenge,"the act of a sentry in halting any one who appears at his post , and demanding the countersign"
chamber,"a retired room , especially an upper room used for sleeping"
champion,one who now acts speaks in behalf of a person a cause
chance,a happening
change,a passing from one state or form to another
channel,"the deeper part of a river , harbor , strait , etc"
chant,melody
chaos,"the confused , unorganized condition or mass of matter before the creation of distinct and orderly forms"
chap,a youth
chapel,"a room or recess in a church , containing an altar"
chaplain,"an ecclesiastic who has a chapel , or who performs religious service in a chapel"
chapter,a division of a book or treatise
characteristic,"a distinguishing trait , quality , or property"
character,the peculiar form of letters used by a particular person or people
charcoal,impure carbon prepared from vegetable or animal substances
charge,"custody or care of any person , thing , or place"
chariot,"a four - wheeled pleasure or state carriage , having one seat"
charity,universal benevolence
charm,any alluring quality
chart,"a sheet of paper , pasteboard , or the like , on which information is exhibited , especially when the information is arranged in tabular form"
charter,an act of a legislative body creating a municipal or other corporation and defining its powers and privileges
chase,a rectangular iron frame in which pages or columns of type are imposed
chasm,a fissure
chat,small stones with ore
chatter,jabber
cheat,a trick
check,a word of warning denoting that the king is in danger
cheer,feeling
cheerfulness,a state of moderate joy or gayety
cheese,"the curd of milk , coagulated usually with rennet , separated from the whey , and pressed into a solid mass in a hoop or mold"
chemical,a reagent
chemistry,an application of chemical theory and method to the consideration of some particular subject
chestnut,the edible nut of a forest tree of europe and america
chest,the thorax
chicken,a young woman
chief,"a head man , as of a tribe , clan , or family"
childhood,the time in which persons are children
child,"one who , by character of practice , shows signs of relationship to , or of the influence of , another"
chimney,"a body of ore , usually of elongated form , extending downward in a vein"
china,a country in eastern asia
chin,the point of the under jaw
chivalry,"the qualifications or character of knights , as valor , dexterity in arms , courtesy , etc"
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk
choice,election
choir,the chancel
chorus,a company of singers singing in concert
chosen,"one who , or that which is the object of choice or special favor"
church,"a body of christian believers , holding the same creed , observing the same rites , and acknowledging the same ecclesiastical authority"
churchyard,"the ground adjoining a church , in which the dead are buried"
cigar,"a small roll of tobacco , used for smoking"
cigarette,a little cigar
circle,a ring
circuit,"the circumference of , or distance round , any space"
circulation,circulating coin
circumference,a periphery
circumstance,a fact
circus,"a level oblong space surrounded on three sides by seats of wood , earth , or stone , rising in tiers one above another , and divided lengthwise through the middle by a barrier around which the track or course was laid out"
citadel,"a fortress in or near a fortified city , commanding the city and fortifications , and intended as a final point of defense"
citizen,a townsman
city,a corporate town
civility,politeness
civilization,"the act of civilizing , or the state of being civilized"
claim,an assertion of a right or fact
clan,"a sect , society , or body of persons"
clash,"as between differing or contending interests , views , purposes , etc"
clasp,"a grasping , as with the hand"
class,"a comprehensive division of animate or inanimate objects , grouped together on account of their common characteristics , in any classification in natural science , and subdivided into orders , families , tribes , genera , etc"
classic,"one learned in the literature of greece and rome , or a student of classical literature"
classification,"a distribution into groups , as classes , orders , families , etc"
clatter,a repetition of abrupt sounds
clause,"an article , stipulation , or proviso , in a legal document"
clay,the human body as formed from such particles
cleaning,the act of making clean
cleanliness,state of being cleanly
clearing,a tract of land cleared of wood for cultivation
clear,"the distance between the nearest surfaces of two bodies , or the space between walls"
cleft,a piece made by splitting
clergyman,"a man regularly authorized to preach the gospel , and administer its ordinances"
clergy,"the body of men set apart , by due ordination , to the service of god , in the christian church , in distinction from the laity"
clerk,one employed to keep records or accounts
click,"a kind of articulation used by the natives of southern africa , consisting in a sudden withdrawal of the end or some other portion of the tongue from a part of the mouth with which it is in contact , whereby a sharp , clicking sound is produced"
client,"a citizen who put himself under the protection of a man of distinction and influence , who was called his patron"
cliff,a precipice
climate,"the condition of a place in relation to various phenomena of the atmosphere , as temperature , moisture , etc"
climax,the greatest degree
clock,"a machine for measuring time , indicating the hour and other divisions"
close,a grapple in wrestling
closer,a finisher
closet,a room for privacy
clothing,raiment
cloth,the clerical profession
cloud,"a collection of visible vapor , or watery particles , suspended in the upper atmosphere"
club,a cudgel
clue,a thread or other means of guidance
clump,the compressed clay of coal strata
cluster,a number of similar things collected together or lying contiguous
clutch,seizure
coach,a special tutor who assists in preparing a student for examination
coachman,a man whose business is to drive a coach or carriage
coal,charcoal
coast,"the seashore , or land near it"
coat,an outer garment fitting the upper part of the body
cock,the turn so given
code,a digest
coffin,"a casing or crust , or a mold , of pastry , as for a pie"
coil,entanglement
coin,"a piece of metal on which certain characters are stamped by government authority , making it legally current as money"
coincidence,the condition of occupying the same place in space
cold,a catarrh
coldness,the state or quality of being cold
collapse,an utter failure of any kind
collar,"something worn round the neck , whether for use , ornament , restraint , or identification"
collect,"a short , comprehensive prayer , adapted to a particular day , occasion , or condition , and forming part of a liturgy"
collection,the act or process of collecting or of gathering
college,"a collection , body , or society of persons engaged in common pursuits , or having common duties and interests , and sometimes , by charter , peculiar rights and privileges"
collision,a state of opposition
colony,a territory subject to the ruling governmental authority of another country and not a part of the ruling country
coloring,that which produces color
color,ruddy complexion
column,"a body of troops formed in ranks , one behind the other"
comb,a dry measure
combat,one in which the parties engaged are not armies
combination,a union or alliance of persons or states to effect some purpose
comfortable,a stuffed or quilted coverlet for a bed
comfort,whatever contributes to such a condition
coming,advent
commander,a chief
command,leadership
commencement,rise
comment,discourse
commerce,the exchange or buying and selling of commodities
commission,instructions as to how a trust shall be executed
committee,"one or more persons elected or appointed , to whom any matter or business is referred , either by a legislative body , or by a court , or by any collective body of men acting together"
commodore,"sometimes , by courtesy , the senior captain of a squadron"
commonplace,a trite or customary remark
common,to a number of persons
commonwealth,a state
commotion,heat
communication,correspondence
communion,intercourse between two or more persons
community,a body politic
compact,a covenant or contract
companion,a partner
companionship,association
company,a companion or companions
comparison,"that to which , or with which , a thing is compared , as being equal or like"
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,an area
compassion,a sensation of sorrow excited by the distress or misfortunes of another
compensation,amends
competition,common strife for the same objects
compilation,a book or document composed of materials gathering from other books or documents
complaint,an ailment or disease of the body
completion,the getting through to the end
complex,collection
complexion,the general appearance or aspect
compliance,complaisance
compliment,a ceremonious greeting
composer,one who adjusts a difference
composition,"the act of writing for practice in a language , as english , latin , german , etc"
composure,tranquillity
compound,the result of composition
comprehension,inclusion
compromise,a surrender
comrade,"a mate , companion , or associate"
concealment,the act of concealing
conceit,lively fancy
concentration,the act or process of concentrating
concept,an abstract general conception
conception,the initiation of an embryonic animal life
concern,moment
concert,musical accordance or harmony
concession,a thing yielded
conclusion,the last part of anything
concrete,a term designating both a quality and the subject in which it exists
condemnation,the state of being condemned
condition,an essential qualification
conduct,mode of action
conductor,"one in charge of a public conveyance , as of a railroad train or a street car"
conference,the act of consulting together formally
confession,profession of one ' s faith
confidence,that in which faith is put or reliance had
confine,border
confinement,restraint within limits
